unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
ja_content_18,"信者の人権を守るために身体の自由をどの程度侵してもやむを得ないと言えるのか,という議論ではないでしょうか。",japanese,content,0.06,6.00,2.50,0.50,0.38,3.56,4.46,7.00
ja_content_19,これからの日本ラグビー史にどれだけの栄光を刻むのか。,japanese,content,-0.18,3.00,0.00,0.80,0.33,2.83,0.00,1.00
ja_content_20,削除しないのはなぜだろう?,japanese,content,0.27,2.00,1.00,0.40,0.29,2.20,4.62,1.00
ja_content_21,具体的には、どのようなことが行われるのか。,japanese,content,0.02,3.00,1.00,0.80,0.31,2.77,4.21,3.00
ja_content_22,"自分たちの会員であるホメオパシー信者の活動の中で人が一人亡くなっているのに,“HOMOEOPATHYYES”とは,日本ホメオパシー医学協会は,いったい,どういう神経をしているのでしょうか。",japanese,content,0.71,7.00,1.00,0.23,0.57,3.87,4.46,7.00
ja_content_23,じゃあ次はどうなるのか?,japanese,content,-0.39,2.00,0.00,1.00,0.43,2.20,0.00,1.00
ja_content_24,霊はいつ肉体から離れていくのか?,japanese,content,-0.06,2.00,1.00,0.60,0.40,2.48,3.93,2.00
ja_content_25,"どういう人のどういう夢かはさておき,夢の中に出てくる寺社って,こんな感じなんじゃないだろうか?",japanese,content,-0.01,5.00,1.00,0.20,0.48,3.43,4.43,6.00
ja_content_26,一連の事態をどのように理解すればいいのでしょうか。,japanese,content,-0.24,3.00,1.00,1.00,0.29,2.77,3.93,2.00
ja_content_27,皆さんもインドアエンタメを楽しむ際のお供に、いかがですか?,japanese,content,-0.18,5.00,1.00,0.20,0.60,2.89,4.62,1.00
ja_content_28,中日の次期監督に決まっている高木守道氏からラブコールを送られている福留に、巨人も再び手を伸ばすことになるかどうか。,japanese,content,-0.17,8.00,1.00,0.37,0.61,3.58,4.62,6.00
ja_content_29,そのモサは今何をしているか。,japanese,content,-0.62,2.00,1.00,0.40,0.40,2.48,3.93,2.00
ja_content_30,"いったい,“次世紀ファーム研究所”とは何なのか。",japanese,content,0.88,2.00,0.00,0.00,0.50,2.83,0.00,1.00
ja_content_31,文書をどのようにファイルするか。,japanese,content,-0.54,2.00,1.00,0.60,0.38,2.30,3.93,2.00
ja_content_32,彼らは誰ですか。,japanese,content,-0.99,2.00,0.00,0.00,0.17,2.08,0.00,1.00
ja_content_33,幸いなことに、ソニー・オーストラリアにいた誰かは、「おい、ところで、君たちはこれに気づいたかい？」という様子だった、とポールは言った。,japanese,content,1.67,5.00,1.33,0.15,0.31,3.81,4.39,5.00
ja_content_34,誰がこのオーストラリアサイドを止めることができるのか？,japanese,content,-0.03,2.00,0.00,1.00,0.33,2.64,0.00,1.00
ja_content_35,また、オーストラリアの位置づけはどうなのか？,japanese,content,-0.06,3.00,0.00,0.00,0.40,2.56,0.00,0.00
ja_content_36,彼女の全エネルギーはどこから来ているのだろうか。もしくは、衝撃波を引き起こす力を以って打ちのめすことのできるあの声？,japanese,content,0.72,5.00,1.00,0.27,0.46,3.47,4.62,6.00
ja_content_37,しかし、グレンダに素晴らしい技を披露させたとして、誰がそれを咎めることができるだろうか。,japanese,content,0.92,4.00,2.00,0.73,0.30,3.30,4.21,3.00
ja_content_38,警官は私に作者Günter de Bruynを知っているか？同業者なのか？と、極めて言葉少なに質問した。,japanese,content,1.73,4.00,1.50,0.47,0.48,3.40,4.33,4.00
ja_content_39,民間企業において宗教的信念に関する発言を妨げる危険のある制限は何であるか？,japanese,content,-0.20,8.00,1.00,0.08,0.55,3.18,4.43,6.00
ja_content_40,党内のどこに歴史的正当性があるのだろうか？,japanese,content,0.19,3.00,0.00,0.80,0.38,2.71,0.00,1.00
