unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
ja_polar_13,一点突破したものがあなたにあるか。,japanese,polar,0.21,3.00,1.00,0.50,0.36,2.56,3.93,2.00
ja_polar_14,こんなことできない?,japanese,polar,-1.19,2.00,0.00,0.25,0.50,1.79,0.00,1.00
ja_polar_15,直径30cmはあるかな?,japanese,polar,-0.69,2.00,0.00,0.75,0.43,2.20,0.00,1.00
ja_polar_16,知恵とアイディアを結集させたこの「推し面メーカー」は、最初から公開予定だったのだろうか。,japanese,polar,0.33,5.00,1.00,0.12,0.41,3.30,4.21,3.00
ja_polar_17,仕事では孤独、プライベートは意外と華やかということか。,japanese,polar,-0.03,4.00,1.00,0.00,0.54,2.77,4.62,1.00
ja_polar_18,"宗教であるから,詐欺罪には当たらない?",japanese,polar,0.25,3.00,1.00,0.25,0.50,2.56,4.21,3.00
ja_polar_19,私を犯罪の構成要件を満たす刑法犯として告発するために110番通報したんじゃなかったのか?,japanese,polar,0.62,6.00,1.00,0.83,0.32,3.40,4.21,3.00
ja_polar_20,テレビの都市伝説芸人ですか?,japanese,polar,-0.36,2.00,0.00,0.00,0.57,2.20,0.00,1.00
ja_polar_21,それで生き方、変わりますか?,japanese,polar,-0.19,2.00,1.00,0.38,0.43,2.30,3.93,2.00
ja_polar_22,今後もこの教団に所属していたいですか?,japanese,polar,0.44,2.00,1.00,0.50,0.33,2.64,3.93,2.00
ja_polar_23,調達先はUK拠点のDFJ EspritとフランスのSofinnovaだとか。,japanese,polar,-0.19,3.00,0.00,0.00,0.53,2.83,0.00,0.00
ja_polar_24,"きちんと説明し,堂々と市長として頑張ったらいいじゃないですか。",japanese,polar,0.67,3.00,1.00,0.62,0.31,2.94,3.93,2.00
ja_polar_25,一緒に話を聞かせてもらってもいいですか?,japanese,polar,0.64,2.00,1.00,0.62,0.31,2.71,3.93,2.00
ja_polar_26,思わずつまんでみたくなるぷっくり出たおなか。,japanese,polar,0.03,3.00,1.67,0.25,0.60,2.48,4.62,4.00
ja_polar_27,"彼が誠実であれ不誠実であれ,摂理を出た以上,摂理とからめる必要があるのでしょうか?",japanese,polar,0.58,5.00,1.00,0.40,0.52,3.30,4.39,5.00
ja_polar_28,"元妻である人物にたいして失礼だし,子ども達への影響を考えないのだろうか?",japanese,polar,0.01,5.00,1.00,0.33,0.43,3.18,4.33,4.00
ja_polar_29,関西ではスタンダードな部類の味ではないでしょうか。,japanese,polar,0.22,3.00,0.00,0.00,0.31,2.71,0.00,1.00
ja_polar_30,そんな夏にぴったり?,japanese,polar,-0.86,2.00,0.00,0.00,0.50,1.79,0.00,0.00
ja_polar_31,眼科医だって患者だって、朝鮮人じゃないか。,japanese,polar,-0.28,3.00,2.00,0.00,0.42,2.71,4.21,3.00
ja_polar_32,他だとkawara cafeくらいでしょうか?,japanese,polar,-0.19,2.00,1.00,0.00,0.38,2.30,3.93,2.00
ja_polar_33,スポーツを頑張っている子供たちにランクをつけるような言動ができるのでしょうか?,japanese,polar,-0.42,6.00,1.00,0.44,0.47,3.04,4.33,4.00
ja_polar_34,同日開会の都議会で、石原氏は施政方針演説に臨むが、一歩踏み込むか。,japanese,polar,0.03,4.00,1.00,0.88,0.63,3.14,3.93,2.00
ja_polar_35,未来の英雄?,japanese,polar,-0.69,2.00,0.00,0.00,0.67,1.61,0.00,0.00
ja_polar_36,"やはり日本の企業とビジネスで関わる上で,空気を読むことは大事なのでしょうか。",japanese,polar,0.60,4.00,1.00,0.50,0.45,3.14,4.62,2.00
ja_polar_37,ではJBSには“統一教会”との認識はあったということか?,japanese,polar,0.93,4.00,1.00,0.50,0.41,3.04,4.62,2.00
ja_polar_38,"特に個人ページに関して言えば,今後ユビキタス社会が進んでいけば,リアルの世界の行動タイムラインに集約されていくんじゃないでしょうか。",japanese,polar,0.99,4.00,1.25,0.54,0.50,3.64,4.43,6.00
ja_polar_39,値段の安さも含め、この周辺では一番では無いでしょうか。,japanese,polar,0.14,4.00,1.00,0.25,0.31,2.94,4.62,1.00
ja_polar_40,最高裁と大マスコミはネット表現の敵ですか?,japanese,polar,-0.47,3.00,0.00,0.00,0.58,2.64,0.00,1.00
ja_polar_41,もっと良く撮れた写真はなかったのか?,japanese,polar,-0.64,4.00,1.00,0.25,0.50,2.48,4.62,1.00
ja_polar_42,玉置氏は信者ではないのか?,japanese,polar,-0.07,2.00,0.00,0.00,0.33,2.40,0.00,1.00
ja_polar_43,一番希望するのは?,japanese,polar,-0.44,1.00,0.00,0.75,0.40,1.95,0.00,1.00
ja_polar_44,自称“平和を愛する小柄な”男の妻まで殴りつけたということか。,japanese,polar,-0.33,6.00,1.00,0.25,0.56,3.00,4.62,3.00
ja_polar_45,本気で譲ってほしいという人はいるのかしらん?,japanese,polar,-0.38,4.00,1.00,0.50,0.42,2.64,4.21,3.00
ja_polar_46,横浜市近辺で英会話を習いたいという人にはかなりいいのではないでしょうか?,japanese,polar,0.04,4.00,1.00,0.38,0.45,3.18,4.62,2.00
ja_polar_47,でも、リニューアルしたゲストハウス風のロビー?,japanese,polar,0.93,2.00,1.00,0.00,0.33,2.48,4.62,1.00
ja_polar_48,これでも関係がないと言えるのか?,japanese,polar,-0.08,3.00,0.00,1.00,0.30,2.48,0.00,1.00
ja_polar_49,地区予選で敗者復活戦に回った雪辱を果たせるか。,japanese,polar,-0.44,4.00,1.00,0.50,0.62,2.71,3.93,2.00
ja_polar_50,"抗議デモの継続を宣言した統一教会,日本でも韓国東亜日報の様に襲撃事件が起こる惧れはないのか?",japanese,polar,0.40,5.00,1.50,0.50,0.57,3.43,4.62,3.00
ja_polar_51,すごくそういうところを引っかかる感じですか?,japanese,polar,-0.44,4.00,1.00,0.38,0.67,2.40,4.21,3.00
ja_polar_52,"“鶴”は統一教会教祖・文鮮明の妻,韓鶴子が由来か。",japanese,polar,0.88,4.00,0.00,0.00,0.67,3.00,0.00,0.00
ja_polar_53,陳述書に“現在も通っている”と書いてあるが?,japanese,polar,0.39,3.00,1.00,0.44,0.54,2.83,4.33,4.00
ja_polar_54,そうだろ?,japanese,polar,-1.19,1.00,0.00,0.00,0.50,1.39,0.00,0.00
ja_polar_55,"まさか松田氏は,男性が倒れる前から消防に通報していたとでもいうつもりだったのでしょうか。",japanese,polar,1.77,6.00,1.33,0.56,0.42,3.37,4.39,5.00
ja_polar_56,宗教は怖い?,japanese,polar,-0.69,2.00,0.00,0.00,0.67,1.61,0.00,0.00
ja_polar_57,...あなたが涙を流した「SATC」のエピソードは?,japanese,polar,0.14,3.00,1.00,0.50,0.40,2.83,4.62,1.00
ja_polar_58,企業経営者の、そして企業人一人ひとりの意識改革ではないだろうか。,japanese,polar,0.27,2.00,0.00,0.00,0.50,2.94,0.00,1.00
ja_polar_59,って言ってる年齢不詳?,japanese,polar,-0.69,2.00,1.00,0.25,0.60,1.95,4.62,1.00
ja_polar_60,お皿は全て重ねてたのですが、しばらくすると女性の従業員が来て、こちらのトロ刺身のお皿はお取りになられましたか?,japanese,polar,0.72,4.00,1.67,0.80,0.47,3.69,4.39,5.00
ja_polar_61,その時からのだから?,japanese,polar,-0.39,2.00,0.00,0.00,0.17,2.08,0.00,0.00
ja_polar_62,世界の最良の状態がもはや是認されていない時分に、彼らの聖職者たちは自身のマントに対して正しかったか？,japanese,polar,0.47,5.00,1.00,0.25,0.48,3.53,4.62,3.00
ja_polar_63,またはそれは高価な基準または前払関税なのか？,japanese,polar,0.73,3.00,0.00,0.00,0.29,2.77,0.00,1.00
ja_polar_64,シリーズ2は今のところ動いていますか？,japanese,polar,-0.19,3.00,1.00,0.50,0.45,2.56,3.93,2.00
ja_polar_65,目覚まし時計と格闘しますか？,japanese,polar,-0.53,2.00,0.00,0.50,0.43,2.20,0.00,1.00
ja_polar_66,労働者たちは、机の上に宗教関係の物を置くことが許容されているか？,japanese,polar,0.33,5.00,1.00,0.50,0.55,3.22,4.21,3.00
