unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,question_type,complexity_score
fi_content_131,Miten nainen voisi viljellä sitten sitä arkiromantiikkaa vähän enemmän?,fi,0.004,-0.743,0.0,1.0,0.778,0,1.039
fi_content_93,Ei kai kukaan kaipaa sinne takaisin?,fi,-0.321,-0.743,0.0,0.6,0.667,0,0.203
fi_polar_81,Onko lainan ottamiseen varaa?,fi,-0.341,0.336,0.0,0.2,1.0,1,1.195
fi_content_97,Mutta mitä ihmettä?,fi,-1.121,-1.743,0.0,0.0,0.333,0,-2.531
fi_content_7,Mitä jos uudistuisimme kevään kynnyksellä juuri näin?,fi,-0.287,-0.743,0.0,0.8,0.714,0,0.484
fi_polar_57,Suostutteko keskustapuolueen uudeksi puheenjohtajaksi?,fi,-0.008,-0.664,0.0,0.2,1.0,1,0.528
fi_content_19,Kuinka se on mahdollista?,fi,-0.121,-1.743,0.0,0.0,0.5,0,-1.364
fi_content_110,Miten oppiminen toimi valtion ja kirkon intressien välineenä?,fi,0.022,2.257,0.0,0.6,0.875,0,3.754
fi_content_113,Mihin niitä kelaatteja sitten käytetään?,fi,-0.121,-0.743,0.0,0.6,0.6,0,0.336
fi_content_126,Mikä on sitä arkiromantiikkaa sitten?,fi,0.129,-0.743,0.0,0.0,0.4,0,-0.214
fi_content_52,"”Miksi Carla sitten sanoo, että se on maanpäällinen Helvetti?”",fi,0.629,-0.743,1.0,0.8,0.667,0,2.353
fi_content_1,Mitä minä ihan oikeasti puhun?,fi,0.129,-0.743,0.0,0.6,0.6,0,0.586
fi_content_46,"Miksi pitää kiinni kenestäkään, kun myöhemmin pakotetaan kuitenkin päästämään irti?",fi,-0.232,0.257,2.0,0.6,0.8,0,3.425
fi_polar_0,Onko ammatillinen uskottavuuteni noin pientä..?,fi,-0.008,-0.664,0.0,0.0,0.8,1,0.128
fi_polar_17,PIKKUVAIMO: Saadaanko sitten varmasti pronssia?,fi,-0.008,-0.664,0.0,0.6,1.0,1,0.928
fi_content_122,"Kuka niihin pystyy vaikuttamaan, jos ei ministeri?",fi,-0.287,-0.743,1.0,0.4,0.571,0,0.941
fi_polar_103,Olisiko se toisen passaaminen osa sitä arkiromantiikkaa?,fi,-0.174,-0.664,0.0,0.0,0.429,1,-0.409
fi_polar_108,- Sinäkö kilpailisit ylimysten rikkauksien kanssa sienilläsi?,fi,-0.208,-0.664,0.0,0.6,0.667,1,0.395
fi_content_47,”Kuka muka pakottaa?,fi,-0.621,-1.743,0.0,0.4,0.667,0,-1.297
fi_content_26,PIKKUVAIMO: Mitä sä naurat?,fi,0.213,-0.743,0.0,0.4,0.5,0,0.37
fi_content_54,"Miksi Jumalat olisivat sinne matkalla, ellei se olisi paratiisi?”",fi,0.768,-0.743,1.0,0.0,0.5,0,1.525
fi_polar_74,"Eikö tahdossa löytää itse se tapa, jolla eläminen tekee kaikkein onnellisimmaksi, ole kunnianhimoa kerrakseen?",fi,2.223,2.336,1.0,0.4,0.714,1,6.673
fi_polar_21,Oliko Helsingissä tehty päätös sittenkin hätiköity?,fi,-0.008,0.336,1.0,0.4,0.833,1,2.561
fi_content_17,"Miksi tyydymme vähään ja odotamme, että se paranisi itsestään sitten joskus?",fi,-0.321,1.257,1.0,0.6,0.727,0,3.263
fi_polar_50,Onko tämän asian tiimoilta tullut teille valituksia?,fi,-0.174,-0.664,0.0,0.6,0.429,1,0.191
fi_polar_114,Ratkaiseeko puitesopimus kaikki ongelmat?,fi,-0.341,-0.664,0.0,0.4,0.75,1,0.145
fi_polar_64,Tuleeko hän varmasti?,fi,-0.508,-1.664,0.0,0.4,0.667,1,-1.105
fi_content_34,"Miten komissio suhtautuu siihen, mitkä ovat sen näkemykset asiasta?",fi,-0.496,0.257,0.0,0.8,0.556,0,1.117
fi_polar_27,Olenko minä se väärin pukeutunut?,fi,0.492,-1.664,0.0,0.8,0.4,1,0.028
fi_polar_26,Pitäisikö niistä olla jotenkin erityisen huolissaan juuri siksi?,fi,0.564,-0.664,0.0,0.0,0.625,1,0.525
fi_content_5,"Mitä saadaan, kun purkitetaan sata naista?",fi,-0.521,0.257,1.0,0.4,0.5,0,1.636
fi_content_136,Miten saamme kansalaiset hyväksymään Euroopan yhdentymishankkeen?,fi,-0.721,0.257,1.0,0.4,1.0,0,1.936
fi_content_112,Mitä ihmettä tämä tarkoittaa?,fi,-0.454,-0.743,0.0,0.4,0.5,0,-0.297
fi_content_36,"Miksi minun täytyi elää kylmyydessä, miksi minä en koskaan edes elänyt?",fi,0.879,-0.743,0.0,0.8,0.636,0,1.572
fi_polar_24,"Palasin, kaipasitko minua?",fi,-0.508,-0.664,0.0,0.2,0.667,1,-0.305
fi_polar_69,Voiko äiti olla omin päin ottanut sen käyttöönsä?,fi,0.564,-0.664,0.0,0.8,0.625,1,1.325
fi_content_109,Mikä mahtaa olla tilanne jälkimodernissa länsimaalaisessa yhteiskunnassa?,fi,0.379,-0.743,0.0,0.0,0.571,0,0.207
fi_polar_29,Pitäisikö minun mennä sisälle johonkin taloista?,fi,-0.608,-0.664,0.0,0.4,0.333,1,-0.539
fi_polar_125,Oletteko ehkä kotoisin Raumalta?,fi,-0.674,-1.664,0.0,0.0,0.75,1,-1.588
fi_polar_31,"Kääntäisikö Se mahtavan Ahterinsa Nielun kansalle, ja siunaisi sitä ruskealla sukkulalla ja kultaisella sateella, vai laskisiko Se alas kauhistuttavan Kätensä mukanaan sininen kaikentuhoava tulva?",fi,1.079,1.336,0.0,0.867,0.708,1,3.99
fi_content_12,Miten sitten saavuttaisimme tämän seksuaalisen itseluottamuksen?,fi,-0.321,-0.743,0.0,0.6,0.833,0,0.369
fi_content_23,- ... Mutta miten ne ei ole vieläkään saanut rakennettua sitä Lepuskin tornia?,fi,0.679,0.257,1.0,0.6,0.545,0,3.081
fi_content_30,"Mitä tapahtuu, jos itäeurooppalaiset ja keskieurooppalaiset vallan keskukset kerran siirtyvät?",fi,0.99,2.257,1.0,0.5,0.7,0,5.447
fi_content_128,Ja mikä olisi sitten sitä juhlaromantiikkaa?,fi,-0.321,-0.743,0.0,0.0,0.333,0,-0.731
fi_content_89,Kuka oli Ison-Britannian kuningatar Viktorian aviomies?,fi,-0.321,1.257,0.0,0.0,0.667,0,1.603
fi_content_133,"Kuitenkin se on jotain, mitä nainen ei tunne passaukseksi, jos asia olisi päinvastoin - miksiköhän?",fi,1.187,0.257,2.0,0.8,0.5,0,4.744
fi_polar_18,"(DE) Arvoisa puhemies, voisitteko pyytää hakemaan teknikon?",fi,0.159,-0.664,1.0,0.4,0.857,1,1.752
fi_polar_13,Tekeekö netti meistä tyhmiä?,fi,-0.008,-1.664,0.0,0.6,0.75,1,-0.322
fi_polar_107,– Etkö usko?,fi,-1.008,-1.664,0.0,0.0,0.5,1,-2.172
fi_polar_45,- Piilotitko veneen hyvin?  Juho kysyi.,fi,0.242,-0.664,0.0,0.4,1.0,1,0.978
fi_polar_5,Osaavatko ihmiset lukea toistensa silmistä tällaista itseluottamusta?,fi,-0.174,0.336,1.0,0.4,0.857,1,2.419
fi_polar_43,– Semmoisen paperisenko?,fi,-1.008,-1.664,0.0,0.0,1.0,1,-1.672
fi_content_92,Ymmärrätkö mitä yritän selittää?,fi,-0.787,-0.743,2.0,0.2,1.0,0,1.67
fi_polar_7,Osaako nainen lukea miehen käytöksestä tämän?,fi,-0.208,0.336,1.0,0.4,0.833,1,2.361
fi_content_64,tuu takas mikä sua vaivaa?,fi,-0.121,-0.743,0.0,0.4,0.6,0,0.136
fi_content_14,Miksi emme pidä seksuaalielämäämme usein kovinkaan hyvänä?,fi,-0.287,-0.743,0.0,0.8,0.857,0,0.627
fi_polar_4,”Osaanko nauttia seksistä?”,fi,-1.008,-0.664,1.0,0.2,1.0,1,0.528
fi_polar_113,Päästäänkö kolmanteen pilariin kuuluvaa tietosuojaa koskevasta puitepäätöksestä poliittiseen yhteisymmärrykseen tämän vuoden loppuun mennessä?,fi,0.492,4.336,1.0,0.267,0.846,1,6.941
fi_polar_62,Tulisiko tästä yhtään mitään?,fi,-0.341,-0.664,0.0,0.4,0.5,1,-0.105
fi_content_27,"Tämä setti toimi, sillä siinä vaiheessa kun avaimet oli vaihdettu, uskalsin jo kysyä, että ”mitä sä musta ajattelit, kun ekan kerran näit?”.",fi,0.927,3.257,3.0,0.6,0.545,0,8.329
fi_polar_48,Entä olinko jo ostanut jotain jouluruokia?,fi,-0.208,-0.664,0.0,0.6,0.667,1,0.395
fi_polar_111,"”Voisiko vaimosi paremmin jos pyytäisit tätä lupaa tai kertoisit, että harrastat seksiä toisen naisen kanssa?",fi,-0.15,2.336,1.0,0.55,0.6,1,4.336
fi_content_15,"Miksi emme hae itsellemme sitä nautintoa, jota kaipaamme?",fi,-0.406,0.257,1.0,0.4,0.5,0,1.751
fi_polar_38,"""Eikö ole kaunis päivä?""",fi,-0.674,-0.664,0.0,0.2,0.75,1,-0.388
fi_polar_44,- Eikö se ole selvää?  parrakas ryöväri ärähti.,fi,-0.008,0.336,0.0,0.2,0.571,1,1.099
fi_content_59,Oliko hän varmasti tietoinen mitä teki?,fi,-0.321,-0.743,1.0,0.2,0.5,0,0.636
fi_content_103,Mikä siis avuksi?,fi,-0.621,-1.743,0.0,0.0,0.667,0,-1.697
fi_polar_109,Pitäisikö varsinaissuomalaisia ammattioppilaitoksia yhdistää?,fi,-0.341,-0.664,0.0,0.2,0.75,1,-0.055
fi_content_80,Mitä se tähän kuuluu?,fi,-0.121,-1.743,0.0,0.6,0.25,0,-1.014
fi_content_140,Miksi et nauttisi ja harrastaisi seksiä näistä tuntemuksista huolimatta?,fi,-0.371,-0.743,0.0,0.5,0.556,0,-0.058
fi_polar_105,"Onko arkiseksi nopea tyydytys ennen nukkumaanmenoa, tai nopea tyydytys ennen ylösnousua aamulla?",fi,-0.008,0.336,0.0,0.0,0.667,1,0.995
fi_polar_82,Entä: onko kookkaiden lainojen ottaminen epävakaina talousaikoina järkevää?,fi,1.135,0.336,0.0,0.0,0.875,1,2.346
fi_polar_46,- Haluatteko tupakkia?,fi,-1.008,-1.664,0.0,0.2,1.0,1,-1.472
fi_polar_112,"Voisitko itse paremmin, jos seksielämäsi jatkuisi?”",fi,0.392,-0.664,1.0,0.5,0.833,1,2.061
fi_content_42,"On vain yksi, miksi?",fi,0.213,-0.743,0.0,0.4,0.75,0,0.62
fi_content_68,- Keitä te olette ja miksi tungette tänne iltamyöhällä?,fi,-0.121,-0.743,0.0,0.8,0.5,0,0.436
fi_content_95,"Mikä mieli, järki tai merkitys tällä hirvittävän kokoisella maailmankaikkeudella on?",fi,0.324,0.257,0.0,0.0,0.6,0,1.181
fi_content_119,"Kuinka sitten tiedät, onko sinut bannattu?",fi,-0.121,-0.743,1.0,0.5,0.667,0,1.303
fi_polar_75,"Mistä tiedetään, paljonko työtä tietty kurssi on opiskelijalta vaatinut?",fi,0.742,0.336,1.0,0.5,0.778,1,3.356
