unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,question_type,complexity_score
ar_content_25, متى بدأت مهنتك كقاض؟,ar,-0.455,-3.095,0.0,0.6,0.5,0,-2.45
ar_content_8,أليس هذا أفضل من أن نزرع القمح في رومانيا؟!,ar,-0.167,-2.095,1.0,0.8,0.3,0,-0.162
ar_polar_3, هل حدد القانون عدد القضاة؟,ar,-0.843,-2.625,0.0,0.6,0.8,1,-2.068
ar_content_20, تعني أنه لا يرتدي الملابس الخاصة بالسجن؟,ar,-0.055,-1.095,1.0,0.5,0.556,0,0.906
ar_content_61,ما هي القيود التي من شأنها منع التعبير عن المعتقدات الدينية في الشركات الخاصة؟,ar,-0.27,-0.095,0.0,0.0,0.533,0,0.168
ar_content_1,"فهلا اقلع المسلمون عن ""بدعة مآدب الافطار"" هذه، واكتفوا بالعادي من الافطار، ووفروا من اموالهم بعض الفرح للمليون جائع، في الضفة الغربية وغزة، أولئك الذين لم يعرفوا منذ اعوام للفرح طعما ولا للعيد بهجة؟",ar,1.2,1.905,1.0,0.55,0.432,0,5.087
ar_polar_10, هل زرتم أنتم أو أي من القضاة صدام حسين أو أياً من أعضاء نظامه؟,ar,-0.736,3.375,0.0,0.4,0.4,1,3.439
ar_polar_0,هل تتعمق الأزمة السياسية والاقتصادية في لبنان؟,ar,-0.379,-0.625,0.0,0.2,0.625,1,-0.179
ar_content_0,ويعود الصائم، بعد افطاره الشهي، الى حيث تستقبله، في كل الفضائيات العربية، مشاهد المآسي التي تجري في فلسطين، والمجازر التي يرتكبها العدو الصهيوني ضد شعبنا العربي المسلم في هذه الارض العربية المغتصبة والمدماة... فماذا يفعل؟,ar,1.373,4.905,1.0,0.6,0.535,0,8.413
ar_content_57,وماذا عن وضع أستراليا؟,ar,-0.805,-3.095,0.0,0.0,0.4,0,-3.5
ar_content_9, ما هي طبيعة المحكمة الخاصة التي شكلها مجلس الحكم لمحاكمة صدام حسين وأعضاء النظام السابق؟,ar,-0.644,3.905,1.0,0.6,0.556,0,5.417
ar_polar_8, هل تتوقع أن يحكم صدام حسين بالإعدام؟,ar,-0.379,-1.625,0.0,0.4,0.25,1,-1.354
ar_content_43,إذا وصفوني بالخيانة فهل تستبعد أن أقول إنهم جهلاء؟,ar,-0.139,-2.095,1.0,0.6,0.308,0,-0.326
ar_content_22, كيف تنظر إلى صدام حسين؟,ar,-0.305,-3.095,0.0,0.4,0.2,0,-2.8
ar_polar_12,"هل هناك في هذه ""اللحظة"" مشروع تغييري آخر في المنطقة؟",ar,1.24,-2.625,0.0,0.0,0.4,1,-0.985
ar_content_47,وإذا كان الدولار قد انخفض بنسبة 20% مقابل العملات الأوروبية الأخرى وخاصة اليورو والإسترليني فإن السؤال الذي يدور الآن ما أثر هذا الانخفاض على السوق المصري؟,ar,1.009,1.905,1.5,0.467,0.531,0,5.412
ar_content_3,فإذن أين يكمن الخلاف؟!,ar,-0.305,-3.095,0.0,0.6,0.6,0,-2.2
ar_content_52,وكم عدد العمال المصريين الذين ساهموا في بناء الكويت وتعميرها فتحولت من صحراء جرداء إلى ما هي عليه الآن؟,ar,0.032,1.905,1.0,0.5,0.458,0,3.895
ar_content_13,ـ لأسباب أمنية سيتم التكتم على موقعها حتى يعلن عنها؟,ar,-0.222,-2.095,1.0,0.6,0.462,0,-0.255
ar_content_34,وقال سليمان الجندي ـ صاحب شركة صرافة ـ من الأفضل إغلاق أبواب الشركات والبحث عن مجال آخر للعمل خاصة أن مجال الصرافة أصبح جريمة في نظر الحكومة وتتم محاصرته بكل هذه القوانين والقرارات التي تهدف لإغلاق المزيد من الشركات؟!,ar,-0.033,8.905,1.0,0.55,0.622,0,11.044
ar_content_24, ومتى سيتم تسليمهم إليكم؟,ar,-0.198,-2.095,0.0,0.6,0.25,0,-1.443
ar_polar_6, هل ستكون أنت ضمن القضاة باعتبارك قاضياً وعضواً في مجلس الحكم؟,ar,0.121,-1.625,0.0,1.0,0.467,1,-0.037
ar_polar_17,هل تشهد سيناء حرباً جديدة بين مصر وإسرائيل؟,ar,-0.593,0.375,0.0,0.4,0.667,1,0.849
ar_polar_11,ما دام لا خلاف بين أميركا وسوريا حول لبنان هل يُعقل أن يراهن مسيحيون على واشنطن؟,ar,0.095,0.375,1.0,0.333,0.353,1,2.156
ar_polar_1,هل دفعت الخلافات العائلية الشيخ إلى الانتحار؟,ar,-0.093,-2.625,0.0,0.8,0.714,1,-1.204
ar_content_39,"صديقة قريبة منه باغتته حين أخبرها بإشهاره إسلامه قبل أيام بقولها""حقيقي؟",ar,1.05,-1.095,1.0,0.8,0.4,0,2.155
ar_content_45,"ترتيبات للقاء بين مبارك وشارون بعد ""تقارب"" مصري ـ إسرائيلي؟",ar,0.345,-1.095,0.0,0.0,0.455,0,-0.295
ar_content_2,"و""الوفد"" تسأل الحكومة المصرية أين الحقيقة في هذه التصريحات المعلنة يوم 16/2 الحالي من جانب إسرائيل بشأن الغاز الطبيعي؟!",ar,0.468,2.905,0.0,0.6,0.636,0,4.609
ar_content_16, متى سيحال صدام حسين وأعضاء نظامه إلى المحكمة؟,ar,-0.055,-1.095,0.0,0.8,0.364,0,0.014
ar_content_59,من أين تستمد كل هذه الطاقة؟ أو ذلك الصوت الذي يخرج قوياً بحيث يحدث موجة صادمة؟,ar,-0.243,0.905,2.0,0.467,0.529,0,3.658
ar_polar_13,"هل لا تزال ""الوطنية العربية"" قادرة على الخروج من رجعيتها الحالية كمجرد قوة دفاع عن اوضاع قائمة مفلسة... لكي يكون ممكنا مواجهة السياسة الاميركية بما هو قادر على كسر وحدانية مشروعها التغييري؟",ar,0.193,3.375,1.0,0.8,0.472,1,5.84
ar_content_11, ما هي التهم التي ستوجه إلى صدام حسين وأعضاء قيادته؟,ar,-0.389,-0.095,1.0,0.6,0.308,0,1.424
ar_content_26,"وماذا عن المكتبات؟. عن هذا السؤال اجاب ستيف ريجيو المسؤول عن مكتبة ""بارنيساندنوبل.كوم"" الاميركية على شبكة الانترنت بالقول ""خلال 20 عاما، ستدخل مكتبة ما وتلقم المؤلفات التى تريد على كتابك الالكتروني"".",ar,0.667,1.905,1.0,0.5,0.432,0,4.504
ar_content_10, إذن هي محكمة خاصة؟,ar,-0.722,-4.095,0.0,0.0,0.75,0,-4.067
ar_content_28,لماذا لم تنطلق الحركة التجارية بعد؟,ar,-0.455,-3.095,0.0,0.8,0.5,0,-2.25
ar_content_12, أين سيكون مقر المحكمة؟,ar,-0.805,-3.095,0.0,0.4,0.6,0,-2.9
ar_polar_9, هل ستشارك الأمم المتحدة في محاكمات صدام حسين وبقية أعضاء النظام السابق؟,ar,-0.631,1.375,0.0,0.6,0.571,1,1.915
ar_content_21, ما هو الوقت الذي ستستغرقه هذه المحاكمات؟,ar,-0.305,-2.095,1.0,0.6,0.333,0,-0.467
ar_content_17, ما هي آلية إحالتهم إلى المحكمة؟,ar,-0.555,-2.095,0.0,0.0,0.429,0,-2.221
ar_polar_21,هل المسلسل الثاني ناجحٌ حتى الآن؟,ar,-0.293,-2.625,0.0,0.0,0.667,1,-2.251
ar_polar_2,رئيس الجمعية موافق وقسم هام من الاعضاء رافضون والاختلاف محوره هذه المرة قضية التطبيع وتداعياتها المعقدة المحمولة على اجنحة متعددة بين السياسي والثقافي والفكري والعلمي مشدودة الى الاشكال الحارق الوحيد: هل نقبل باسرائيل ام نصمد على خط القطيعة؟,ar,0.537,6.375,0.0,0.0,0.596,1,7.508
ar_content_53,وكم عدد جنود الجيش المصري الذين ساهموا في تحرير الكويت؟,ar,-0.655,0.905,1.0,0.4,0.636,0,2.286
ar_content_40,ما معنى هذا الكلام؟,ar,-0.722,-2.095,0.0,0.0,0.5,0,-2.317
ar_polar_4, هل سيكون القضاة عراقيين؟,ar,-0.593,-3.625,0.0,0.6,0.6,1,-3.018
ar_content_37,لحرب شرق أوسطية؟,ar,-0.722,-3.095,0.0,0.0,0.75,0,-3.067
ar_content_56,من بوسعه إيقاف منتخب أستراليا هذا؟,ar,-0.77,-1.095,0.0,0.0,0.5,0,-1.365
ar_polar_23,هل يسمح للعاملين بإبقاء أغراض دينية على مكاتبهم؟,ar,-0.393,-1.625,0.0,0.6,0.545,1,-0.873
ar_content_48,وهل سيمتد هذا التأثير على الاحتياطي النقدي الدولاري في البنك المركزي المصري؟,ar,-0.132,-1.095,0.0,0.6,0.571,0,-0.056
ar_content_35,"وتساءل الشاب في الرسالة التي بثها موقع ""الإخوان"" على الإنترنت تحت عنوان ""من شاب مقهور إلى المرشد العام: متى تظهر القوة الحقيقية للإخوان في الميدان؟",ar,0.5,2.905,1.0,0.733,0.607,0,5.745
ar_polar_15,وأبدى شيخ الأزهر دهشته ممن يقولون إنه لا يؤمن بالرأي الآخر وقال: إن بابي مفتوح يدخله العامل والشحات وإنني قلت لمكتبي: لا تمنعوا أحداً من الدخول، وقال ساخراً من هؤلاء: هل هناك حرية رأي أكثر من ذلك؟,ar,1.007,3.375,2.0,0.533,0.451,1,7.366
ar_content_27,ماذا حصل في الحزب الديموقراطي التقدمي؟,ar,-0.655,-3.095,0.0,0.4,0.667,0,-2.683
ar_content_29,فهل يستطيع شيراك اقناع بوش بضرورة التحرك وممارسة الضغوط المطلوبة، لكي توافق اسرائيل على تطبيق توصيات لجنة ميتشل الأميركية؟,ar,-0.389,3.905,1.0,0.6,0.591,0,5.707
ar_content_38,"تحت هذا العنوان نشرت جريدة ""الاتحاد"" تحقيقاً مطولاً جاء فيه: لماذا نشرت إسرائيل خارطة لدمشق ما أسمته مراكز ومكاتب لمنظمات فلسطينية في قلب العاصمة السورية؟",ar,0.945,0.905,1.5,0.6,0.633,0,4.583
ar_content_32,اذاً، انتصرت السلطة او هكذا تعتقد. انتصرت على المعارضة؟ لا، بل هي على الدولة انتصرت. فمع انتهاء ما بدا فصلاً من معركتها مع المعارضة، بات جلياً ان مفهوم الدولة سقط، بل ان الممارسات الدؤوبة للسلطة ومحاسيبها قد اسقطته.,ar,2.224,2.905,1.0,0.45,0.523,0,7.102
