unique_id,text,language,avg_links_len,avg_max_depth,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
id_content_48,"Berkata Ibrahim kepada Namrud itu: ``Jika demikian halnya, mengapa kamu sembah patung-patung itu, yang tidak dapat berkata, tidak dapat melihat dan tidak dapat mendengar, tidak dapat membawa manfaat atau menolak mudharat, bahkan tidak dapat menolong dirinya dari kehancuran dan kebinasaan?",id,1.073,3.774,0.625,0.405,3.932,0,9.809
ja_polar_39,値段の安さも含め、この周辺では一番では無いでしょうか。,ja,0.122,0.727,0.25,0.312,2.944,1,4.355
fi_polar_81,Onko lainan ottamiseen varaa?,fi,-0.341,0.336,0.2,1.0,1.792,1,2.987
fi_polar_125,Oletteko ehkä kotoisin Raumalta?,fi,-0.674,-1.664,0.0,0.75,1.792,1,0.204
id_content_132,"Sebuah pertanyaan, mengapa dipahatkan relief Garudeya?",id,-0.478,-1.226,0.6,0.833,2.197,0,1.926
ja_polar_15,直径30cmはあるかな?,ja,-0.712,-1.273,0.75,0.429,2.197,1,1.391
ru_content_388,У кого остались скрины этих видео или сами видео?,ru,-0.295,0.045,0.333,0.444,2.398,0,2.925
id_polar_206,"Lalu, ia juga mengasuh siaran kuis lain seperti Herkent u deze melodie?",id,-0.28,0.638,0.0,0.75,2.708,1,3.816
ru_polar_50,Нормально ли будет в нём спать без палатки?,ru,-0.307,-0.603,0.4,0.375,2.303,1,2.168
ko_content_28,나 자신의 가치관이 변화되지 않고 어떻게 타인의 가치관을 변화시킬 수 있겠습니까?,ko,-0.601,0.533,0.417,0.727,2.565,0,3.641
ar_content_46,"وأشار إلى أن ""عصبة الأمم المتحدة اعترفت قبل نحو 70 عاماً بملكية حائط البراق للمسلمين باعتباره وقفاً إسلامياً وجزءاً من الأقصى، ثم يأتي هؤلاء ليسلموه لليهود ويطلقون عليه زوراً وبهتاناً اسم حائط المبكى؟"".",ar,0.74,3.905,0.44,0.533,3.932,0,9.55
ru_content_605,Что это значит и почему это так?,ru,0.121,-0.955,0.5,0.429,2.197,0,2.292
ja_content_31,文書をどのようにファイルするか。,ja,-0.537,-1.39,0.6,0.375,2.303,0,1.351
ko_polar_50,이는 명백히 정부 전복행위인데 범죄가 아닌가?,ko,0.16,-1.635,0.0,0.667,2.079,1,1.271
fi_content_145,Miksi esitän näin paljon kysymyksiä nyt?,fi,-0.121,0.257,0.6,1.0,2.079,0,3.815
en_polar_422,Please help with my cats bladder issue?,en,0.378,-0.034,0.333,0.5,2.303,1,3.48
fi_content_95,"Mikä mieli, järki tai merkitys tällä hirvittävän kokoisella maailmankaikkeudella on?",fi,0.324,0.257,0.0,0.6,2.565,0,3.746
id_polar_106,Akankah Niki dan Gio dapat bersatu di tengah begitu banyak pertentangan diantara mereka?,id,0.517,-0.362,0.833,0.5,2.773,1,4.261
ar_content_13,ـ لأسباب أمنية سيتم التكتم على موقعها حتى يعلن عنها؟,ar,-0.222,-2.095,0.6,0.462,2.773,0,1.518
en_content_138,"Thinking about that, what's your title?",en,-0.344,-0.199,0.167,0.286,2.303,0,2.213
ru_content_339,"И да, почему длина стельки почти больше на 1 см чем длина стопы?",ru,0.871,-0.955,0.0,0.615,2.773,0,3.304
ar_content_10, إذن هي محكمة خاصة؟,ar,-0.722,-4.095,0.0,0.75,1.946,0,-2.121
id_polar_114,"Kemudian ia kembali bertanya, apakah mungkin membangkitkan Islam kembali?",id,0.013,-1.362,0.389,0.6,2.565,1,2.205
ko_polar_166,그런데 과연 약속했던 낙원은 건설되었던가?,ko,-0.29,-0.635,0.25,0.8,1.946,1,2.071
ko_content_171,우리가 의미하는 순수한 물질이란 무엇인가?,ko,-0.951,-0.467,0.111,0.8,1.946,0,1.439
ar_content_8,أليس هذا أفضل من أن نزرع القمح في رومانيا؟!,ar,-0.167,-2.095,0.8,0.3,2.565,0,1.403
ru_polar_7,"""От волка, что ли?""— Ирина округлила глаза.",ru,0.169,-1.603,0.4,0.571,2.639,1,2.176
ru_content_274,Или какая прическа мне подойдет?,ru,-0.045,-0.955,0.5,0.4,1.946,0,1.846
fi_content_5,"Mitä saadaan, kun purkitetaan sata naista?",fi,-0.521,0.257,0.4,0.5,2.197,0,2.833
id_content_116,- Apa yang Disebut Berpikir?,id,-0.544,-1.226,0.2,0.5,1.946,0,0.876
ru_polar_59,"Могут ли у меня отобрать гражданство, если буду более года отсутвовать?",ru,0.836,-0.603,0.467,0.545,2.639,1,3.884
en_polar_392,Do I need a protein skimmer or any other equipment?,en,-0.082,-0.034,0.333,0.5,2.485,1,3.202
en_content_94,Can you recommend where these companies each fit within the new organization?,en,0.02,-0.199,0.5,0.5,2.639,0,3.46
ar_content_16, متى سيحال صدام حسين وأعضاء نظامه إلى المحكمة؟,ar,-0.055,-1.095,0.8,0.364,2.639,0,2.653
fi_polar_74,"Eikö tahdossa löytää itse se tapa, jolla eläminen tekee kaikkein onnellisimmaksi, ole kunnianhimoa kerrakseen?",fi,2.223,2.336,0.4,0.714,2.89,1,8.563
ko_content_227,무엇을 하는 여자일까?,ko,-1.201,-1.467,0.167,0.667,1.609,0,-0.225
ja_polar_6,自分たちが所属する組織の構造や社会的布置を知ることができるのではないでしょうか。,ja,0.243,2.727,0.625,0.391,3.219,1,7.205
id_content_49,Mengapa Indonesia tidak mampu berbuat seperti negara-negara tesebut?,id,0.122,-1.226,0.8,0.5,2.303,0,2.499
fi_polar_18,"(DE) Arvoisa puhemies, voisitteko pyytää hakemaan teknikon?",fi,0.159,-0.664,0.4,0.857,2.485,1,3.237
fi_polar_103,Olisiko se toisen passaaminen osa sitä arkiromantiikkaa?,fi,-0.174,-0.664,0.0,0.429,2.197,1,1.788
ru_polar_22,Можно ли лечить пищевую аллергию?,ru,-0.664,-0.603,0.3,0.8,1.946,1,1.779
ar_content_36,"وانتهى مرشد ""الإخوان"" إلى القول ""علينا أن نسأل أنفسنا كم حققنا على مستوى النفس وعلى مستوى الأسرة وعلى مستوى المجتمع؟",ar,-0.014,2.905,0.4,0.32,3.401,0,7.012
fi_polar_15,Mutta uskaltaako se mennä yksin jossain metroasemalla poistamaan oksennukseensa sammuneen nistin?,fi,-0.208,2.336,0.4,0.727,2.565,1,5.82
fi_polar_113,Päästäänkö kolmanteen pilariin kuuluvaa tietosuojaa koskevasta puitepäätöksestä poliittiseen yhteisymmärrykseen tämän vuoden loppuun mennessä?,fi,0.492,4.336,0.267,0.846,2.708,1,8.649
ja_polar_60,お皿は全て重ねてたのですが、しばらくすると女性の従業員が来て、こちらのトロ刺身のお皿はお取りになられましたか?,ja,0.703,0.727,0.8,0.472,3.689,1,6.391
fi_content_109,Mikä mahtaa olla tilanne jälkimodernissa länsimaalaisessa yhteiskunnassa?,fi,0.379,-0.743,0.0,0.571,2.197,0,2.404
ar_content_17, ما هي آلية إحالتهم إلى المحكمة؟,ar,-0.555,-2.095,0.0,0.429,2.303,0,0.082
fi_content_126,Mikä on sitä arkiromantiikkaa sitten?,fi,0.129,-0.743,0.0,0.4,1.946,0,1.732
ko_polar_22,여러분이 지금까지 살아온 삶이 주는 자의 삶이었습니까?,ko,-0.54,-0.635,0.222,0.857,2.197,1,2.101
ar_polar_10, هل زرتم أنتم أو أي من القضاة صدام حسين أو أياً من أعضاء نظامه؟,ar,-0.736,3.375,0.4,0.4,2.89,1,6.329
ko_content_71,"고르비는 현재 어디에 있으며, 그에게 무슨 일이 있는가?",ko,-0.059,-0.467,0.0,0.75,2.398,0,2.622
id_content_157,Indy bertanya memang siapa yang sakit?,id,-0.478,-0.226,0.6,0.667,2.079,0,2.642
ja_content_15,「12星座別キーワード」では、あなたがどんな人か?,ja,0.243,-1.39,0.0,0.417,2.833,0,2.103
id_polar_19,Begitu mudahkah semua itu berdiri di kompleks Regina Pacis?,id,-0.543,-0.362,0.5,0.6,2.485,1,2.68
ja_polar_53,陳述書に“現在も通っている”と書いてあるが?,ja,0.372,-0.273,0.438,0.538,2.833,1,3.908
ru_content_486,Что вы думаете на счет моего мышления?,ru,-0.045,0.045,0.5,0.429,2.197,0,3.126
ko_polar_100,그러면 러셀이 이 역설을 만들어낸 이유는 무얼까?,ko,0.126,0.365,0.333,0.714,2.197,1,3.735
ja_polar_34,同日開会の都議会で、石原氏は施政方針演説に臨むが、一歩踏み込むか。,ja,0.01,0.727,0.875,0.632,3.135,1,5.379
ko_polar_119,"그런 점에서 1894 년 농민전쟁을 민주주의혁명을 완결시킬 변혁주체세력이 형성, 발전하는 단계의 시점이었다고 볼 수 있지 않을까?",ko,0.56,2.365,0.292,0.812,2.944,1,6.973
ja_polar_48,これでも関係がないと言えるのか?,ja,-0.101,-0.273,1.0,0.3,2.485,1,3.411
id_polar_139,Apa pengaruhnya terhadap konflik cinta segitiga Cinta-Dante-Cahaya?,id,-0.67,1.638,0.0,0.625,2.303,1,3.896
ko_polar_156,그렇지만 이제 그 정의를 꼭 말해야만 한다면 나 스스로가 생명에 대한 정의를 내리려고 노력해야 하지 않을까?,ko,0.826,0.365,0.417,0.562,2.89,1,5.06
en_content_154,What do you think?,en,-0.344,-2.199,0.333,0.25,1.792,0,-0.168
fi_polar_108,- Sinäkö kilpailisit ylimysten rikkauksien kanssa sienilläsi?,fi,-0.208,-0.664,0.6,0.667,2.197,1,2.592
