unique_id,text,language,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
en_content_90,What mosques exactly did they visit and who did they meet?,en,-1.199,0.0,0.5,0.364,2.565,0,2.23
en_polar_271,Is there anyone else in EGM that could participate?,en,-0.034,1.0,0.25,0.444,2.398,1,4.058
en_polar_582,Was the iPhone the first Smart Phone?,en,-1.034,0.0,0.0,0.571,2.197,1,1.734
en_polar_159,it's did you watch your girl on tv last night?,en,-1.034,0.0,0.833,0.455,2.565,1,2.819
en_polar_310,Anyone know a release date?,en,-1.034,0.0,0.333,0.6,1.946,1,1.845
en_polar_503,would You like going for *coffee* with him?,en,-0.034,1.0,0.333,0.375,2.485,1,4.159
en_polar_33,Could you run those additional post-id's?,en,-1.034,0.0,0.333,0.571,2.303,1,2.173
en_content_192,How much money does the USA give NASA per year?,en,-0.199,0.0,0.667,0.7,2.485,0,3.653
en_polar_389,my Tom cat will not eat meat just the juice in the can.?,en,-0.034,0.0,0.667,0.538,2.708,1,3.879
en_content_348,What's going on dude?,en,-2.199,0.0,0.5,0.4,1.946,0,0.647
en_content_287,Where in the states could I go?,en,-0.199,0.0,0.333,0.429,2.197,0,2.76
en_polar_80,you live in NZ and you eat McDonalds ice cream?,en,0.966,0.0,0.5,0.545,2.565,1,4.576
en_polar_560,PS- Were you having phone system problems this morning?,en,-0.034,0.0,0.667,0.667,2.485,1,3.785
en_polar_393,NOOK Color or NOOK Tablet?,en,-1.034,0.0,0.0,0.8,1.946,1,1.712
en_content_265,"I'm American and I am going to the UK for the first time, what should I expect?",en,-0.199,0.0,0.5,0.333,3.045,0,3.679
en_polar_261,Are you selling burgers up and down the east coast?,en,0.966,0.0,0.5,0.4,2.485,1,4.351
en_polar_245,Can we have a meeting this week (maybe Thursday at 3:30) to discuss this?,en,1.966,1.0,0.333,0.429,2.89,1,6.618
en_content_269,What do you think of these photos?,en,-1.199,0.0,0.5,0.286,2.197,0,1.784
en_polar_589,air asia flight attendant?,en,-1.034,0.0,0.0,1.0,1.792,1,1.758
en_polar_366,Travelers guide - For the young and unknowledgeable?,en,-0.034,0.0,0.0,0.5,2.398,1,2.864
en_content_147,"What correlation are you assuming, 15% flat for twenty years?",en,-0.199,0.0,0.5,0.364,2.639,0,3.304
en_content_46,how many ounces in a pint in ireland?,en,-1.199,0.0,0.0,0.625,2.303,0,1.729
en_polar_612,Want a great burger?,en,-1.034,0.0,0.167,0.75,1.792,1,1.675
en_content_154,What do you think?,en,-2.199,0.0,0.333,0.25,1.792,0,0.176
en_content_380,Erm ya How can I watch Fair City Online in England lols?,en,-1.199,0.0,0.0,0.5,2.639,0,1.94
en_polar_601,they will talk to me if i am mexican?,en,-1.034,1.0,0.5,0.222,2.398,1,3.086
en_polar_77,need help finding irish music?,en,0.966,1.0,0.167,1.0,1.946,1,5.079
en_polar_364,"Canadian student visa, can I used for other schools?",en,-0.034,0.0,0.333,0.667,2.485,1,3.451
en_polar_334,Would you recommend living in Limerick as a student?,en,-0.034,1.0,0.333,0.444,2.398,1,4.141
en_content_362,What influenced Picasso's cubism style of painting?,en,-0.199,0.0,0.333,0.625,2.303,0,3.062
en_content_165,How are you making out on the revised version of the LOC?,en,-0.199,0.0,0.333,0.417,2.639,0,3.19
en_content_25,"In the Episode ""So in Louvre Are We Two"", How many diffrent painting/scupltures are their and who are the artists?",en,0.801,0.0,0.667,0.5,3.296,0,5.264
en_content_297,where can I find the best tours to the Mekong Delta at reasonable prices?,en,-0.199,0.0,0.667,0.571,2.773,0,3.812
en_polar_454,"a degu, a rat, a mouse, a hamster or a guinea pig?",en,-1.034,0.0,0.0,0.5,2.833,1,2.299
