unique_id,text,language,avg_links_len,avg_max_depth,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
ru_content_579,Женщинам ? а тетки от 49 сидят как думаете? на них высок спрос....,ru,0.955,1.045,0.5,0.583,2.773,0,5.856
ru_polar_61,Хватит ли мне 250 тысеч тенге переехать в вам?,ru,0.211,-0.603,0.5,0.444,2.398,1,2.95
ru_content_178,Солнце и море - что ещё надо для хорошего настроения?,ru,0.205,0.045,0.5,0.667,2.485,0,3.902
ru_content_137,"Щемит сердце,частичное онемение левого мизинца,потоотделение при еде или движении,если лежу то сердце как бы стучит в голове -мне 49лет -куда обратиться и что это может быть?",ru,1.61,1.045,0.472,0.633,3.611,0,7.371
ru_polar_113,Законно ли то что они мне прислали?,ru,0.002,-0.603,0.6,0.286,2.197,1,2.482
ru_polar_144,Будет ли это работать?,ru,-0.164,-2.603,0.4,0.25,1.792,1,-0.325
ru_polar_44,Летал ли кто-то с такой температурой недавно?,ru,0.336,-0.603,0.6,0.429,2.197,1,2.959
ru_polar_94,"Если азиат плохо видеть, может ли он щурится чтобы лучше видеть?",ru,-0.164,-0.603,0.5,0.636,2.639,1,3.008
ru_content_388,У кого остались скрины этих видео или сами видео?,ru,-0.295,0.045,0.333,0.444,2.398,0,2.925
ru_content_505,Что может быть причиной этого и как исправить?,ru,-0.045,-0.955,0.417,0.5,2.303,0,2.22
ru_content_544,Что привлекает в Ученом как в человеке каждую из них?,ru,0.288,0.045,0.667,0.3,2.485,0,3.785
ru_content_432,Как мне с ней себя вести?,ru,0.555,-0.955,0.667,0.333,2.079,0,2.679
ru_content_132,"Почему считаете, что молока стало меньше и малыш не наедается?",ru,0.177,0.045,0.5,0.6,2.565,0,3.887
ru_polar_18,Используете ли пустышку?,ru,-0.664,-2.603,0.4,0.667,1.609,1,-0.591
ru_polar_75,"Хочу поменять его на что-то чёрное, стоит ли?",ru,-0.021,-0.603,0.333,0.5,2.398,1,2.607
ru_content_86,Но почему он не слышал ее раньше?,ru,0.121,-1.955,1.0,0.429,2.197,0,1.792
ru_polar_64,Аоезда скорые или автобусы идут ли?,ru,-0.164,-0.603,0.4,0.667,2.079,1,2.379
ru_polar_114,И могу ли я подать заявление в прокуратуру ?,ru,-0.593,0.397,0.5,0.5,2.303,1,3.107
ru_content_361,А сам ботинок из другого материала кто подскажет?,ru,-0.331,0.045,0.167,0.375,2.303,0,2.559
ru_polar_106,Можно ли копать чермет с металлоискателем не нарушая закон?,ru,-0.414,0.397,0.4,0.667,2.398,1,3.448
ru_polar_92,Можно ли как-то сделать её чёрной?,ru,-0.564,-1.603,0.5,0.667,2.079,1,1.079
ru_polar_165,Нужно ли сохранять такие цветы на зиму или выбрасывать?,ru,0.086,-0.603,0.4,0.556,2.398,1,2.837
ru_polar_76,Пальто предназначено на осеннюю погоду до -10 Выглядит ли оно красиво?,ru,0.199,-0.603,0.6,0.5,2.639,1,3.335
ru_polar_131,Готов ли организм девочки к сексу в таком возрасте?,ru,-0.164,-0.603,0.0,0.556,2.398,1,2.187
ru_polar_39,Посадят ли его на самолёт? и что его ждёт по прилёту?,ru,0.436,-0.603,0.8,0.364,2.639,1,3.636
ru_polar_142,"И правилен ли перевод предложения ""Я бегу на помощь подруге""?",ru,-0.164,-0.603,0.6,0.6,2.639,1,3.072
ru_content_52,Куда можно пойти в Сочи?,ru,-0.545,-0.955,0.25,0.8,1.946,0,1.496
ru_content_274,Или какая прическа мне подойдет?,ru,-0.045,-0.955,0.5,0.4,1.946,0,1.846
ru_polar_5,Есть ли крыша над головой?,ru,-0.664,-0.603,0.4,0.6,1.946,1,1.679
ru_content_464,"В общем как вы считаете, это нормально?",ru,-0.212,-0.955,0.667,0.571,2.303,0,2.374
ru_content_529,Что мне сделать если даже запахи и остались?,ru,0.24,0.045,0.5,0.375,2.303,0,3.463
ru_polar_34,"Скажите пожалуйста, стоит ли мне идти к врачу, и чем нужно это лечить?",ru,0.252,0.397,0.45,0.462,2.833,1,4.394
ru_polar_12,Подскажите нужно ли обращаться за помощью?,ru,-0.764,0.397,0.2,0.667,2.079,1,2.579
ru_polar_105,Могу ли я выходить на работу если результаты еще не пришли?,ru,0.736,-0.603,0.6,0.545,2.565,1,3.843
ru_content_635,"Если польский, украинский и русский можно сказать, что славянские языки, а японский, китайский и корейский - восточные, то как можно обьяденить французский, немецкий и английский языки?",ru,2.121,4.045,0.333,0.72,3.526,0,10.745
ru_content_96,"- Значит, что же -- они нас даже и не заметили?",ru,1.205,-0.955,0.5,0.222,2.639,0,3.611
ru_polar_182,Будет ли счастье в семье разлучницы или разлучника?,ru,-0.164,-0.603,0.0,0.5,2.303,1,2.036
ru_content_623,Прислужником кого был Саурон?,ru,-0.045,-1.955,0.0,0.5,1.792,0,0.292
ru_content_85,"""Что с тобой случится?— сказали ему.",ru,-0.245,-0.955,0.333,0.333,2.398,0,1.864
ru_content_605,Что это значит и почему это так?,ru,0.121,-0.955,0.5,0.429,2.197,0,2.292
ru_polar_167,Можно ли прийти в турагентство и спросить набирают ли они группу для такого полета?,ru,-0.087,1.397,0.5,0.5,2.773,1,5.083
ru_content_392,Кто на алиэкспрессе продаёт алмазную мозаику на подрамнике?,ru,-0.188,-0.955,0.667,0.625,2.303,0,2.452
ru_content_652,"Знаете, где можно научиться мнемотехнике?",ru,-0.295,0.045,0.222,1.0,2.079,0,3.051
ru_polar_103,"Есть ли в сети полноценная статья, где указывается, что можно?",ru,-0.053,0.397,0.4,0.7,2.639,1,4.083
ru_polar_2,"Ты помнишь ли, что я Еще живу в сем мире?",ru,0.058,-0.603,0.7,0.4,2.565,1,3.12
ru_polar_50,Нормально ли будет в нём спать без палатки?,ru,-0.307,-0.603,0.4,0.375,2.303,1,2.168
ru_polar_140,Вопрос такой: можно ли с ней не гулять?,ru,-0.164,0.397,0.4,0.375,2.398,1,3.406
ru_content_516,Подскажите как называется эта модель кроссовок adidas?,ru,-0.712,1.045,0.25,0.714,2.197,0,3.494
ru_content_51,А что для вас настоящее счастье?,ru,0.555,-0.955,0.0,0.333,2.079,0,2.012
ru_polar_54,Обязаны ли меня поселить по ксероксу?,ru,-0.564,-0.603,0.4,0.5,2.079,1,1.812
ru_content_339,"И да, почему длина стельки почти больше на 1 см чем длина стопы?",ru,0.871,-0.955,0.0,0.615,2.773,0,3.304
ru_content_340,"Я ничего не понял, как понять, обучили меня смешарики чему-то?",ru,0.288,-0.955,0.5,0.5,2.639,0,2.972
ru_content_359,Что это за фигня?,ru,-0.045,-1.955,0.0,0.25,1.792,0,0.042
ru_polar_22,Можно ли лечить пищевую аллергию?,ru,-0.664,-0.603,0.3,0.8,1.946,1,1.779
ru_polar_117,Сюда же вопрос: часто ли машинисты переходят с работы на пассажирском поезде к работе на грузовом и наоборот?,ru,-0.047,2.397,0.8,0.611,3.045,1,6.806
ru_polar_91,Есть ли еще грибы в лесу?,ru,-0.564,-0.603,0.4,0.667,2.079,1,1.979
ru_polar_24,Так можно ли это все назвать аллергией?,ru,-0.498,-0.603,0.5,0.571,2.197,1,2.167
ru_polar_83,"Рост 168 см, какой размер свитшота будет выбрать правильнее, и подойдёт ли размер 44/46 RUS?",ru,-0.093,1.397,0.4,0.533,2.944,1,5.181
ru_polar_164,"Если мне будет мастурбировать чувак, пока я буду смотреть на нюдесы его девушки, будет ли он считаться куколдом?",ru,0.365,-0.603,0.8,0.389,3.091,1,4.042
ru_content_612,"Кто придумал, как создали и кто поет в песне гобафон?",ru,-0.045,0.045,0.389,0.6,2.565,0,3.554
ru_content_458,Есть идеи как поймать ее?,ru,-0.795,0.045,0.25,0.8,1.946,0,2.246
ru_content_282,Кто собирается лететь за рубеж?,ru,-0.795,0.045,0.25,0.6,1.946,0,2.046
ru_content_555,Как можно узнать еще больше информации?,ru,-0.445,1.045,0.25,0.833,2.079,0,3.762
ru_content_258,"Везде одна синтетика и понты, почему люди забывают классическую одежду?",ru,0.177,0.045,0.5,0.8,2.565,0,4.087
ru_content_486,Что вы думаете на счет моего мышления?,ru,-0.045,0.045,0.5,0.429,2.197,0,3.126
ru_polar_63,Будут ли трудности поездкой?,ru,-0.831,-2.603,0.0,0.5,1.792,1,-1.142
ru_content_25,и самое главное для кого?,ru,-0.045,-0.955,0.0,0.2,1.946,0,1.146
ru_polar_130,Есть ли польза от секса в 13 лет?,ru,-0.45,0.397,0.2,0.5,2.303,1,2.95
ru_polar_93,"Можно ли в The division начать дополнение ""выживание"" без прохождения компании?",ru,-0.064,-0.603,0.5,0.545,2.708,1,3.086
ru_content_270,Где близлежайший христианский православный храм?,ru,0.455,-0.955,0.0,1.0,1.946,0,2.446
ru_content_144,"Может быть есть какие-нибудь чаи или таблетки, которые вызывают аппетит?",ru,-0.268,0.045,0.208,0.7,2.565,0,3.25
ru_content_591,И что со всем этим делать?,ru,0.555,-0.955,0.5,0.167,2.079,0,2.346
ru_polar_155,Не нужно ли мне будет сидеть потом 2х недельный карантин дома?,ru,0.236,-0.603,0.6,0.545,2.565,1,3.343
ru_content_409,А как мне помириться то с ней после этого?,ru,0.08,-0.955,1.0,0.222,2.398,0,2.745
ru_content_79,— Что?— Петино лицо показалось из-за журнала.,ru,-0.045,0.045,0.333,0.667,2.398,0,3.398
ru_polar_124,Можно ли писать знак корня над интегралом?,ru,-0.498,-0.603,0.4,0.714,2.197,1,2.21
ru_content_507,Может кто знает что это за грибы?,ru,-0.545,0.045,0.25,0.429,2.197,0,2.376
ru_content_492,Кто-нибудь знает что случилось с Paper Manufacturing?,ru,-0.712,0.045,0.417,0.286,2.197,0,2.233
ru_polar_20,Опасно ли если ребёнок откусил яблочного червя с яблоком?,ru,-0.164,-0.603,0.8,0.667,2.398,1,3.098
ru_polar_184,Имел ли кто-нибудь такое оружие (пусть даже травматическое)?,ru,0.55,-1.603,0.8,0.375,2.485,1,2.607
ru_content_311,Чем опасны волны на море в Австралии?,ru,-0.545,0.045,0.0,0.571,2.197,0,2.268
ru_polar_187,Выпарится ли влага из всего этого при включении кабеля?,ru,0.336,-1.603,0.8,0.444,2.398,1,2.375
ru_polar_157,Пустят ли меня если мне нет данного возраста?,ru,-0.164,-0.603,0.6,0.5,2.303,1,2.636
ru_content_562,В чем причина может быть?,ru,-0.795,-0.955,0.25,0.6,1.946,0,1.046
ru_content_64,— Что?— глухо в подушку отозвался он.,ru,0.355,0.045,0.5,0.5,2.398,0,3.798
ru_content_32,А сейчас что?,ru,-0.545,-1.955,0.0,0.333,1.609,0,-0.558
ru_content_332,Вот сыллка на фрагмент этот: vm.tiktok.com/ZSxje1xw/ Какая это серия?,ru,0.705,0.045,0.0,0.333,2.485,0,3.568
ru_polar_49,Легко ли найти жилье и работу?,ru,-0.764,0.397,0.2,0.667,2.079,1,2.579
ru_polar_191,Будем ли мы вместе несмотря на запрет?,ru,-0.164,-0.603,0.0,0.429,2.197,1,1.859
ru_polar_173,"Правда ли то, что если мужчина не готов бесцельно тратить свои жизненные силы и ресурсы на паразитов, женщинам для отношений он будет не интересен?",ru,2.401,3.397,0.6,0.5,3.332,1,10.23
ru_polar_7,"""От волка, что ли?""— Ирина округлила глаза.",ru,0.169,-1.603,0.4,0.571,2.639,1,2.176
ru_content_349,Что значит ДЕЛАТЬ ЭТО?,ru,-1.045,-0.955,0.25,0.5,1.792,0,0.542
