unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,n_tokens,question_type,complexity_score
en_content_14,Which wonderful contact of mine is thumbs upping all my best answers ^^?,en,0.073,-0.199,0.0,0.667,2.708,0,3.249
en_content_331,"Hmmm, she says, Then why are you calling here, we don't go past broad?",en,0.656,-0.199,0.0,0.222,2.996,0,3.675
en_content_270,what are some unique customs in ireland?,en,-0.511,-0.199,0.0,0.0,2.197,0,1.487
en_content_24,how do you mold silicone or rubber into a mermaid tail?,en,-0.044,-0.199,0.0,0.667,2.565,0,2.989
en_content_305,When you feed him how many pinkies do you feed him?,en,-0.344,-0.199,1.0,0.583,2.565,0,3.605
en_content_177,What are you doing to the least of the people?,en,-0.344,-0.199,0.0,0.5,2.485,0,2.442
en_content_152,What do I need to do?,en,-0.144,-1.199,1.0,0.333,2.079,0,2.069
en_polar_323,Has the disaster affected the way other countries view the US?,en,-0.593,0.966,1.0,0.333,2.565,1,4.271
en_polar_497,3. Is there too much mineral in the water?,en,-0.318,-0.034,0.0,0.5,2.485,1,2.633
en_content_358,Is this how your clients usually evaluate these properties?,en,-0.594,-0.199,1.0,0.5,2.398,0,3.105
en_polar_96,That he didn’t show up for duty in Alabama?,en,0.14,-1.034,0.0,1.0,2.485,1,2.591
en_polar_278,Are we ready to execute?,en,-0.693,-1.034,1.0,0.167,1.946,1,1.386
en_content_181,I say why not?,en,-1.011,-1.199,0.0,0.333,1.792,0,-0.085
en_content_251,What are good places to eat brunch at? ?,en,-0.63,-1.199,1.0,0.5,2.398,0,2.069
en_content_300,I have tryed to give him water but he wont take it.. what should i do?,en,0.781,-1.199,1.0,0.542,2.996,0,4.12
en_polar_567,Have you had any knowledgement about pearl pigment.?,en,-0.479,-0.034,0.0,0.333,2.303,1,2.123
en_polar_228,"With regard to our annual review of this list of laws we need to comply with, do we not want to add the Canadian provinces new ""eligible swap participant"" equivalant rules?",en,0.807,3.966,1.5,0.417,3.584,1,10.274
en_content_262,What could be the issue and can I try some home remedies first?,en,0.156,-0.199,0.0,0.667,2.708,0,3.332
en_polar_422,Please help with my cats bladder issue?,en,0.378,-0.034,0.0,0.333,2.303,1,2.98
en_polar_200,"Ben Taub hospital is located at 1504 Taub Loop, Houston, Texas, phone number: 713-793-2000.?",en,0.422,-0.034,0.0,0.667,2.996,1,4.051
en_polar_569,cos ill be going to baguio alone and i have tight?,en,0.17,-1.034,0.0,0.667,2.639,1,2.442
en_content_204,"We have the technology; if you are going to spend billions of dollars touting ""FREEDOM"" why not spend those billions making all of us free?",en,0.614,2.801,2.0,0.472,3.401,0,9.288
en_polar_370,The Canadian Regenesis actress Mayko Nguyen has Japanese connection or is it her fake name?,en,0.449,-0.034,0.0,0.5,2.833,1,3.748
en_polar_173,Are either of you familiar with this project?,en,0.092,-0.034,0.0,0.0,2.303,1,2.361
en_content_185,You who like the tough talk of Tough on Crime?,en,-0.677,1.801,1.0,0.333,2.485,0,4.942
en_content_298,what are you having problems with?,en,0.256,-0.199,0.0,0.333,2.079,0,2.469
en_content_171,"Where is the ""simple"" explanation of the transportation piece?",en,0.531,-0.199,0.0,0.0,2.565,0,2.897
en_content_370,I have hundreds of VHS movies lying around... what should I do with them?,en,0.195,-0.199,1.0,0.389,2.833,0,4.218
en_polar_147,Is that Microwave that you gave Dan really expensive?,en,0.682,-0.034,1.0,0.5,2.398,1,4.546
en_polar_110,Does this reappropriation lead to or originate from the same place?,en,-0.093,-1.034,0.0,0.5,2.565,1,1.938
en_content_310,What is the best time of year?,en,-0.511,-0.199,0.0,0.0,2.197,0,1.487
en_polar_204,Just wanted to know were we stand on the ETA and PA for Argentina?,en,-0.347,1.966,2.0,0.389,2.773,1,6.781
en_polar_463,Is there any tricks I could use?,en,-0.36,-0.034,1.0,0.25,2.197,1,3.053
en_polar_474,Did your vet take radiographs (x-rays)?,en,-0.193,-0.034,0.0,0.333,2.485,1,2.591
en_content_75,"so, enemy, what's your point?",en,1.256,-2.199,0.0,0.0,2.303,0,1.36
en_content_67,"""Can you name the general who is in charge of Pakistan?""",en,-0.444,0.801,1.0,0.333,2.708,0,4.398
en_content_398,how can you get wifi anywhere 24/7 on your apple ipod 8gb?,en,0.887,-1.199,0.0,1.0,2.833,0,3.521
en_content_59,Which airlines should I look into and when should I buy my ticket?,en,0.156,-0.199,0.0,0.583,2.708,0,3.248
en_content_105,"Do we have a sense for how many we can reach, how many we can't and where they are?",en,0.077,1.801,1.0,0.583,3.135,0,6.596
en_content_90,What mosques exactly did they visit and who did they meet?,en,0.056,-1.199,0.0,0.5,2.565,0,1.922
en_polar_271,Is there anyone else in EGM that could participate?,en,-0.068,-0.034,1.0,0.25,2.398,1,3.546
en_polar_582,Was the iPhone the first Smart Phone?,en,0.64,-1.034,0.0,0.0,2.197,1,1.803
en_polar_159,it's did you watch your girl on tv last night?,en,0.007,-1.034,0.0,0.833,2.565,1,2.371
en_polar_310,Anyone know a release date?,en,-0.443,-1.034,0.0,0.333,1.946,1,0.802
en_polar_503,would You like going for *coffee* with him?,en,0.092,-0.034,1.0,0.333,2.485,1,3.876
en_polar_33,Could you run those additional post-id's?,en,0.64,-1.034,0.0,0.333,2.303,1,2.242
en_content_192,How much money does the USA give NASA per year?,en,-0.566,-0.199,0.0,0.667,2.485,0,2.387
en_polar_389,my Tom cat will not eat meat just the juice in the can.?,en,-0.277,-0.034,0.0,0.667,2.708,1,3.064
en_content_348,What's going on dude?,en,-0.844,-2.199,0.0,0.5,1.946,0,-0.597
en_content_287,Where in the states could I go?,en,0.156,-0.199,0.0,0.333,2.197,0,2.487
en_polar_80,you live in NZ and you eat McDonalds ice cream?,en,-0.093,0.966,0.0,0.5,2.565,1,3.938
en_polar_560,PS- Were you having phone system problems this morning?,en,0.057,-0.034,0.0,0.667,2.485,1,3.175
en_polar_393,NOOK Color or NOOK Tablet?,en,-0.443,-1.034,0.0,0.0,1.946,1,0.469
en_content_265,"I'm American and I am going to the UK for the first time, what should I expect?",en,0.833,-0.199,0.0,0.5,3.045,0,4.179
en_polar_261,Are you selling burgers up and down the east coast?,en,0.251,0.966,0.0,0.5,2.485,1,4.202
en_polar_245,Can we have a meeting this week (maybe Thursday at 3:30) to discuss this?,en,-0.04,1.966,1.0,0.333,2.89,1,6.149
en_content_269,What do you think of these photos?,en,-0.344,-1.199,0.0,0.5,2.197,0,1.154
en_polar_589,air asia flight attendant?,en,-0.86,-1.034,0.0,0.0,1.792,1,-0.102
en_polar_366,Travelers guide - For the young and unknowledgeable?,en,-0.336,-0.034,0.0,0.0,2.398,1,2.028
en_content_147,"What correlation are you assuming, 15% flat for twenty years?",en,-0.444,-0.199,0.0,0.5,2.639,0,2.496
en_content_46,how many ounces in a pint in ireland?,en,-0.344,-1.199,0.0,0.0,2.303,0,0.76
en_polar_612,Want a great burger?,en,-0.193,-1.034,0.0,0.167,1.792,1,0.732
en_content_154,What do you think?,en,-0.344,-2.199,0.0,0.333,1.792,0,-0.418
en_content_380,Erm ya How can I watch Fair City Online in England lols?,en,0.656,-1.199,0.0,0.0,2.639,0,2.096
en_polar_601,they will talk to me if i am mexican?,en,0.057,-1.034,1.0,0.5,2.398,1,2.921
en_polar_77,need help finding irish music?,en,-0.943,0.966,1.0,0.167,1.946,1,3.136
en_polar_364,"Canadian student visa, can I used for other schools?",en,-0.193,-0.034,0.0,0.333,2.485,1,2.591
en_polar_334,Would you recommend living in Limerick as a student?,en,-0.318,-0.034,1.0,0.333,2.398,1,3.379
en_content_362,What influenced Picasso's cubism style of painting?,en,-0.487,-0.199,0.0,0.333,2.303,0,1.95
en_content_165,How are you making out on the revised version of the LOC?,en,-0.162,-0.199,0.0,0.333,2.639,0,2.611
en_content_25,"In the Episode ""So in Louvre Are We Two"", How many diffrent painting/scupltures are their and who are the artists?",en,0.037,0.801,0.0,0.667,3.296,0,4.801
en_content_297,where can I find the best tours to the Mekong Delta at reasonable prices?,en,0.348,-0.199,0.0,0.667,2.773,0,3.589
en_polar_454,"a degu, a rat, a mouse, a hamster or a guinea pig?",en,1.534,-1.034,0.0,0.0,2.833,1,3.333
