unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type,complexity_score
ja_content_17,"で,どんな顔だった?",ja,content,-0.52,-2.296,0.0,0.0,0.2,2.079,0.0,-1.13,0,-1.385
ja_content_18,"信者の人権を守るために身体の自由をどの程度侵してもやむを得ないと言えるのか,という議論ではないでしょうか。",ja,content,0.182,2.704,2.5,0.5,0.375,3.555,4.463,4.87,0,2.023
ja_content_19,これからの日本ラグビー史にどれだけの栄光を刻むのか。,ja,content,-0.055,-0.296,0.0,0.8,0.333,2.833,0.0,-1.13,0,-0.705
ja_content_20,削除しないのはなぜだろう?,ja,content,0.397,-1.296,1.0,0.4,0.286,2.197,4.615,-1.13,0,-0.053
ja_content_21,具体的には、どのようなことが行われるのか。,ja,content,0.147,-0.296,1.0,0.8,0.308,2.773,4.215,0.87,0,0.495
ja_content_22,"自分たちの会員であるホメオパシー信者の活動の中で人が一人亡くなっているのに,“HOMOEOPATHYYES”とは,日本ホメオパシー医学協会は,いったい,どういう神経をしているのでしょうか。",ja,content,0.833,3.704,1.0,0.233,0.575,3.871,4.463,4.87,0,2.089
ja_content_23,じゃあ次はどうなるのか?,ja,content,-0.27,-1.296,0.0,1.0,0.429,2.197,0.0,-1.13,0,-0.96
ja_content_24,霊はいつ肉体から離れていくのか?,ja,content,0.064,-1.296,1.0,0.6,0.4,2.485,3.932,-0.13,0,0.043
ja_content_25,"どういう人のどういう夢かはさておき,夢の中に出てくる寺社って,こんな感じなんじゃないだろうか?",ja,content,0.115,1.704,1.0,0.2,0.481,3.434,4.435,3.87,0,1.383
ja_content_26,一連の事態をどのように理解すればいいのでしょうか。,ja,content,-0.116,-0.296,1.0,1.0,0.286,2.773,3.932,-0.13,0,0.271
ja_content_27,皆さんもインドアエンタメを楽しむ際のお供に、いかがですか?,ja,content,-0.055,1.704,1.0,0.2,0.6,2.89,4.615,-1.13,0,0.496
ja_content_28,中日の次期監督に決まっている高木守道氏からラブコールを送られている福留に、巨人も再び手を伸ばすことになるかどうか。,ja,content,-0.051,4.704,1.0,0.367,0.606,3.584,4.615,3.87,0,1.949
ja_content_29,そのモサは今何をしているか。,ja,content,-0.492,-1.296,1.0,0.4,0.4,2.485,3.932,-0.13,0,-0.081
ja_content_30,"いったい,“次世紀ファーム研究所”とは何なのか。",ja,content,1.003,-1.296,0.0,0.0,0.5,2.833,0.0,-1.13,0,-0.799
ja_content_31,文書をどのようにファイルするか。,ja,content,-0.412,-1.296,1.0,0.6,0.375,2.303,3.932,-0.13,0,-0.069
ja_content_32,彼らは誰ですか。,ja,content,-0.87,-1.296,0.0,0.0,0.167,2.079,0.0,-1.13,0,-1.284
ja_content_33,幸いなことに、ソニー・オーストラリアにいた誰かは、「おい、ところで、君たちはこれに気づいたかい？」という様子だった、とポールは言った。,ja,content,1.789,1.704,1.333,0.15,0.314,3.807,4.394,2.87,0,1.567
ja_content_34,誰がこのオーストラリアサイドを止めることができるのか？,ja,content,0.094,-1.296,0.0,1.0,0.333,2.639,0.0,-1.13,0,-0.844
ja_content_35,また、オーストラリアの位置づけはどうなのか？,ja,content,0.064,-0.296,0.0,0.0,0.4,2.565,0.0,-2.13,0,-1.014
ja_content_36,彼女の全エネルギーはどこから来ているのだろうか。もしくは、衝撃波を引き起こす力を以って打ちのめすことのできるあの声？,ja,content,0.841,1.704,1.0,0.267,0.464,3.466,4.615,3.87,0,1.545
ja_content_37,しかし、グレンダに素晴らしい技を披露させたとして、誰がそれを咎めることができるだろうか。,ja,content,1.049,0.704,2.0,0.733,0.304,3.296,4.215,0.87,0,1.045
ja_content_38,警官は私に作者Günter de Bruynを知っているか？同業者なのか？と、極めて言葉少なに質問した。,ja,content,1.855,0.704,1.5,0.467,0.48,3.401,4.331,1.87,0,1.28
ja_content_39,民間企業において宗教的信念に関する発言を妨げる危険のある制限は何であるか？,ja,content,-0.079,4.704,1.0,0.08,0.545,3.178,4.435,3.87,0,1.792
ja_content_40,党内のどこに歴史的正当性があるのだろうか？,ja,content,0.314,-0.296,0.0,0.8,0.385,2.708,0.0,-1.13,0,-0.657
ja_polar_0,そんなことで許されるのでしょうか?,ja,polar,-0.555,-1.296,0.0,0.6,0.25,2.303,0.0,-1.13,1,-1.084
ja_polar_1,疲労回復では他に譲るか?,ja,polar,-0.412,-1.296,0.0,0.6,0.5,2.303,0.0,-1.13,1,-1.02
ja_polar_2,"貴市および貴財団では,本申入にかかる事実が判っても,今後もAPTFによる使用を許可し続けるのですか。",ja,polar,0.623,1.704,1.0,0.16,0.517,3.497,4.394,2.87,1,1.306
ja_polar_3,そうですか。,ja,polar,-0.77,-2.296,0.0,0.0,0.333,1.609,0.0,-2.13,1,-1.645
ja_polar_4,では統一原理は使いますか?,ja,polar,-0.412,-1.296,0.0,0.6,0.375,2.303,0.0,-1.13,1,-1.04
ja_polar_5,ホームページもキレイな感じで女性向けなのかな?,ja,polar,-0.27,-0.296,0.0,0.0,0.462,2.708,0.0,-1.13,1,-0.871
ja_polar_6,自分たちが所属する組織の構造や社会的布置を知ることができるのではないでしょうか。,ja,polar,0.185,2.704,1.0,0.5,0.391,3.219,3.932,-0.13,1,0.82
ja_polar_7,1議席で連立するか?,ja,polar,-0.87,-1.296,0.0,0.4,0.333,2.079,0.0,-1.13,1,-1.191
ja_polar_8,"“シャクブくん”や“池田小作”にいたっては,別のカルト団体のネタではないでしょうか。",ja,polar,0.362,-0.296,1.0,0.0,0.45,3.296,3.932,-0.13,1,0.298
ja_polar_9,警察は摘発しないのか?,ja,polar,-0.103,-1.296,0.0,0.6,0.286,2.197,0.0,-1.13,1,-1.022
ja_polar_10,"では,霊芝は免疫システムの病気であるリューマチにもよいのでしょうか?",ja,polar,0.668,0.704,1.0,0.0,0.412,2.996,4.615,-0.13,1,0.569
ja_polar_11,天ざるではちょっと多いかな?,ja,polar,-0.555,-1.296,0.0,0.0,0.5,2.303,0.0,-2.13,1,-1.305
ja_polar_12,日本の高野山カフェや坊主バーは大丈夫でしょうか。,ja,polar,-0.542,0.704,0.0,0.0,0.583,2.639,0.0,-2.13,1,-0.907
ja_polar_13,一点突破したものがあなたにあるか。,ja,polar,0.13,-0.296,1.0,0.4,0.364,2.565,3.932,-0.13,1,0.192
ja_polar_14,こんなことできない?,ja,polar,-1.27,-1.296,0.0,0.2,0.5,1.792,0.0,-1.13,1,-1.309
ja_polar_15,直径30cmはあるかな?,ja,polar,-0.77,-1.296,0.0,0.6,0.429,2.197,0.0,-1.13,1,-1.107
ja_polar_16,知恵とアイディアを結集させたこの「推し面メーカー」は、最初から公開予定だったのだろうか。,ja,polar,0.254,1.704,1.0,0.1,0.409,3.296,4.215,0.87,1,0.828
ja_polar_17,仕事では孤独、プライベートは意外と華やかということか。,ja,polar,-0.103,0.704,1.0,0.0,0.538,2.773,4.615,-1.13,1,0.263
ja_polar_18,"宗教であるから,詐欺罪には当たらない?",ja,polar,0.175,-0.296,1.0,0.2,0.5,2.565,4.215,0.87,1,0.399
ja_polar_19,私を犯罪の構成要件を満たす刑法犯として告発するために110番通報したんじゃなかったのか?,ja,polar,0.545,2.704,1.0,0.667,0.321,3.401,4.215,0.87,1,1.135
ja_polar_20,テレビの都市伝説芸人ですか?,ja,polar,-0.436,-1.296,0.0,0.0,0.571,2.197,0.0,-1.13,1,-1.128
ja_polar_21,それで生き方、変わりますか?,ja,polar,-0.27,-1.296,1.0,0.3,0.429,2.303,3.932,-0.13,1,-0.086
ja_polar_22,今後もこの教団に所属していたいですか?,ja,polar,0.367,-1.296,1.0,0.4,0.333,2.639,3.932,-0.13,1,0.074
ja_polar_23,調達先はUK拠点のDFJ EspritとフランスのSofinnovaだとか。,ja,polar,-0.27,-0.296,0.0,0.0,0.533,2.833,0.0,-2.13,1,-1.002
ja_polar_24,"きちんと説明し,堂々と市長として頑張ったらいいじゃないですか。",ja,polar,0.597,-0.296,1.0,0.5,0.312,2.944,3.932,-0.13,1,0.339
ja_polar_25,一緒に話を聞かせてもらってもいいですか?,ja,polar,0.564,-1.296,1.0,0.5,0.308,2.708,3.932,-0.13,1,0.13
ja_polar_26,思わずつまんでみたくなるぷっくり出たおなか。,ja,polar,-0.047,-0.296,1.667,0.2,0.6,2.485,4.615,1.87,1,0.704
ja_polar_27,"彼が誠実であれ不誠実であれ,摂理を出た以上,摂理とからめる必要があるのでしょうか?",ja,polar,0.503,1.704,1.0,0.32,0.522,3.296,4.394,2.87,1,1.28
ja_polar_28,"元妻である人物にたいして失礼だし,子ども達への影響を考えないのだろうか?",ja,polar,-0.07,1.704,1.0,0.267,0.429,3.178,4.331,1.87,1,0.969
ja_polar_29,関西ではスタンダードな部類の味ではないでしょうか。,ja,polar,0.147,-0.296,0.0,0.0,0.308,2.708,0.0,-1.13,1,-0.828
ja_polar_30,そんな夏にぴったり?,ja,polar,-0.936,-1.296,0.0,0.0,0.5,1.792,0.0,-2.13,1,-1.451
ja_polar_31,眼科医だって患者だって、朝鮮人じゃないか。,ja,polar,-0.361,-0.296,2.0,0.0,0.417,2.708,4.215,0.87,1,0.452
ja_polar_32,他だとkawara cafeくらいでしょうか?,ja,polar,-0.27,-1.296,1.0,0.0,0.375,2.303,3.932,-0.13,1,-0.144
ja_polar_33,スポーツを頑張っている子供たちにランクをつけるような言動ができるのでしょうか?,ja,polar,-0.492,2.704,1.0,0.35,0.474,3.045,4.331,1.87,1,1.063
ja_polar_34,同日開会の都議会で、石原氏は施政方針演説に臨むが、一歩踏み込むか。,ja,polar,-0.047,0.704,1.0,0.7,0.632,3.135,3.932,-0.13,1,0.513
ja_polar_35,未来の英雄?,ja,polar,-0.77,-1.296,0.0,0.0,0.667,1.609,0.0,-2.13,1,-1.427
ja_polar_36,"やはり日本の企業とビジネスで関わる上で,空気を読むことは大事なのでしょうか。",ja,polar,0.52,0.704,1.0,0.4,0.45,3.135,4.615,-0.13,1,0.639
ja_polar_37,ではJBSには“統一教会”との認識はあったということか?,ja,polar,0.855,0.704,1.0,0.4,0.412,3.045,4.615,-0.13,1,0.673
ja_polar_38,"特に個人ページに関して言えば,今後ユビキタス社会が進んでいけば,リアルの世界の行動タイムラインに集約されていくんじゃないでしょうか。",ja,polar,0.912,0.704,1.25,0.433,0.5,3.638,4.435,3.87,1,1.466
ja_polar_39,値段の安さも含め、この周辺では一番では無いでしょうか。,ja,polar,0.064,0.704,1.0,0.2,0.312,2.944,4.615,-1.13,1,0.314
ja_polar_40,最高裁と大マスコミはネット表現の敵ですか?,ja,polar,-0.542,-0.296,0.0,0.0,0.583,2.639,0.0,-1.13,1,-0.907
ja_polar_41,もっと良く撮れた写真はなかったのか?,ja,polar,-0.714,0.704,1.0,0.2,0.5,2.485,4.615,-1.13,1,0.142
ja_polar_42,玉置氏は信者ではないのか?,ja,polar,-0.145,-1.296,0.0,0.0,0.333,2.398,0.0,-1.13,1,-1.086
ja_polar_43,一番希望するのは?,ja,polar,-0.52,-2.296,0.0,0.6,0.4,1.946,0.0,-1.13,1,-1.276
ja_polar_44,自称“平和を愛する小柄な”男の妻まで殴りつけたということか。,ja,polar,-0.403,2.704,1.0,0.2,0.562,2.996,4.615,0.87,1,0.942
ja_polar_45,本気で譲ってほしいという人はいるのかしらん?,ja,polar,-0.451,0.704,1.0,0.4,0.417,2.639,4.215,0.87,1,0.491
ja_polar_46,横浜市近辺で英会話を習いたいという人にはかなりいいのではないでしょうか?,ja,polar,-0.032,0.704,1.0,0.3,0.455,3.178,4.615,-0.13,1,0.54
ja_polar_47,でも、リニューアルしたゲストハウス風のロビー?,ja,polar,0.855,-1.296,1.0,0.0,0.333,2.485,4.615,-1.13,1,0.012
ja_polar_48,これでも関係がないと言えるのか?,ja,polar,-0.159,-0.296,0.0,0.8,0.3,2.485,0.0,-1.13,1,-0.785
ja_polar_49,地区予選で敗者復活戦に回った雪辱を果たせるか。,ja,polar,-0.52,0.704,1.0,0.4,0.615,2.708,3.932,-0.13,1,0.314
ja_polar_50,"抗議デモの継続を宣言した統一教会,日本でも韓国東亜日報の様に襲撃事件が起こる惧れはないのか?",ja,polar,0.323,1.704,1.5,0.4,0.571,3.434,4.615,0.87,1,1.085
ja_polar_51,すごくそういうところを引っかかる感じですか?,ja,polar,-0.52,0.704,1.0,0.3,0.667,2.398,4.215,0.87,1,0.465
ja_polar_52,"“鶴”は統一教会教祖・文鮮明の妻,韓鶴子が由来か。",ja,polar,0.802,0.704,0.0,0.0,0.667,2.996,0.0,-2.13,1,-0.615
ja_polar_53,陳述書に“現在も通っている”と書いてあるが?,ja,polar,0.314,-0.296,1.0,0.35,0.538,2.833,4.331,1.87,1,0.679
ja_polar_54,そうだろ?,ja,polar,-1.27,-2.296,0.0,0.0,0.5,1.386,0.0,-2.13,1,-1.736
ja_polar_55,"まさか松田氏は,男性が倒れる前から消防に通報していたとでもいうつもりだったのでしょうか。",ja,polar,1.69,2.704,1.333,0.45,0.423,3.367,4.394,2.87,1,1.71
ja_polar_56,宗教は怖い?,ja,polar,-0.77,-1.296,0.0,0.0,0.667,1.609,0.0,-2.13,1,-1.427
ja_polar_57,...あなたが涙を流した「SATC」のエピソードは?,ja,polar,0.064,-0.296,1.0,0.4,0.4,2.833,4.615,-1.13,1,0.179
ja_polar_58,企業経営者の、そして企業人一人ひとりの意識改革ではないだろうか。,ja,polar,0.197,-1.296,0.0,0.0,0.5,2.944,0.0,-1.13,1,-0.913
ja_polar_59,って言ってる年齢不詳?,ja,polar,-0.77,-1.296,1.0,0.2,0.6,1.946,4.615,-1.13,1,-0.266
ja_polar_60,お皿は全て重ねてたのですが、しばらくすると女性の従業員が来て、こちらのトロ刺身のお皿はお取りになられましたか?,ja,polar,0.645,0.704,1.667,0.64,0.472,3.689,4.394,2.87,1,1.357
ja_polar_61,その時からのだから?,ja,polar,-0.47,-1.296,0.0,0.0,0.167,2.079,0.0,-2.13,1,-1.382
ja_polar_62,世界の最良の状態がもはや是認されていない時分に、彼らの聖職者たちは自身のマントに対して正しかったか？,ja,polar,0.397,1.704,1.0,0.2,0.484,3.526,4.615,0.87,1,0.983
ja_polar_63,またはそれは高価な基準または前払関税なのか？,ja,polar,0.653,-0.296,0.0,0.0,0.286,2.773,0.0,-1.13,1,-0.738
ja_polar_64,シリーズ2は今のところ動いていますか？,ja,polar,-0.27,-0.296,1.0,0.4,0.455,2.565,3.932,-0.13,1,0.141
ja_polar_65,目覚まし時計と格闘しますか？,ja,polar,-0.603,-1.296,0.0,0.4,0.429,2.197,0.0,-1.13,1,-1.113
ja_polar_66,労働者たちは、机の上に宗教関係の物を置くことが許容されているか？,ja,polar,0.254,1.704,1.0,0.4,0.545,3.219,4.215,0.87,1,0.887
