experiment_type,language,task,submetric,control_index,layer_index,metric,value
probe,en,question_type,,,7,accuracy,0.9363636363636364
probe,en,question_type,,mean_control,7,accuracy,0.5242424242424243
probe,en,question_type,,,8,accuracy,0.9454545454545454
probe,en,question_type,,mean_control,8,accuracy,0.5333333333333333
probe,en,question_type,,,9,accuracy,0.9545454545454546
probe,en,question_type,,mean_control,9,accuracy,0.5
probe,en,question_type,,,10,accuracy,0.9545454545454546
probe,en,question_type,,mean_control,10,accuracy,0.5303030303030303
probe,en,question_type,,,11,accuracy,0.9272727272727272
probe,en,question_type,,mean_control,11,accuracy,0.5363636363636364
probe,en,question_type,,,12,accuracy,0.9
probe,en,question_type,,mean_control,12,accuracy,0.5
probe,en,single_submetric,avg_links_len,,1,mse,0.0104158297181129
probe,en,single_submetric,avg_links_len,mean_control,1,mse,0.013927192116777067
probe,en,single_submetric,avg_max_depth,,1,mse,0.0179835446178913
probe,en,single_submetric,avg_max_depth,mean_control,1,mse,0.03020358706514037
probe,en,single_submetric,avg_subordinate_chain_len,,1,mse,0.0242650881409645
probe,en,single_submetric,avg_subordinate_chain_len,mean_control,1,mse,0.0309018939733505
probe,en,single_submetric,avg_verb_edges,,1,mse,0.0428463444113731
probe,en,single_submetric,avg_verb_edges,mean_control,1,mse,0.0660192022720972
probe,en,single_submetric,lexical_density,,1,mse,0.0301937237381935
probe,en,single_submetric,lexical_density,mean_control,1,mse,0.0308075205733378
probe,en,single_submetric,n_tokens,,1,mse,0.0137197514995932
probe,en,single_submetric,n_tokens,mean_control,1,mse,0.027257898201545033
probe,en,single_submetric,avg_links_len,,2,mse,0.010285647585988
probe,en,single_submetric,avg_links_len,mean_control,2,mse,0.014023721528549934
probe,en,single_submetric,avg_max_depth,,2,mse,0.0195110216736793
probe,en,single_submetric,avg_max_depth,mean_control,2,mse,0.030841458588838536
probe,en,single_submetric,avg_subordinate_chain_len,,2,mse,0.0285305231809616
probe,en,single_submetric,avg_subordinate_chain_len,mean_control,2,mse,0.031103883559505097
probe,en,single_submetric,avg_verb_edges,,2,mse,0.0511403903365135
probe,en,single_submetric,avg_verb_edges,mean_control,2,mse,0.06933029989401497
probe,en,single_submetric,lexical_density,,2,mse,0.0304294601082801
probe,en,single_submetric,lexical_density,mean_control,2,mse,0.031192780782779036
probe,en,single_submetric,n_tokens,,2,mse,0.0108181154355406
probe,en,single_submetric,n_tokens,mean_control,2,mse,0.025722153484821302
probe,en,single_submetric,avg_links_len,,3,mse,0.0114889563992619
probe,en,single_submetric,avg_links_len,mean_control,3,mse,0.014021161012351466
probe,en,single_submetric,avg_max_depth,,3,mse,0.0218313056975603
probe,en,single_submetric,avg_max_depth,mean_control,3,mse,0.030492749065160668
probe,en,single_submetric,avg_subordinate_chain_len,,3,mse,0.0309578478336334
probe,en,single_submetric,avg_subordinate_chain_len,mean_control,3,mse,0.032970933864514
probe,en,single_submetric,avg_verb_edges,,3,mse,0.0567182786762714
probe,en,single_submetric,avg_verb_edges,mean_control,3,mse,0.07795295615990953
probe,en,single_submetric,lexical_density,,3,mse,0.0298007111996412
probe,en,single_submetric,lexical_density,mean_control,3,mse,0.03183996615310506
probe,en,single_submetric,n_tokens,,3,mse,0.0100658629089593
probe,en,single_submetric,n_tokens,mean_control,3,mse,0.027174985657135598
probe,en,single_submetric,avg_links_len,,4,mse,0.0107106966897845
probe,en,single_submetric,avg_links_len,mean_control,4,mse,0.0132763196403781
probe,en,single_submetric,avg_max_depth,,4,mse,0.0185831170529127
probe,en,single_submetric,avg_max_depth,mean_control,4,mse,0.03011772471169627
probe,en,single_submetric,avg_subordinate_chain_len,,4,mse,0.025706049054861
probe,en,single_submetric,avg_subordinate_chain_len,mean_control,4,mse,0.031188668683171203
probe,en,single_submetric,avg_verb_edges,,4,mse,0.0519615486264228
probe,en,single_submetric,avg_verb_edges,mean_control,4,mse,0.0649422605832417
probe,en,single_submetric,lexical_density,,4,mse,0.028314022347331
probe,en,single_submetric,lexical_density,mean_control,4,mse,0.029479014997680936
probe,en,single_submetric,n_tokens,,4,mse,0.0115987816825509
probe,en,single_submetric,n_tokens,mean_control,4,mse,0.02675513798991833
probe,en,single_submetric,avg_links_len,,5,mse,0.0106121785938739
probe,en,single_submetric,avg_links_len,mean_control,5,mse,0.012725601904094169
probe,en,single_submetric,avg_max_depth,,5,mse,0.0174609031528234
probe,en,single_submetric,avg_max_depth,mean_control,5,mse,0.028994476422667434
probe,en,single_submetric,avg_subordinate_chain_len,,5,mse,0.0243964325636625
probe,en,single_submetric,avg_subordinate_chain_len,mean_control,5,mse,0.0308466590940952
probe,en,single_submetric,avg_verb_edges,,5,mse,0.0521913915872573
probe,en,single_submetric,avg_verb_edges,mean_control,5,mse,0.0774445111552874
probe,en,single_submetric,lexical_density,,5,mse,0.0266717672348022
probe,en,single_submetric,lexical_density,mean_control,5,mse,0.029453979184230133
probe,en,single_submetric,n_tokens,,5,mse,0.0127096995711326
probe,en,single_submetric,n_tokens,mean_control,5,mse,0.024896730979283566
probe,en,single_submetric,avg_links_len,,6,mse,0.0090239197015762
probe,en,single_submetric,avg_links_len,mean_control,6,mse,0.011664751296242032
probe,en,single_submetric,avg_max_depth,,6,mse,0.0160829704254865
probe,en,single_submetric,avg_max_depth,mean_control,6,mse,0.028156225879987035
probe,en,single_submetric,avg_subordinate_chain_len,,6,mse,0.0220587160438299
probe,en,single_submetric,avg_subordinate_chain_len,mean_control,6,mse,0.02924781044324233
probe,en,single_submetric,avg_verb_edges,,6,mse,0.0470500476658344
probe,en,single_submetric,avg_verb_edges,mean_control,6,mse,0.07321122288703914
probe,en,single_submetric,lexical_density,,6,mse,0.0252532437443733
probe,en,single_submetric,lexical_density,mean_control,6,mse,0.028473939746618233
probe,en,single_submetric,n_tokens,,6,mse,0.0161459203809499
probe,en,single_submetric,n_tokens,mean_control,6,mse,0.023936389635006532
probe,en,single_submetric,avg_links_len,,7,mse,0.0099181113764643
probe,en,single_submetric,avg_links_len,mean_control,7,mse,0.011921494267880833
probe,en,single_submetric,avg_max_depth,,7,mse,0.0161819625645875
probe,en,single_submetric,avg_max_depth,mean_control,7,mse,0.028427660465240433
probe,en,single_submetric,avg_subordinate_chain_len,,7,mse,0.0248691011220216
probe,en,single_submetric,avg_subordinate_chain_len,mean_control,7,mse,0.029223289961616133
probe,en,single_submetric,avg_verb_edges,,7,mse,0.0516116544604301
probe,en,single_submetric,avg_verb_edges,mean_control,7,mse,0.0753954425454139
probe,en,single_submetric,lexical_density,,7,mse,0.0254293698817491
probe,en,single_submetric,lexical_density,mean_control,7,mse,0.02703418955206867
probe,en,single_submetric,n_tokens,,7,mse,0.0157023519277572
probe,en,single_submetric,n_tokens,mean_control,7,mse,0.023159148171544033
probe,en,single_submetric,avg_links_len,,8,mse,0.0103379776701331
probe,en,single_submetric,avg_links_len,mean_control,8,mse,0.012299789736668199
probe,en,single_submetric,avg_max_depth,,8,mse,0.0159392971545457
probe,en,single_submetric,avg_max_depth,mean_control,8,mse,0.02940174937248226
probe,en,single_submetric,avg_subordinate_chain_len,,8,mse,0.0256860200315713
probe,en,single_submetric,avg_subordinate_chain_len,mean_control,8,mse,0.029194541896382934
probe,en,single_submetric,avg_verb_edges,,8,mse,0.0763679668307304
probe,en,single_submetric,avg_verb_edges,mean_control,8,mse,0.07921475917100904
probe,en,single_submetric,lexical_density,,8,mse,0.0254500322043895
probe,en,single_submetric,lexical_density,mean_control,8,mse,0.0278799856702486
probe,en,single_submetric,n_tokens,,8,mse,0.0146414590999484
probe,en,single_submetric,n_tokens,mean_control,8,mse,0.02296314078072703
probe,en,single_submetric,avg_links_len,,9,mse,0.0100176576524972
probe,en,single_submetric,avg_links_len,mean_control,9,mse,0.011871474795043434
probe,en,single_submetric,avg_max_depth,,9,mse,0.0187497548758983
probe,en,single_submetric,avg_max_depth,mean_control,9,mse,0.029277842491865103
probe,en,single_submetric,avg_subordinate_chain_len,,9,mse,0.0253114886581897
probe,en,single_submetric,avg_subordinate_chain_len,mean_control,9,mse,0.0290720853954553
probe,en,single_submetric,avg_verb_edges,,9,mse,0.0748731791973114
probe,en,single_submetric,avg_verb_edges,mean_control,9,mse,0.076745793223381
probe,en,single_submetric,lexical_density,,9,mse,0.0264412406831979
probe,en,single_submetric,lexical_density,mean_control,9,mse,0.029398394748568497
probe,en,single_submetric,n_tokens,,9,mse,0.0144678596407175
probe,en,single_submetric,n_tokens,mean_control,9,mse,0.024590399737159364
probe,en,single_submetric,avg_links_len,,10,mse,0.0148905105888843
probe,en,single_submetric,avg_links_len,mean_control,10,mse,0.011545071067909335
probe,en,single_submetric,avg_max_depth,,10,mse,0.0203050933778285
probe,en,single_submetric,avg_max_depth,mean_control,10,mse,0.029299147427081996
probe,en,single_submetric,avg_subordinate_chain_len,,10,mse,0.0270320810377597
probe,en,single_submetric,avg_subordinate_chain_len,mean_control,10,mse,0.0364585469166437
probe,en,single_submetric,avg_verb_edges,,10,mse,0.0472076795995235
probe,en,single_submetric,avg_verb_edges,mean_control,10,mse,0.064480019112428
probe,en,single_submetric,lexical_density,,10,mse,0.0282316040247678
probe,en,single_submetric,lexical_density,mean_control,10,mse,0.029839864000677997
probe,en,single_submetric,n_tokens,,10,mse,0.0163394622504711
probe,en,single_submetric,n_tokens,mean_control,10,mse,0.027499119440714436
probe,en,single_submetric,avg_links_len,,11,mse,0.0093237161636352
probe,en,single_submetric,avg_links_len,mean_control,11,mse,0.011443406033019167
probe,en,single_submetric,avg_max_depth,,11,mse,0.0219697598367929
probe,en,single_submetric,avg_max_depth,mean_control,11,mse,0.030664880449573134
probe,en,single_submetric,avg_subordinate_chain_len,,11,mse,0.0262540336698293
probe,en,single_submetric,avg_subordinate_chain_len,mean_control,11,mse,0.03286375912527237
probe,en,single_submetric,avg_verb_edges,,11,mse,0.0645526647567749
probe,en,single_submetric,avg_verb_edges,mean_control,11,mse,0.06894725809494649
probe,en,single_submetric,lexical_density,,11,mse,0.0273850709199905
probe,en,single_submetric,lexical_density,mean_control,11,mse,0.028928590317567168
probe,en,single_submetric,n_tokens,,11,mse,0.0177905615419149
probe,en,single_submetric,n_tokens,mean_control,11,mse,0.0292160995304584
probe,en,single_submetric,avg_links_len,,12,mse,0.0094261122867465
probe,en,single_submetric,avg_links_len,mean_control,12,mse,0.009513400495052301
probe,en,single_submetric,avg_max_depth,,12,mse,0.0288212206214666
probe,en,single_submetric,avg_max_depth,mean_control,12,mse,0.0305920497824748
probe,en,single_submetric,avg_subordinate_chain_len,,12,mse,0.0252005383372306
probe,en,single_submetric,avg_subordinate_chain_len,mean_control,12,mse,0.027164068693915966
probe,en,single_submetric,avg_verb_edges,,12,mse,0.0581833682954311
probe,en,single_submetric,avg_verb_edges,mean_control,12,mse,0.05894227574268973
probe,en,single_submetric,lexical_density,,12,mse,0.0304568447172641
probe,en,single_submetric,lexical_density,mean_control,12,mse,0.031009076163172666
probe,en,single_submetric,n_tokens,,12,mse,0.0234976876527071
probe,en,single_submetric,n_tokens,mean_control,12,mse,0.028290816272298434
probe,fi,complexity,,,1,mse,0.0253547076135873
probe,fi,complexity,,mean_control,1,mse,0.045683243622382436
probe,fi,complexity,,,2,mse,0.0340434163808822
probe,fi,complexity,,mean_control,2,mse,0.046371109783649396
probe,fi,complexity,,,3,mse,0.034000888466835
probe,fi,complexity,,mean_control,3,mse,0.0476789735257625
probe,fi,complexity,,,4,mse,0.030467664822936
probe,fi,complexity,,mean_control,4,mse,0.0455699724455674
probe,fi,complexity,,,5,mse,0.0301165468990802
probe,fi,complexity,,mean_control,5,mse,0.044644046574830974
probe,fi,complexity,,,6,mse,0.0269736628979444
probe,fi,complexity,,mean_control,6,mse,0.05084800471862153
probe,fi,complexity,,,7,mse,0.0302963349968194
probe,fi,complexity,,mean_control,7,mse,0.04367805148164427
probe,fi,complexity,,,8,mse,0.0288613606244325
probe,fi,complexity,,mean_control,8,mse,0.04051712776223817
probe,fi,complexity,,,9,mse,0.0314278416335582
probe,fi,complexity,,mean_control,9,mse,0.048192939410607004
probe,fi,complexity,,,10,mse,0.0403951443731784
probe,fi,complexity,,mean_control,10,mse,0.0494695139499505
probe,fi,complexity,,,11,mse,0.0319448187947273
probe,fi,complexity,,mean_control,11,mse,0.056896032144625935
probe,fi,complexity,,,12,mse,0.041654672473669
probe,fi,complexity,,mean_control,12,mse,0.042633678764104795
probe,fi,question_type,,,1,accuracy,0.8909090909090909
