unique_id,text,language,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score,dataset_source
arabic_polar_29,هل الميلانوما مؤلمة ؟,ar,-1.825,0.0,0.0,0.667,1.609,1,0.451,tydi
english_content_5611,When did the legend of the Excalibur sword originate?,en,0.422,0.0,0.333,0.556,2.398,0,3.709,tydi
russian_polar_110,Посещение художественной школы платно для детей России на март 2019?,ru,0.5,0.0,0.0,0.8,2.485,1,3.785,tydi
korean_content_3926,일제강점기를 시작한 일본의 지도자는 누구인가?,ko,0.184,1.0,0.2,1.0,1.946,0,4.33,tydi
russian_polar_104,Рудольф Вальтер Рихард Гесс был признан военным преступником?,ru,-0.5,0.0,0.6,0.875,2.303,1,3.278,tydi
arabic_polar_1717,"هل إسم ""دراكولا"" يعني إبن الشيطان ؟",ar,-0.825,0.0,0.5,0.667,2.303,1,2.645,tydi
english_content_6602,How long does it take to boil water in Denver?,en,0.422,1.0,0.5,0.6,2.485,0,5.007,tydi
indonesian_content_10536,Kapan Raden Mas Soewardi Soerjaningrat lahir?,id,1.219,0.0,0.333,1.0,2.079,0,4.631,tydi
english_content_7823,Why are they called brass instruments?,en,-0.578,0.0,0.667,0.667,2.079,0,2.835,tydi
korean_polar_369,목탁수구리는 점토질 지형을 좋아하나요?,ko,-1.136,0.0,0.5,1.0,1.792,1,2.156,tydi
russian_content_7785,Когда родился Дже́нсон Алекса́ндр Ла́йонс Ба́ттон MBE?,ru,-0.51,0.0,0.333,0.714,2.197,0,2.734,tydi
finnish_content_10811,Mikä on Malmin pinta-ala?,fi,-0.051,0.0,0.0,0.5,1.792,0,2.241,tydi
arabic_polar_706,هل للمشتري أقمار؟,ar,-0.825,0.0,0.0,0.25,1.792,1,1.217,tydi
arabic_content_21008,متى تم اختراع الراديو؟,ar,-0.8,0.0,0.333,0.5,1.792,0,1.825,tydi
russian_polar_773,Все танки Т-35 были подбиты в бою во Второй Мировой войне?,ru,0.5,0.0,0.8,0.583,2.639,1,4.522,tydi
japanese_content_4999,紙テープの起源はいつ,ja,-1.19,0.0,0.0,0.5,1.946,0,1.256,tydi
russian_content_11009,Кто был главным художником игры Freelancer?,ru,-0.51,0.0,0.0,0.5,2.079,0,2.069,tydi
japanese_content_2328,サイバーニュウニュウのデビュー曲は何？,ja,-0.19,0.0,0.0,0.571,2.197,0,2.578,tydi
russian_content_12718,Какая власть была в Харькове до того как пришла советская власть во время гражданской войны?,ru,2.49,1.0,0.5,0.533,2.833,0,7.356,tydi
russian_content_2787,"Кто написал слова песни ""Когда твой друг в крови...""?",ru,2.49,0.0,0.333,0.556,2.565,0,5.944,tydi
japanese_content_1343,アンドレーア・パッラーディオの最期の建築は何,ja,-1.19,0.0,0.0,0.444,2.303,0,1.557,tydi
japanese_polar_480,暗黒物質の存在は証明された？,ja,0.447,0.0,0.2,0.444,2.398,1,3.489,tydi
arabic_content_18625,ما هو الانقسام الخلوي؟,ar,-0.8,0.0,0.0,0.5,1.792,0,1.492,tydi
korean_polar_180,구조 미치타카는 후지와라 씨의 지파 구조 가문인가요?,ko,-1.136,0.0,0.75,1.0,2.197,1,2.811,tydi
korean_polar_366,십이분위각(十二分位角) 또는 세미섹스타일(Semi-sextile 또는 SSx)은 30°의 각도인가요?,ko,-0.136,0.0,0.75,0.4,2.639,1,3.653,tydi
russian_content_5530,Когда был написан роман Жюля Верна «20 000 льё под водой»?,ru,1.49,0.0,0.5,0.636,2.708,0,5.334,tydi
russian_content_2902,Когда был основан город Сарапул?,ru,-0.51,0.0,0.5,0.8,1.946,0,2.736,tydi
russian_content_10674,Почему началась Гражданская война в России?,ru,0.49,0.0,0.333,0.833,2.079,0,3.735,tydi
indonesian_polar_258,Apakah film Dragon Ball Z diangkat dari anime ?,id,1.518,0.0,0.75,0.778,2.398,1,5.444,tydi
finnish_content_7685,Milloin Neotokyo -pelin kehittäminen aloitettiin?,fi,0.949,0.0,0.333,1.0,1.946,0,4.228,tydi
indonesian_polar_471,Apakah Psikologi kognitif diperlukan dalam pendidikan anak TK?,id,0.518,0.0,0.75,0.778,2.398,1,4.444,tydi
english_content_2284,What is significant about James the Less?,en,0.422,0.0,0.0,0.429,2.197,0,3.048,tydi
finnish_polar_1017,Onko Eddie Van Halen perustanut EVH-nimisen sähkökitaroita valmistavan yrityksen?,fi,2.15,1.0,0.25,0.889,2.398,1,6.687,tydi
english_content_2630,Where can you find dusky sharks?,en,-0.578,0.0,0.5,0.667,2.079,0,2.668,tydi
japanese_content_6383,生物学の先駆者は誰？,ja,-0.19,0.0,0.0,0.571,2.197,0,2.578,tydi
finnish_content_2484,Mistä kavevalan kulttuuri on alkanut?,fi,-0.051,0.0,0.333,0.6,1.946,0,2.828,tydi
indonesian_polar_236,apakah pulau Flores memiliki gunung api aktif?,id,-0.482,0.0,0.75,0.875,2.303,1,3.446,tydi
indonesian_content_173,Siapakah tokoh logaritma?,id,-0.781,0.0,0.0,0.5,1.792,0,1.511,tydi
finnish_content_243,Kuinka kaukana München on Berliinistä?,fi,-1.051,0.0,0.0,0.8,1.946,0,1.695,tydi
english_polar_263,Is Chinese food considered fast food?,en,-0.17,0.0,0.6,0.833,2.079,1,3.342,tydi
japanese_polar_4,スウェーデン映画『ぼくのエリ 200歳の少女』の少女は人間ですか？,ja,3.447,0.0,0.0,0.533,2.944,1,6.924,tydi
english_content_1868,How good was Mass Effect 2?,en,-0.578,0.0,0.0,0.667,2.079,0,2.168,tydi
finnish_content_760,Kuka rakensi ensimmäisen massaspektrometrin?,fi,-0.051,0.0,0.333,0.75,1.792,0,2.824,tydi
finnish_polar_89,Onko Tulen ja jään laulu -fantasiakirjasarjasta tehty Game of Thrones -televisiosarja?,fi,2.15,1.0,0.167,0.818,2.565,1,6.7,tydi
english_polar_278,Is Halo Wars part of the Halo saga?,en,-0.17,0.0,0.0,0.625,2.303,1,2.758,tydi
japanese_content_2094,東大寺の建築デザインをしたのは誰？,ja,0.81,1.0,0.5,0.455,2.565,0,5.33,tydi
english_content_6401,How many calvary regiments does the US have?,en,0.422,0.0,0.333,0.75,2.303,0,3.808,tydi
indonesian_polar_3,Apakah ular sanca termasuk hewan yang dilindungi?,id,0.518,1.0,0.5,0.75,2.303,1,5.071,tydi
finnish_content_5536,Milloin ensimmäinen kiintolevy keksittiin?,fi,-0.051,0.0,0.333,1.0,1.792,0,3.074,tydi
japanese_polar_277,アーク溶接を行うには資格が必要ですか？,ja,0.447,1.0,0.6,0.455,2.565,1,5.067,tydi
arabic_polar_2187,هل من الممكن ان يحدث سرطان الثدي عند الرجال؟,ar,0.175,1.0,0.5,0.556,2.398,1,4.629,tydi
finnish_content_1874,Mikä on Arch Linux?,fi,-0.051,0.0,0.0,0.5,1.792,0,2.241,tydi
japanese_content_426,ドイツ連邦共和国の国技は何,ja,-1.19,0.0,0.0,0.625,2.197,0,1.632,tydi
indonesian_content_10788,Kapan majalah Saikyou Jump berdiri ?,id,0.219,0.0,0.333,1.0,1.946,0,3.498,tydi
japanese_polar_191,鍼灸師に資格はあるか？,ja,-0.553,0.0,0.6,0.571,2.197,1,2.815,tydi
indonesian_content_3902,Kapan Hitoshi Iwaaki mulai menulis manga ?,id,-0.781,1.0,0.333,1.0,2.079,0,3.631,tydi
japanese_polar_634,ガウスは数学者ですか？,ja,-0.553,0.0,0.0,0.5,2.079,1,2.026,tydi
english_polar_528,Can AI build cars?,en,-1.17,0.0,0.4,0.5,1.792,1,1.522,tydi
japanese_content_2264,日本でお茶の生産が始まったのはいつ,ja,0.81,1.0,0.667,0.364,2.485,0,5.326,tydi
korean_content_6104,일본에서 가장 많은 판매수를 기록한 만화책은 무엇인가?,ko,2.184,1.0,0.3,1.0,2.197,0,6.681,tydi
finnish_polar_235,Onko Benini liitto?,fi,-0.85,0.0,0.0,0.667,1.609,1,1.426,tydi
russian_polar_1325,Есть дочерняя компания у ОАО «Инженерный центр энергетики Урала» на апрель 2019?,ru,2.5,0.0,0.2,0.833,2.773,1,6.306,tydi
finnish_polar_2159,Onko Van Halen -yhtye hajonnut?,fi,1.15,0.0,0.167,0.8,1.946,1,4.063,tydi
indonesian_polar_124,Apakah Jalur informasi super cepat memerlukan koneksi internet?,id,0.518,0.0,0.75,0.889,2.398,1,4.555,tydi
japanese_polar_1164,冉 閔に妻はいた？,ja,-0.553,0.0,0.4,0.571,2.197,1,2.615,tydi
indonesian_polar_331,Apakah buah melinjo baik untuk kesehatan ?,id,-0.482,0.0,1.0,0.714,2.197,1,3.429,tydi
finnish_polar_1606,Onko Linnanmäen huvipuistossa peilitaloa?,fi,-0.85,0.0,0.0,0.75,1.792,1,1.692,tydi
finnish_polar_1262,Onko Suomen kielessä puhekieli sama kuin kirjakieli?,fi,0.15,0.0,0.0,0.571,2.197,1,2.918,tydi
finnish_content_5051,Mikä on San Diegon kaupungin asukasluku?,fi,1.949,0.0,0.0,0.667,2.079,0,4.695,tydi
japanese_polar_1169,勾留は、刑務所にされますか？,ja,-0.553,0.0,0.6,0.444,2.485,1,2.976,tydi
indonesian_content_1173,Siapakah yang mengembankan Spotify ?,id,-0.781,1.0,0.333,0.4,1.946,0,2.898,tydi
english_content_2694,When did India gain its independence from the British Empire?,en,-0.578,0.0,0.667,0.6,2.485,0,3.174,tydi
japanese_polar_348,バーナード・チャールズにこどもはいる？,ja,-0.553,0.0,0.4,0.5,2.303,1,2.65,tydi
russian_polar_27,Вавилон был центром держави Александра Македонского?,ru,0.5,0.0,0.0,0.833,2.079,1,3.412,tydi
finnish_content_10526,Mikä on Texasin suurin kaupunki?,fi,0.949,0.0,0.0,0.6,1.946,0,3.495,tydi
finnish_polar_325,Onko eläimillä havaittu uskonnollista käyttäytymistä?,fi,0.15,0.0,0.5,0.8,1.946,1,3.396,tydi
english_content_7215,When was Turner Field demolished?,en,-0.578,0.0,0.5,0.8,1.946,0,2.668,tydi
japanese_content_937,日本で世帯視聴率の統計を取り始めたのはいつ？,ja,0.81,2.0,0.417,0.5,2.773,0,6.5,tydi
indonesian_polar_13,Apakah kesalahan yang dilakukan Mohammad Hatta sehingga dihukum pengasingan?,id,1.518,2.0,0.625,0.7,2.485,1,7.328,tydi
korean_content_10213,데니스 키스 로드먼의 생일은 언제인가요?,ko,0.184,0.0,0.2,1.0,1.946,0,3.33,tydi
finnish_polar_358,Onko partamakakien turkki musta?,fi,0.15,0.0,0.0,0.75,1.792,1,2.692,tydi
indonesian_content_503,Agama apakah yang memiliki Alkitab Ibrani ?,id,0.219,1.0,0.333,0.571,2.197,0,4.32,tydi
japanese_content_185,自然の権利を提唱したのは誰,ja,-0.19,0.0,0.667,0.3,2.398,0,3.175,tydi
arabic_polar_585,هل الجندب حيوان عاشب و لاحم في نفس الوقت؟,ar,1.175,0.0,0.0,0.667,2.398,1,4.24,tydi
russian_polar_1591,Отличается ли понятие смысла жизни в христианстве от иудейского?,ru,1.5,0.0,0.6,0.667,2.398,1,5.165,tydi
indonesian_content_4812,berapakah jumlah manga yang di buat Eiichiro Oda?,id,0.219,1.0,0.5,0.667,2.398,0,4.784,tydi
indonesian_polar_180,apakah palem memiliki buah?,id,-0.482,0.0,0.75,0.8,1.946,1,3.014,tydi
japanese_polar_267,コンピュータゲームに依存性はある？,ja,-0.553,0.0,0.4,0.714,2.197,1,2.758,tydi
russian_content_9729,В каком году родился Михаил Горбачёв?,ru,-0.51,0.0,0.333,0.667,2.079,0,2.569,tydi
japanese_content_1511,アステカを築いたのは誰？,ja,-0.19,1.0,0.5,0.286,2.197,0,3.793,tydi
korean_content_5561,제3공화국 당시 지도자는 누구였는가?,ko,0.184,0.0,0.2,0.75,1.792,0,2.926,tydi
english_polar_177,Is Thor stronger than Superman?,en,-0.17,0.0,0.0,0.6,1.946,1,2.376,tydi
korean_polar_17,1991년 이후 현재 대한민국 민법은 배우자를 포함한 친족의 범위를 8촌 이내의 혈족과 4촌 이내의 인척으로 규정하고 있나요?,ko,0.864,1.0,0.75,0.882,2.944,1,6.44,tydi
finnish_content_5104,Kuinka monta minuuttia Lost -sarjan yksi jakso kestää?,fi,0.949,0.0,0.333,0.75,2.303,0,4.335,tydi
english_content_3594,What is the oldest labor union still active in the U.S.?,en,1.422,0.0,0.0,0.545,2.565,0,4.532,tydi
russian_content_12475,Что послужило причиной начала реформ Петра I ?,ru,2.49,0.0,0.333,0.857,2.197,0,5.877,tydi
japanese_polar_616,アメリカ軍は原爆を保持する？,ja,-0.553,0.0,0.4,0.571,2.197,1,2.615,tydi
finnish_polar_1142,Onko Lummenne osa Päijännettä?,fi,-0.85,0.0,0.0,0.75,1.792,1,1.692,tydi
indonesian_content_8113,Berapa suhu normal tubuh manusia sehat ?,id,-0.781,0.0,0.0,1.0,2.079,0,2.298,tydi
finnish_content_10561,Millä vuosikymmenellä James Maxwell toimi fyysikkona?,fi,-0.051,0.0,0.5,0.833,2.079,0,3.361,tydi
arabic_content_6121,متي قام النبي محمد برحلة الإسراء والمعراج؟,ar,1.2,0.0,0.5,0.625,2.303,0,4.628,tydi
finnish_content_10500,Mitä hajakuormitus tarkoittaa?,fi,-1.051,0.0,0.333,0.667,1.609,0,1.558,tydi
finnish_content_9665,Kuinka pitkä Tengeliönjoki on?,fi,-1.051,0.0,0.0,0.75,1.792,0,1.491,tydi
indonesian_content_10782,Berapa luas Kota Freiburg?,id,-0.781,0.0,0.0,1.0,1.792,0,2.011,tydi
english_polar_1075,Do zebra finches have stripes?,en,-0.17,0.0,0.4,0.8,1.946,1,2.976,tydi
english_polar_30,Do jelly fish have nervous systems?,en,-0.17,0.0,0.4,0.833,2.079,1,3.142,tydi
finnish_content_2255,Mikä oli maailman ensimmäinen labyrintti?,fi,0.949,0.0,0.0,0.6,1.946,0,3.495,tydi
english_content_6510,What is the poorest country in the developed world?,en,0.422,0.0,0.0,0.444,2.398,0,3.264,tydi
japanese_polar_58,ヨーロッパにはまだ貴族院が存在する国はある？,ja,1.447,1.0,0.4,0.583,2.639,1,6.069,tydi
japanese_polar_118,『ガンダムシリーズ』のジオン公国は地球にある？,ja,0.447,0.0,0.4,0.667,2.565,1,4.079,tydi
arabic_polar_645,هل الميثان هو أبسط الهيدروكربونات؟,ar,-1.825,0.0,0.0,0.6,1.946,1,0.721,tydi
english_polar_210,Is Cetyl Alcohol a fatty alcohol?,en,-0.17,0.0,0.0,0.667,2.079,1,2.576,tydi
english_polar_347,Does Comoros have a mayor?,en,-0.17,0.0,0.4,0.6,1.946,1,2.776,tydi
korean_content_2545,헬리콥터가 최초로 발명된 사람은 누구인가?,ko,0.184,1.0,0.3,1.0,1.946,0,4.43,tydi
arabic_content_49,كيف يتم تحديد عمر المخطوطات القديمة؟,ar,1.2,0.0,0.333,0.714,2.197,0,4.444,tydi
arabic_content_2132,من هو الفنان الذي رسم عازف القيثارة العجوز ؟,ar,1.2,1.0,0.333,0.625,2.303,0,5.461,tydi
japanese_polar_904,チベット仏教は輪廻転生を信じる？,ja,-0.553,0.0,0.4,0.75,2.303,1,2.9,tydi
english_polar_46,Is Gibraltar English territory?,en,-1.17,0.0,0.0,0.75,1.792,1,1.372,tydi
english_polar_821,Do the aborigines have reservations?,en,-0.17,0.0,0.4,0.6,1.946,1,2.776,tydi
finnish_polar_1595,Onko Melanesia maa?,fi,-0.85,0.0,0.0,0.667,1.609,1,1.426,tydi
finnish_polar_757,Onko Lisa Marie Elvis Presley ainoa lapsi?,fi,0.15,0.0,0.0,0.714,2.197,1,3.061,tydi
finnish_content_10084,Kuka istutti fasaanit Suomeen vuosina 1901-1902?,fi,-0.051,0.0,0.667,0.667,2.079,0,3.362,tydi
arabic_content_10660,متى وقعت معركة بلاتيا؟,ar,-0.8,0.0,0.333,0.5,1.792,0,1.825,tydi
arabic_polar_1293,هل تم ذكر اليمن في القرآن الكريم؟,ar,0.175,0.0,0.167,0.714,2.197,1,3.253,tydi
finnish_content_9983,Kuka on kehittänyt RNA-maailman?,fi,-1.051,0.0,0.333,0.5,1.792,0,1.574,tydi
finnish_content_9766,Kuinka monta luontomatkailukohdetta on Suomessa?,fi,0.949,0.0,0.0,0.6,1.946,0,3.495,tydi
korean_content_11024,퍼시픽 리그는 언제 설립 되었나요?,ko,-0.816,0.0,0.6,1.0,1.946,0,2.73,tydi
english_content_5552,How important to Daoism is fasting?,en,0.422,0.0,0.0,0.667,2.079,0,3.168,tydi
english_polar_984,Does Ying Ye 3 Jia 1 have a main villain?,en,-0.17,0.0,0.6,0.6,2.485,1,3.515,tydi
indonesian_polar_28,Apakah Hindia Belanda sekarang disebut Indonesia?,id,-0.482,0.0,1.0,0.857,2.197,1,3.572,tydi
russian_content_11508,Когда началось Протестное движение в России?,ru,0.49,0.0,0.333,0.833,2.079,0,3.735,tydi
russian_content_3864,В каком возрасте Каспаров начал играть в шахматы?,ru,0.49,1.0,0.333,0.625,2.303,0,4.751,tydi
finnish_content_15035,Mikä oli ns. Paasikiven-Kekkosen linja?,fi,-0.051,0.0,0.0,0.6,1.946,0,2.495,tydi
russian_polar_691,Используется ли пальмовое масло для производства биотоплива?,ru,-0.5,0.0,0.6,0.714,2.197,1,3.011,tydi
arabic_content_5393,ماهى اللغة التى تكلمها المسيح عيسى أبن مريم ؟,ar,2.2,1.0,0.5,0.222,2.398,0,6.32,tydi
russian_content_7988,Когда был создан язык C++?,ru,0.49,0.0,0.5,0.429,2.197,0,3.616,tydi
english_content_6927,What is the smallest island in Oceania?,en,0.422,0.0,0.0,0.429,2.197,0,3.048,tydi
russian_content_8160,Как называется самая длинная река в США?,ru,0.49,0.0,0.333,0.714,2.197,0,3.734,tydi
finnish_polar_1584,Voiko lehtipuu ja kuusipuu kasvaa vierekkäin?,fi,1.15,0.0,0.333,0.667,2.079,1,4.229,tydi
japanese_content_764,鳥山明のデビュー作は何？,ja,-0.19,0.0,0.0,0.571,2.197,0,2.578,tydi
arabic_content_19072,في أي عام تأسس إستديو توي أنيميشن للرسوم المتحركة؟,ar,0.2,0.0,0.333,0.667,2.398,0,3.598,tydi
russian_polar_887,Chevrolet Camaro поставлялся в Россию за годы выпуска?,ru,-0.5,0.0,0.6,0.5,2.303,1,2.903,tydi
russian_content_506,Парово́з Э участвовал в Первой мировой войне?,ru,-0.51,0.0,0.333,0.857,2.197,0,2.877,tydi
arabic_content_9069,من هو أول عالم فيزياء فاز بجائزة نوبل ؟,ar,2.2,1.0,0.167,0.75,2.303,0,6.42,tydi
finnish_content_504,Milloin Aku Ankka lehteä on aloitettu julkaisemaan Suomessa?,fi,1.949,1.0,0.417,0.875,2.303,0,6.544,tydi
finnish_polar_22,Onko Seeley Booth erikoisagentti Bones -sarjassa?,fi,0.15,0.0,0.0,0.833,2.079,1,3.062,tydi
korean_content_1690,세이난 전쟁이 일어나게된 배경은 무엇인가?,ko,1.184,1.0,0.2,1.0,1.946,0,5.33,tydi
arabic_polar_28,هل الهرمونات هى المسبب الرئيسي للعواطف ؟,ar,-1.825,0.0,0.0,0.5,2.079,1,0.754,tydi
