unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score,lang_norm_complexity_score,complexity_score_destroyed
arabic_polar_702,هل القسم الشرقي من الأناضول يسمى هضبة أرمينيا ؟,ar,0.551,0.286,0.0,0.5,0.703,0.278,1,2.318,0.6758089368258859,0.409553158705701
japanese_content_168,自由民主党の初代党首は誰,ja,0.074,0.286,0.0,0.0,0.671,0.2,0,1.231,0.2717842323651452,0.7818118948824343
arabic_polar_124,هل نوع الخط الفارسي هو أحد الخطوط العربية؟,ar,0.429,0.286,0.0,0.0,0.844,0.278,1,1.836,0.5272727272727272,0.35192604006163325
arabic_polar_1878,هل يعد جورج واشنطن من مؤسسي الولايات المتحدة الأميركية؟,ar,0.214,0.286,0.0,0.5,0.625,0.333,1,1.958,0.564869029275809,0.5294298921417565
indonesian_polar_67,Apakah Hirohito masih hidup?,id,0.337,0.25,0.0,0.75,0.667,0.2,1,2.204,0.48008201523140015,0.12975981253661395
indonesian_content_9458,Dimana Paus Fransiskus lahir ?,id,0.184,0.111,0.0,0.333,1.0,0.059,0,1.687,0.3286467486818981,0.4991212653778559
indonesian_content_7457,berapakah luas Kabupaten Sekadau?,id,0.046,0.111,0.0,0.0,0.733,0.118,0,1.008,0.12975981253661395,0.3119507908611599
russian_polar_1498,Получил Оскар «Чужой» Ридли Скотта?,ru,0.2,0.6,0.0,0.2,1.0,0.222,1,2.222,0.5240331491712708,0.27817679558011055
arabic_polar_357,هل يحتوي الفول على البروتين ؟,ar,0.214,0.143,0.0,0.333,0.675,0.111,1,1.477,0.41664098613251155,0.37750385208012327
japanese_content_1795,全天周囲モニター・リニアシートの開発に初めて着手した会社は何？,ja,0.157,0.571,0.5,0.333,0.526,0.6,0,2.688,0.7755878284923928,0.6037344398340247
korean_content_2915,애드호크라시가 처음 조직된 해는 언제인가?,ko,0.083,0.2,0.5,0.3,1.0,0.051,0,2.135,0.42037533512064346,0.5643431635388741
korean_content_11221,한국예탁결제원과 고려신용등급은 어떤 관계인가?,ko,0.222,0.1,0.0,0.2,0.625,0.026,0,1.173,0.16246648793565688,0.4603217158176944
arabic_content_10660,متى وقعت معركة بلاتيا؟,ar,0.0,0.125,0.0,0.333,0.5,0.059,0,1.017,0.274884437596302,0.12357473035439137
english_polar_443,Are there any surviving members of the Norwegian Paus family?,en,0.356,0.5,0.0,0.2,0.45,0.538,1,2.044,0.5341696929679762,0.2344007923407065
indonesian_polar_247,apakah Raja Anund Jacob mempunyai anak?,id,0.337,0.5,0.0,0.75,0.762,0.4,1,2.749,0.6397188049209139,0.6441124780316344
finnish_polar_318,Oliko Robert Walker näyttelijä?,fi,0.19,0.25,0.0,0.0,0.625,0.077,1,1.142,0.27691087014017457,0.24014810896588204
english_content_8944,How is the flamenco guitar different from a regular guitar?,en,0.289,0.143,0.0,0.0,0.6,0.333,0,1.366,0.3103334433806538,0.2585011554968637
indonesian_content_1298,Kapan NEONOMORA lahir?,id,0.092,0.0,0.0,0.333,1.0,0.0,0,1.425,0.2519039250146456,0.5082015231400117
arabic_content_13349,متى توفى كريستوفر كولومبوس؟,ar,0.0,0.125,0.0,0.333,0.25,0.059,0,0.767,0.19784283513097073,0.4354391371340524
english_content_4905,When was Lou Lombardo born?,en,0.279,0.143,0.0,0.5,0.8,0.095,0,1.817,0.4592274678111588,0.2268075272367118
arabic_content_5536,كيف يعرف الذكاء في علم النفس ؟,ar,0.126,0.125,0.0,0.5,0.667,0.176,0,1.594,0.4526964560862866,0.3583975346687211
japanese_polar_1030,イタリアに現在でもモスクはある？,ja,0.319,0.167,0.5,0.6,0.286,0.217,1,2.089,0.5684647302904563,0.6407330567081604
russian_content_8436,Где было самое масштабное по жертвам землетрясение в 2018?,ru,0.252,0.375,0.0,0.0,0.556,0.146,0,1.329,0.2773480662983426,0.30055248618784536
english_polar_195,Has the Georgia Bulldogs football team won more games than the Georgia Tech Yellow Jackets?,en,0.376,0.75,0.0,0.4,0.633,0.923,1,3.082,0.8768570485308682,0.07593265103994719
korean_content_3386,덴포의 개혁은 언제 끝났나요?,ko,0.111,0.1,0.0,0.4,1.0,0.026,0,1.637,0.2868632707774799,0.2560321715817695
finnish_polar_261,Onko Nicklas Bäckström pelannut Oulun Kärpissä?,fi,0.152,0.25,0.0,0.333,0.75,0.231,1,1.716,0.4287225601692674,0.10711451996826238
english_content_2346,Who was the first Holy Roman Emperor?,en,0.341,0.143,0.0,0.0,0.571,0.19,0,1.246,0.2707164080554639,0.17893694288544076
russian_content_6166,Год постройки здания Морского вокзала?,ru,0.056,0.375,0.0,0.0,1.0,0.049,0,1.48,0.31906077348066303,0.43977900552486193
japanese_polar_191,鍼灸師に資格はあるか？,ja,0.098,0.167,0.0,0.6,0.388,0.174,1,1.427,0.3395573997233748,0.3374827109266943
finnish_polar_1658,Oliko Italia Saksan liittolainen toisessa maailmansodassa?,fi,0.152,0.25,0.0,0.0,0.75,0.231,1,1.383,0.34065062152869613,0.2279820153398572
arabic_content_15241,ما هي الخوارزمية ؟,ar,0.158,0.0,0.0,0.0,0.333,0.0,0,0.491,0.11278890600924499,0.4240369799691833
indonesian_content_2241,Dimanakah kota suci agama Yahudi ?,id,0.074,0.222,0.0,0.0,0.556,0.176,0,1.028,0.13561804335090805,0.3309900410076157
arabic_content_9433,متى استلم البابا فرنسيس البابوية الكاثوليكية؟,ar,0.063,0.25,0.0,0.333,0.5,0.176,0,1.323,0.36918335901386745,0.4921417565485362
english_polar_256,Can all Grasshoppers fly?,en,0.152,0.25,0.0,0.2,0.312,0.077,1,0.992,0.18686034995047873,0.38791680422581715
english_content_7734,When did Romans first occupy Israel?,en,0.223,0.0,0.0,0.667,0.833,0.143,0,1.866,0.47540442390227805,0.743809838230439
finnish_polar_873,Onko muskimolilla dissosiatiivisia ominaisuuksia?,fi,0.063,0.25,0.0,0.0,0.625,0.077,1,1.015,0.24332187252049722,0.25866172970113727
finnish_polar_2248,Onko tuuli aaltoliikettä ilmassa?,fi,0.19,0.0,0.0,0.0,0.625,0.077,1,0.892,0.21079079608569165,0.31155778894472363
english_polar_175,Are there long term side effects of antihistamine usage?,en,0.229,0.5,0.0,0.4,0.694,0.462,1,2.285,0.6137339055793992,0.4991746450973919
indonesian_content_578,Berapakah populasi penduduk Kepulauan Sunda Kecil tahun 2010 ??,id,0.115,0.333,0.0,0.0,0.704,0.412,0,1.564,0.29261862917398945,0.15055653192735793
english_polar_186,Is the Canadian government similar to England?,en,0.19,0.25,0.0,0.0,0.411,0.308,1,1.159,0.24199405744470126,0.537801254539452
english_content_3209,Where is Walt Disney?,en,0.062,0.143,0.0,0.0,0.75,0.048,0,1.002,0.19016176956091121,0.37438098382304397
japanese_content_758,日本最大のリサイクル・ショップは何？,ja,0.107,0.286,0.0,0.0,0.474,0.25,0,1.117,0.23236514522821572,0.21507607192254488
english_content_2171,What's the half-life of uranium?,en,0.248,0.286,0.0,0.0,0.429,0.238,0,1.2,0.25552987784747444,0.6916474083856058
arabic_polar_173,هل للقنب قابلية امتصاص جيدة؟,ar,0.214,0.143,0.0,0.0,0.9,0.111,1,1.368,0.38305084745762713,0.5343605546995377
arabic_content_21470,متى عين إسماعيل ولد الشيخ أحمد مبعوث الأمم المتحدة الخاص إلى ليبيا؟,ar,0.172,0.5,0.0,0.333,0.417,0.529,0,1.952,0.563020030816641,0.3408320493066256
arabic_content_17779,متى نهضت المملكة الفرنجية ؟,ar,0.0,0.125,0.0,0.333,0.75,0.059,0,1.267,0.35192604006163325,0.3078582434514638
english_content_2967,What was the purpose of Cold War?,en,0.155,0.286,0.0,0.0,0.429,0.19,0,1.06,0.20931000330141966,0.32353912182238365
finnish_polar_1038,Onko Suomessa työosuuskuntia?,fi,0.0,0.0,0.0,0.0,0.5,0.0,1,0.5,0.10711451996826238,0.3046813012430575
finnish_polar_682,Käytetäänkö tutkimusreaktoria neutronien tuottamiseen?,fi,0.127,0.25,0.0,0.333,1.0,0.077,1,1.787,0.44750066120074056,0.2279820153398572
arabic_content_2976,من هي وزيرة المرأة في تونس حاليا؟,ar,0.263,0.25,0.0,0.0,0.429,0.235,0,1.177,0.324191063174114,0.4930662557781202
finnish_content_14876,Mikä painamo painoi Perillinen -kirjasarjan kirjat?,fi,0.104,0.167,0.0,0.333,0.792,0.176,0,1.572,0.39063739751388526,0.2279820153398572
english_polar_283,Are diets with 800 or less calories dangerous?,en,0.686,1.0,0.0,0.0,0.312,0.385,1,2.383,0.6460878177616376,0.18157807857378674
english_content_189,Where was Louise-Marie-Madeleine Guillaume de Fontaine born?,en,1.0,0.143,0.0,0.5,0.889,0.381,0,2.913,0.8210630571145592,0.30439088808187525
russian_polar_858,Был ли представлен фильм «Я шагаю по Москве» на 17-м Каннском кинофестивале ?,ru,0.473,0.6,0.5,0.6,0.583,0.611,1,3.367,0.8403314917127072,0.5179558011049725
english_polar_902,Did Ion Călugăru live in Romania all his life?,en,0.257,0.25,0.0,0.6,0.389,0.462,1,1.958,0.5057774843182569,0.2585011554968637
russian_polar_1232,Захватил ли голод 1932 года Белоруссию?,ru,0.48,0.4,0.0,0.6,0.833,0.167,1,2.48,0.5953038674033149,0.33287292817679565
arabic_polar_151,هل أقرّت روسيا زواج المثليين؟,ar,0.107,0.143,0.0,0.333,0.675,0.111,1,1.369,0.38335901386748844,0.4628659476117103
english_polar_1131,Can you survive a crucifixion?,en,0.114,0.25,0.0,0.4,0.175,0.154,1,1.093,0.22020468801584683,0.5959062396830637
indonesian_polar_463,Apakah proses sedimentasi terjadi pada Estuari?,id,0.267,0.25,0.0,0.75,0.524,0.4,1,2.191,0.4762741652021089,0.5556531927357938
japanese_content_1941,初代アニメ版ドラえもんでノビタの声優を務めたのは誰？,ja,0.227,0.429,0.5,0.667,0.474,0.55,0,2.845,0.8298755186721992,0.28284923928077443
japanese_polar_284,軍艦エルトゥールル号は日本に到着した？,ja,0.116,0.167,0.0,0.4,0.365,0.261,1,1.309,0.29875518672199164,0.1552558782849239
russian_content_8550,Сколько альбомов записано группой Limp Bizkit на сегодняшний день?,ru,0.168,0.25,0.0,0.5,0.556,0.146,0,1.62,0.3577348066298343,0.557182320441989
english_polar_66,Does Punjab still exist?,en,0.229,0.0,0.0,0.4,0.656,0.077,1,1.362,0.30901287553648077,0.3971607791350281
japanese_content_3139,ブリュール の主要産業は何？,ja,0.081,0.286,0.0,0.0,0.474,0.15,0,0.99,0.18845089903181184,0.28181189488243424
indonesian_content_1799,berapakah luas wilayah Kesultanan Utsmaniyah?,id,0.037,0.222,0.0,0.0,0.778,0.176,0,1.213,0.1898066783831283,0.4762741652021089
arabic_polar_1394,هل اللينكس نظام تشغيل؟,ar,0.143,0.0,0.0,0.0,0.562,0.056,1,0.761,0.19599383667180276,0.4462249614791987
english_content_6692,What is the culture of Asia?,en,0.112,0.286,0.0,0.0,0.333,0.143,0,0.874,0.1479035985473754,0.4892703862660944
english_polar_559,Are humans considered carnivores?,en,0.076,0.0,0.0,0.6,0.656,0.077,1,1.409,0.3245295477055134,0.3981512050181578
japanese_polar_442,阪神・淡路大震災の時、東灘区は被害を受けましたか？,ja,0.239,0.333,0.0,0.8,0.375,0.609,1,2.356,0.6607883817427385,0.5719225449515906
korean_polar_292,감정표현규칙은 특히 감정노동이 수반되는 서비스 직종에서 중요한 개념인가요?,ko,0.404,0.25,0.5,0.417,1.0,0.111,1,2.682,0.5670241286863272,0.4672922252010725
indonesian_polar_217,Apakah Jamur kuping bisa dimakan ?,id,0.422,0.25,0.0,0.5,0.444,0.3,1,1.916,0.3957234915055653,0.21880492091388404
english_content_4186,Best ways to help with domestic violence issues?,en,0.159,0.429,0.5,0.333,0.75,0.238,0,2.409,0.6546715087487619,0.5767580059425553
english_polar_773,Can Muslims drink alcohol?,en,0.076,0.0,0.0,0.4,0.656,0.077,1,1.209,0.2585011554968637,0.20931000330141966
korean_content_4859,지토 천황 전임자는 누구인가요?,ko,0.0,0.2,0.0,0.2,1.0,0.026,0,1.426,0.23029490616621986,0.2793565683646113
finnish_polar_329,Onko Tukholma aina ollut Ruotsin pääkaupunki?,fi,0.38,0.0,0.0,0.0,0.5,0.231,1,1.111,0.2687119809574187,0.3446178259719651
korean_content_1074,누가 자기장을 발견하는가?,ko,0.167,0.0,0.0,0.4,0.0,0.0,0,0.567,0.0,0.48525469168900803
finnish_content_5115,Milloin Helsingfors Simsällskap -seura on perustettu?,fi,0.207,0.333,0.0,0.5,0.792,0.176,0,2.009,0.5062152869611214,0.21740280349113994
korean_polar_31,러시안 룰렛은 2명이 하는 게임인가요?,ko,0.109,0.125,0.5,0.375,0.667,0.044,1,1.82,0.3359249329758714,0.31662198391420915
english_polar_478,Are there any endangered species in Ireland?,en,0.19,0.5,0.0,0.4,0.411,0.308,1,1.809,0.4565863321228128,0.37306041597887096
korean_content_7419,일본 원자력 위원회는 언제 설립 되었나요?,ko,0.2,0.2,0.0,0.6,1.0,0.077,0,2.077,0.4048257372654156,0.4525469168900805
russian_polar_1010,Джефферсон Финис Дэвис был женат?,ru,0.4,0.2,0.0,0.0,0.8,0.111,1,1.511,0.3276243093922652,0.5640883977900553
english_content_4463,When was evidence of the Catopsbaatar first found?,en,0.478,0.286,0.0,0.667,0.625,0.238,0,2.294,0.6167051832287884,0.7131066358534169
japanese_content_5591,鹿児島県の県庁所在地はどこ,ja,0.107,0.286,0.0,0.0,0.671,0.2,0,1.264,0.2831950207468879,0.5501383125864453
finnish_polar_1862,Onko Boúrtzin saarella linna?,fi,0.063,0.0,0.0,0.0,0.625,0.077,1,0.765,0.1772017984660143,0.6352816715154721
indonesian_polar_116,Apakah Yamcha adalah tokoh antagonis ?,id,0.253,0.25,0.0,0.0,0.444,0.3,1,1.247,0.19976567076742827,0.1898066783831283
finnish_content_519,Kuinka moneen maakuntaan Katalonia on jaettu?,fi,0.242,0.167,0.0,0.667,0.583,0.176,0,1.835,0.4601957154192013,0.16424226395133565
korean_content_3372,정여립은 언제 사망했나요?,ko,0.167,0.0,0.0,0.4,1.0,0.0,0,1.567,0.2680965147453083,0.5329758713136731
english_content_8029,What is the longest book in the world?,en,0.186,0.286,0.0,0.0,0.375,0.238,0,1.085,0.21756355232750085,0.3109937273027402
japanese_polar_302,アダム・スミスは小さな政府を提唱した？,ja,0.122,0.167,0.0,0.4,0.286,0.304,1,1.279,0.28838174273858913,0.30048409405255877
korean_content_9801,교황과 추기경의 차이점은 무엇인가?,ko,0.111,0.2,0.0,0.2,0.625,0.026,0,1.162,0.15951742627345847,0.38579088471849865
russian_polar_1732,Есть ли у Та́йсон Лю́к Фью́ри двоюродный брат-боксёр?,ru,0.629,0.2,0.0,0.8,0.75,0.278,1,2.656,0.6439226519337017,0.6074585635359117
russian_polar_1556,Есть карта приключений в игре Heroes of Might and Magic IV?,ru,0.48,0.6,0.0,0.2,0.455,0.444,1,2.179,0.5121546961325967,0.5256906077348067
finnish_polar_1877,Asuuko Kiinan vuoristossa ihmisiä?,fi,0.19,0.25,0.0,0.333,1.0,0.077,1,1.85,0.4641629198624703,0.26553821740280353
japanese_content_5346,名勝エクステルンシュタイネとは何？,ja,0.127,0.143,0.0,0.0,0.474,0.15,0,0.894,0.1552558782849239,0.589903181189488
arabic_polar_912,هل قلب السمكة يشتمل على حجرتين ؟,ar,0.343,0.143,0.0,0.5,0.75,0.167,1,1.902,0.5476117103235747,0.4714946070878274
english_content_3002,Who is the oldest gymnast to compete in the Olympics?,en,0.165,0.429,0.5,0.333,0.4,0.333,0,2.161,0.5727963024100363,0.3004291845493563
indonesian_polar_295,Apakah pertunjukan Reog menggunakan musik latar?,id,0.197,0.25,0.0,0.75,0.762,0.4,1,2.359,0.5254833040421792,0.024311657879320464
english_polar_447,Are cows sacred in Hindu?,en,0.114,0.25,0.0,0.0,0.45,0.154,1,0.968,0.17893694288544076,0.24199405744470126
english_content_585,How many national parks are in Portugal?,en,0.124,0.286,0.0,0.0,0.714,0.19,0,1.315,0.293496203367448,0.20931000330141966
korean_polar_216,워싱턴 DC는 계획 도시인가요?,ko,0.145,0.125,0.0,0.5,1.0,0.022,1,1.792,0.32841823056300273,0.31662198391420915
russian_polar_20,Бесконечна ли игра The Sims?,ru,0.1,0.4,0.0,0.0,0.4,0.111,1,1.011,0.18950276243093922,0.21574585635359123
finnish_content_1359,Milloin Leonid Brezhnev syntyi?,fi,0.173,0.167,0.0,0.333,1.0,0.059,0,1.732,0.43295424490875434,0.1322401481089659
english_content_5611,When did the legend of the Excalibur sword originate?,en,0.535,0.286,0.0,0.333,0.556,0.286,0,1.995,0.5179927368768571,0.4942225156817432
arabic_polar_2311,هل حشرة الجراد غنية بالبروتين؟,ar,0.321,0.143,0.0,0.0,0.9,0.111,1,1.475,0.41602465331278893,0.24006163328197228
finnish_content_12566,Mikä oli Suomen ensimmäinen panimo?,fi,0.13,0.333,0.0,0.0,0.5,0.118,0,1.081,0.26077757207088076,0.38323194921978315
