sentence,Filename,n_sentences,n_tokens,tokens_per_sent,char_per_tok,upos_dist_ADJ,upos_dist_ADP,upos_dist_ADV,upos_dist_AUX,upos_dist_CCONJ,upos_dist_DET,upos_dist_INTJ,upos_dist_NOUN,upos_dist_NUM,upos_dist_PART,upos_dist_PRON,upos_dist_PROPN,upos_dist_PUNCT,upos_dist_SCONJ,upos_dist_VERB,lexical_density,verbal_head_per_sent,verbal_root_perc,avg_verb_edges,verb_edges_dist_0,verb_edges_dist_1,verb_edges_dist_2,verb_edges_dist_3,verb_edges_dist_4,verb_edges_dist_5,verb_edges_dist_6,avg_max_depth,avg_token_per_clause,avg_max_links_len,avg_links_len,max_links_len,avg_prepositional_chain_len,n_prepositional_chains,obj_pre,obj_post,subj_pre,subj_post,dep_dist_acl,dep_dist_advcl,dep_dist_advmod,dep_dist_amod,dep_dist_appos,dep_dist_aux,dep_dist_case,dep_dist_cc,dep_dist_ccomp,dep_dist_compound,dep_dist_conj,dep_dist_cop,dep_dist_csubj,dep_dist_dep,dep_dist_det,dep_dist_discourse,dep_dist_dislocated,dep_dist_fixed,dep_dist_flat,dep_dist_iobj,dep_dist_mark,dep_dist_nmod,dep_dist_nsubj,dep_dist_nummod,dep_dist_obj,dep_dist_obl,dep_dist_punct,dep_dist_root,dep_dist_xcomp,principal_proposition_dist,subordinate_proposition_dist,subordinate_post,subordinate_pre,avg_subordinate_chain_len,subordinate_dist_1,subordinate_dist_2,base_number
난 내 모든 한계를 넘어섰을까?,123_1.conllu,1,6,6.0,2.4,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0.0,0.0,33.333333333333336,0.0,16.666666666666668,0.0,16.666666666666668,0.6,1.0,100.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,2.0,4,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0.0,16.666666666666668,16.666666666666668,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,123
"중국인들이 스스로를 하족으로 부르듯이, 전설상의 최초의 국가 하는 과연 실재했을까?",126_1.conllu,1,12,12.0,3.5,0.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,41.66666666666666,0.0,0.0,0.0,8.333333333333334,16.666666666666668,8.333333333333334,8.333333333333334,0.9,1.0,100.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.0,12.0,7.0,2.111111111111111,7,0,0,100.0,0.0,100.0,0.0,0.0,8.333333333333334,8.333333333333334,0.0,0.0,0.0,0.0,0.0,8.333333333333334,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,8.333333333333334,8.333333333333334,0.0,8.333333333333334,0.0,16.666666666666668,8.333333333333334,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,126
남극의 엄숙한 겨울에 자숙함일까?,246_1.conllu,1,5,5.0,3.5,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,40.0,1.0,2.0,100.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,2.5,1.0,1.0,1,0,0,100.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,50.0,50.0,0.0,100.0,1.0,100.0,0.0,246
기왕이면 다홍치마가 아니니?,20_1.conllu,1,4,4.0,4.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.5,2,0,0,0.0,0.0,100.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
우리나라 재벌이 모델로 삼고 있는 일본은 어떤가?,7_1.conllu,1,8,8.0,2.857142857142857,0.0,0.0,12.5,12.5,0.0,0.0,0.0,25.0,0.0,0.0,0.0,12.5,12.5,0.0,25.0,0.8571428571428571,2.0,100.0,1.5,0.0,50.0,50.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.3333333333333333,2,0,0,0.0,0.0,100.0,0.0,12.5,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,12.5,0.0,50.0,50.0,0.0,100.0,1.0,100.0,0.0,7
각 고체는 모든 다른 고체들과 상이한 물질이겠는가?,193_1.conllu,1,8,8.0,3.0,37.5,0.0,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0,12.5,0.0,25.0,0.8571428571428571,2.0,100.0,1.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,2.0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,193
수학조차 자명한 진리가 될 수 없다면 도대체 진리라고 할 만한 지식이 있을 수 있을까?,147_1.conllu,1,15,15.0,2.4285714285714284,13.333333333333334,0.0,13.333333333333334,6.666666666666667,0.0,0.0,0.0,26.666666666666668,0.0,0.0,0.0,0.0,6.666666666666667,6.666666666666667,26.666666666666668,0.8571428571428571,4.0,100.0,1.0,50.0,25.0,0.0,25.0,0.0,0.0,0.0,5.0,3.75,8.0,2.1538461538461537,8,0,0,0.0,0.0,100.0,0.0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,0.0,20.0,0.0,0.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,6.666666666666667,6.666666666666667,0.0,50.0,50.0,100.0,0.0,1.0,100.0,0.0,147
"""당신 이름은 룸펠츠틸츠헨이 아니오?""",198_1.conllu,1,7,7.0,3.75,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,28.571428571428573,0.0,0.0,14.285714285714286,0.0,42.85714285714285,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.3333333333333333,2,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714286,0.0,0.0,14.285714285714286,0.0,0.0,0.0,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714285714285,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198
도도하던 보옥의 자존심을 무참히 까뭉갰다는 우월감 때문이었을까?,236_1.conllu,1,8,8.0,4.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,12.5,12.5,0.0,37.5,1.0,3.0,100.0,1.0,33.333333333333336,33.333333333333336,33.333333333333336,0.0,0.0,0.0,0.0,4.0,2.6666666666666665,2.0,1.3333333333333333,2,0,0,100.0,0.0,100.0,0.0,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,12.5,0.0,12.5,12.5,0.0,33.333333333333336,66.66666666666667,0.0,100.0,1.0,100.0,0.0,236
이와 같이 오늘날 우리 주변에는 작은 것을 소홀히 여기고 작은 일에 충성하지 못하는 모습들이 곳곳에서 드러나고 있습니까?,38_1.conllu,1,18,18.0,2.9411764705882355,11.11111111111111,0.0,16.666666666666668,11.11111111111111,11.11111111111111,0.0,0.0,22.22222222222222,0.0,0.0,5.555555555555555,0.0,5.555555555555555,5.555555555555555,11.11111111111111,0.6470588235294118,2.0,100.0,3.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,5.0,9.0,15.0,3.75,15,0,0,100.0,0.0,100.0,0.0,5.555555555555555,5.555555555555555,11.11111111111111,11.11111111111111,0.0,11.11111111111111,0.0,0.0,0.0,5.555555555555555,11.11111111111111,0.0,0.0,0.0,0.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0,0.0,5.555555555555555,0.0,5.555555555555555,5.555555555555555,5.555555555555555,5.555555555555555,5.555555555555555,100.0,0.0,0.0,0.0,0.0,0.0,0.0,38
도대체 이게 어찌된 일입니까?,40_1.conllu,1,5,5.0,3.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,40.0,0.75,2.0,100.0,1.5,0.0,50.0,50.0,0.0,0.0,0.0,0.0,2.0,2.5,2.0,1.3333333333333333,2,0,0,0.0,0.0,100.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,50.0,50.0,0.0,100.0,1.0,100.0,0.0,40
그런데 조선에서도 1876 1894 년 시기의 반침략투쟁을 반제국주의 투쟁으로 규정할 수 있을까?,184_1.conllu,1,13,13.0,3.5,7.6923076923076925,0.0,15.384615384615383,0.0,7.6923076923076925,0.0,0.0,38.46153846153846,15.384615384615383,0.0,0.0,0.0,7.6923076923076925,0.0,7.6923076923076925,0.75,1.0,100.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,5.0,13.0,9.0,2.5454545454545454,9,0,0,100.0,0.0,0.0,0.0,0.0,15.384615384615383,0.0,0.0,0.0,7.6923076923076925,0.0,7.6923076923076925,0.0,15.384615384615383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,7.6923076923076925,0.0,15.384615384615383,7.6923076923076925,0.0,7.6923076923076925,7.6923076923076925,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,184
아귀날도는 과연 우리가 이제까지 생각해왔던 그대로인가?,175_1.conllu,1,7,7.0,4.0,0.0,0.0,28.571428571428573,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714286,14.285714285714286,14.285714285714286,0.0,14.285714285714286,0.6666666666666666,1.0,100.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,7.0,5.0,2.6,5,0,0,0.0,0.0,100.0,0.0,0.0,14.285714285714286,14.285714285714286,0.0,0.0,0.0,0.0,0.0,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714286,0.0,0.0,0.0,0.0,0.0,14.285714285714286,0.0,0.0,0.0,14.285714285714286,14.285714285714286,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,175
그럴 때 만나면 그럴싸한 관능의 추억이 생겨나는 것이니까?,241_1.conllu,1,9,9.0,3.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,11.11111111111111,11.11111111111111,33.333333333333336,0.75,3.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,1.5714285714285714,4,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,22.22222222222222,0.0,11.11111111111111,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,11.11111111111111,0.0,0.0,0.0,11.11111111111111,11.11111111111111,0.0,50.0,50.0,100.0,0.0,1.0,100.0,0.0,241
정말 이래서 되겠습니까?,39_1.conllu,1,4,4.0,3.333333333333333,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.6666666666666666,1.0,100.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.5,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,39
우리 사회의 안녕과 질서를 지키기 위해서 부름을 받고 존재하야 하는 경찰이 이래서 되겠습니까?,35_1.conllu,1,14,14.0,3.0,0.0,0.0,0.0,7.142857142857143,14.285714285714286,0.0,0.0,28.571428571428573,0.0,0.0,7.142857142857143,0.0,7.142857142857143,14.285714285714286,21.428571428571427,0.5384615384615384,3.0,100.0,1.3333333333333333,0.0,66.66666666666667,33.333333333333336,0.0,0.0,0.0,0.0,9.0,4.666666666666667,3.0,1.5833333333333333,3,0,0,100.0,0.0,100.0,0.0,7.142857142857143,0.0,0.0,0.0,0.0,7.142857142857143,0.0,0.0,7.142857142857143,7.142857142857143,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714286,7.142857142857143,0.0,14.285714285714286,0.0,7.142857142857143,7.142857142857143,7.142857142857143,50.0,50.0,0.0,100.0,1.0,100.0,0.0,35
인민은 오류가 없는가?,57_1.conllu,1,4,4.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.5,2,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
그렇다면 일반적으로 도덕경의 주석자들은 무와 도를 동일시했던 것인가?,111_1.conllu,1,9,9.0,3.75,0.0,0.0,11.11111111111111,0.0,22.22222222222222,0.0,0.0,22.22222222222222,0.0,0.0,0.0,11.11111111111111,11.11111111111111,0.0,22.22222222222222,0.75,2.0,100.0,2.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,2.0,4.5,6.0,2.7142857142857144,6,0,0,100.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,11.11111111111111,0.0,11.11111111111111,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,11.11111111111111,0.0,11.11111111111111,11.11111111111111,0.0,50.0,50.0,100.0,0.0,1.0,100.0,0.0,111
빗물 한 방울과 다른 빗물 한방울이 합쳐지면 두 방울의 빗물이 되는가?,144_1.conllu,1,12,12.0,2.5454545454545454,8.333333333333334,0.0,0.0,0.0,8.333333333333334,0.0,0.0,41.66666666666666,16.666666666666668,0.0,0.0,0.0,8.333333333333334,8.333333333333334,8.333333333333334,0.6363636363636364,1.0,100.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,12.0,4.0,1.9,4,0,0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,8.333333333333334,16.666666666666668,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,8.333333333333334,16.666666666666668,8.333333333333334,0.0,8.333333333333334,8.333333333333334,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,144
그것 때문에 배달원의 월급을 밀리게 하면 되겠느냐?,15_1.conllu,1,8,8.0,3.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,25.0,0.0,0.0,12.5,0.0,12.5,12.5,25.0,0.7142857142857143,2.0,100.0,1.5,0.0,50.0,50.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,1.5,3,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,12.5,12.5,12.5,12.5,0.0,50.0,50.0,0.0,100.0,1.0,100.0,0.0,15
관광은 정말 무공해 산업인가?,131_1.conllu,1,5,5.0,3.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,1.0,1.0,100.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,5.0,3.0,2.0,3,0,0,0.0,0.0,100.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,131
과연 사회의 원동력이라고 할 수 있는 경제활동인구가 앞으로도 현재의 수준을 유지할 수 있을 것인가?,166_1.conllu,1,15,15.0,2.9285714285714284,13.333333333333334,0.0,13.333333333333334,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,26.666666666666668,1.0,4.0,100.0,1.5,50.0,0.0,25.0,0.0,25.0,0.0,0.0,5.0,3.75,10.0,2.4615384615384617,10,0,0,100.0,0.0,100.0,0.0,6.666666666666667,6.666666666666667,6.666666666666667,0.0,0.0,20.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,13.333333333333334,6.666666666666667,0.0,6.666666666666667,0.0,6.666666666666667,6.666666666666667,0.0,33.333333333333336,66.66666666666667,50.0,50.0,1.0,100.0,0.0,166
