experiment_type,language,task,submetric,control_index,metric,value
finetune,fi,complexity,None,2,rmse,0.19864006704400464
finetune,fi,complexity,None,2,r2,0.0007377266883850098
finetune,fi,complexity,None,3,loss,0.03829312085040978
finetune,fi,complexity,None,3,mse,0.03850947320461273
finetune,fi,complexity,None,3,rmse,0.1962383071793393
finetune,fi,complexity,None,3,r2,0.02475583553314209
finetune,fi,question_type,None,1,loss,0.6931370837347848
finetune,fi,question_type,None,1,accuracy,0.5
finetune,fi,question_type,None,1,f1,0.0
finetune,fi,question_type,None,1,precision,0.0
finetune,fi,question_type,None,1,recall,0.0
finetune,fi,question_type,None,2,loss,0.6903542024748666
finetune,fi,question_type,None,2,accuracy,0.4909090909090909
finetune,fi,question_type,None,2,f1,0.0967741935483871
finetune,fi,question_type,None,2,precision,0.42857142857142855
finetune,fi,question_type,None,2,recall,0.05454545454545454
finetune,fi,question_type,None,3,loss,0.693140549319131
finetune,fi,question_type,None,3,accuracy,0.5
finetune,fi,question_type,None,3,f1,0.0
finetune,fi,question_type,None,3,precision,0.0
finetune,fi,question_type,None,3,recall,0.0
finetune,id,complexity,None,1,loss,0.04211725401026862
finetune,id,complexity,None,1,mse,0.04208469018340111
finetune,id,complexity,None,1,rmse,0.20514553415417336
finetune,id,complexity,None,1,r2,-0.0321425199508667
finetune,id,complexity,None,2,loss,0.04359222948551178
finetune,id,complexity,None,2,mse,0.043470658361911774
finetune,id,complexity,None,2,rmse,0.20849618308715337
finetune,id,complexity,None,2,r2,-0.06613397598266602
finetune,id,complexity,None,3,loss,0.04486375195639474
finetune,id,complexity,None,3,mse,0.04473017901182175
finetune,id,complexity,None,3,rmse,0.21149510399019109
finetune,id,complexity,None,3,r2,-0.09702408313751221
finetune,id,question_type,None,1,loss,0.6929954205240522
finetune,id,question_type,None,1,accuracy,0.5
finetune,id,question_type,None,1,f1,0.0
finetune,id,question_type,None,1,precision,0.0
finetune,id,question_type,None,1,recall,0.0
finetune,id,question_type,None,2,loss,0.6932960663522992
finetune,id,question_type,None,2,accuracy,0.5
finetune,id,question_type,None,2,f1,0.0
finetune,id,question_type,None,2,precision,0.0
finetune,id,question_type,None,2,recall,0.0
finetune,id,question_type,None,3,loss,0.6928122554506574
finetune,id,question_type,None,3,accuracy,0.5
finetune,id,question_type,None,3,f1,0.0
finetune,id,question_type,None,3,precision,0.0
finetune,id,question_type,None,3,recall,0.0
finetune,ja,complexity,None,1,loss,0.05630692187696695
finetune,ja,complexity,None,1,mse,0.056981440633535385
finetune,ja,complexity,None,1,rmse,0.23870785624594634
finetune,ja,complexity,None,1,r2,-0.09456443786621094
finetune,ja,complexity,None,2,loss,0.05717386522640785
finetune,ja,complexity,None,2,mse,0.057753246277570724
finetune,ja,complexity,None,2,rmse,0.24031905100838494
finetune,ja,complexity,None,2,r2,-0.10939013957977295
finetune,ja,complexity,None,3,loss,0.058992739766836166
finetune,ja,complexity,None,3,mse,0.059668343514204025
finetune,ja,complexity,None,3,rmse,0.24427104518178985
finetune,ja,complexity,None,3,r2,-0.1461775302886963
finetune,ja,question_type,None,1,loss,0.6854105989138285
finetune,ja,question_type,None,1,accuracy,0.40217391304347827
finetune,ja,question_type,None,1,f1,0.0
finetune,ja,question_type,None,1,precision,0.0
finetune,ja,question_type,None,1,recall,0.0
finetune,ja,question_type,None,2,loss,0.6906378269195557
finetune,ja,question_type,None,2,accuracy,0.40217391304347827
finetune,ja,question_type,None,2,f1,0.0
finetune,ja,question_type,None,2,precision,0.0
finetune,ja,question_type,None,2,recall,0.0
finetune,ja,question_type,None,3,loss,0.6901339391867319
finetune,ja,question_type,None,3,accuracy,0.40217391304347827
finetune,ja,question_type,None,3,f1,0.0
finetune,ja,question_type,None,3,precision,0.0
finetune,ja,question_type,None,3,recall,0.0
finetune,ko,complexity,None,1,loss,0.03760975572679724
finetune,ko,complexity,None,1,mse,0.03768235445022583
finetune,ko,complexity,None,1,rmse,0.19411943346874322
finetune,ko,complexity,None,1,r2,-0.1700439453125
finetune,ko,complexity,None,2,loss,0.038027924352458546
finetune,ko,complexity,None,2,mse,0.03807395324110985
finetune,ko,complexity,None,2,rmse,0.19512548075817737
finetune,ko,complexity,None,2,r2,-0.18220317363739014
finetune,ko,complexity,None,3,loss,0.040486204837049754
finetune,ko,complexity,None,3,mse,0.04053252935409546
finetune,ko,complexity,None,3,rmse,0.20132692158301993
finetune,ko,complexity,None,3,r2,-0.25854241847991943
finetune,ko,question_type,None,1,loss,0.6928490655762809
finetune,ko,question_type,None,1,accuracy,0.5
finetune,ko,question_type,None,1,f1,0.0
finetune,ko,question_type,None,1,precision,0.0
finetune,ko,question_type,None,1,recall,0.0
finetune,ko,question_type,None,2,loss,0.6929465787751334
finetune,ko,question_type,None,2,accuracy,0.5
finetune,ko,question_type,None,2,f1,0.0
finetune,ko,question_type,None,2,precision,0.0
finetune,ko,question_type,None,2,recall,0.0
finetune,ko,question_type,None,3,loss,0.6931115218571254
finetune,ko,question_type,None,3,accuracy,0.5
finetune,ko,question_type,None,3,f1,0.0
finetune,ko,question_type,None,3,precision,0.0
finetune,ko,question_type,None,3,recall,0.0
finetune,ru,complexity,None,1,loss,0.05410240803446088
finetune,ru,complexity,None,1,mse,0.05394832044839859
finetune,ru,complexity,None,1,rmse,0.23226777746471547
finetune,ru,complexity,None,1,r2,-0.3645719289779663
finetune,ru,complexity,None,2,loss,0.05574591085314751
finetune,ru,complexity,None,2,mse,0.05561229959130287
finetune,ru,complexity,None,2,rmse,0.23582260195176982
finetune,ru,complexity,None,2,r2,-0.406660795211792
finetune,ru,complexity,None,3,loss,0.05912355785923345
finetune,ru,complexity,None,3,mse,0.058987438678741455
finetune,ru,complexity,None,3,rmse,0.24287329758279616
finetune,ru,complexity,None,3,r2,-0.49203169345855713
finetune,ru,question_type,None,1,loss,0.6931957347052438
finetune,ru,question_type,None,1,accuracy,0.5
finetune,ru,question_type,None,1,f1,0.0
finetune,ru,question_type,None,1,precision,0.0
finetune,ru,question_type,None,1,recall,0.0
finetune,ru,question_type,None,2,loss,0.6918963875089373
finetune,ru,question_type,None,2,accuracy,0.5
finetune,ru,question_type,None,2,f1,0.0
finetune,ru,question_type,None,2,precision,0.0
finetune,ru,question_type,None,2,recall,0.0
finetune,ru,question_type,None,3,loss,0.6927726439067295
finetune,ru,question_type,None,3,accuracy,0.5
finetune,ru,question_type,None,3,f1,0.0
finetune,ru,question_type,None,3,precision,0.0
finetune,ru,question_type,None,3,recall,0.0
finetune,ar,single_submetric,avg_links_len,None,loss,0.05795477665960789
finetune,ar,single_submetric,avg_links_len,None,mse,0.05610014498233795
finetune,ar,single_submetric,avg_links_len,None,rmse,0.2368546917042978
finetune,ar,single_submetric,avg_links_len,None,r2,-0.21127259731292725
finetune,ar,single_submetric,avg_max_depth,None,loss,0.038163870200514795
finetune,ar,single_submetric,avg_max_depth,None,mse,0.038009028881788254
finetune,ar,single_submetric,avg_max_depth,None,rmse,0.1949590441138555
finetune,ar,single_submetric,avg_max_depth,None,r2,0.2293441891670227
finetune,ar,single_submetric,avg_subordinate_chain_len,None,loss,0.0698704544454813
finetune,ar,single_submetric,avg_subordinate_chain_len,None,mse,0.06973201781511307
finetune,ar,single_submetric,avg_subordinate_chain_len,None,rmse,0.2640682067480163
finetune,ar,single_submetric,avg_subordinate_chain_len,None,r2,-0.2626006603240967
finetune,ar,single_submetric,avg_verb_edges,None,loss,0.10510768443346023
finetune,ar,single_submetric,avg_verb_edges,None,mse,0.10596301406621933
finetune,ar,single_submetric,avg_verb_edges,None,rmse,0.3255196062700668
finetune,ar,single_submetric,avg_verb_edges,None,r2,-0.5352530479431152
finetune,ar,single_submetric,lexical_density,None,loss,0.05472542345523834
finetune,ar,single_submetric,lexical_density,None,mse,0.05432123318314552
finetune,ar,single_submetric,lexical_density,None,rmse,0.23306915965683989
finetune,ar,single_submetric,lexical_density,None,r2,0.0639183521270752
finetune,ar,single_submetric,n_tokens,None,loss,0.05797166302800179
finetune,ar,single_submetric,n_tokens,None,mse,0.056492216885089874
finetune,ar,single_submetric,n_tokens,None,rmse,0.2376809140109695
finetune,ar,single_submetric,n_tokens,None,r2,0.24579298496246338
finetune,en,single_submetric,avg_links_len,None,loss,0.007887725518750293
finetune,en,single_submetric,avg_links_len,None,mse,0.007811257615685463
finetune,en,single_submetric,avg_links_len,None,rmse,0.08838131938190029
finetune,en,single_submetric,avg_links_len,None,r2,0.16018110513687134
finetune,en,single_submetric,avg_max_depth,None,loss,0.021831140720418522
finetune,en,single_submetric,avg_max_depth,None,mse,0.021944722160696983
finetune,en,single_submetric,avg_max_depth,None,rmse,0.14813751098454767
finetune,en,single_submetric,avg_max_depth,None,r2,0.223710298538208
finetune,en,single_submetric,avg_subordinate_chain_len,None,loss,0.019541154748627117
finetune,en,single_submetric,avg_subordinate_chain_len,None,mse,0.01948358304798603
finetune,en,single_submetric,avg_subordinate_chain_len,None,rmse,0.13958360594276834
finetune,en,single_submetric,avg_subordinate_chain_len,None,r2,0.2033960223197937
finetune,en,single_submetric,avg_verb_edges,None,loss,0.039423322305083275
finetune,en,single_submetric,avg_verb_edges,None,mse,0.03950449079275131
finetune,en,single_submetric,avg_verb_edges,None,rmse,0.1987573666376955
finetune,en,single_submetric,avg_verb_edges,None,r2,0.3358818292617798
finetune,en,single_submetric,lexical_density,None,loss,0.023060537608606473
finetune,en,single_submetric,lexical_density,None,mse,0.0231483094394207
finetune,en,single_submetric,lexical_density,None,rmse,0.15214568491883265
finetune,en,single_submetric,lexical_density,None,r2,0.19096910953521729
finetune,en,single_submetric,n_tokens,None,loss,0.019991231683109487
finetune,en,single_submetric,n_tokens,None,mse,0.020085450261831284
finetune,en,single_submetric,n_tokens,None,rmse,0.1417231465281211
finetune,en,single_submetric,n_tokens,None,r2,-0.0619049072265625
finetune,fi,single_submetric,avg_links_len,None,loss,0.02444045139210565
finetune,fi,single_submetric,avg_links_len,None,mse,0.024471750482916832
finetune,fi,single_submetric,avg_links_len,None,rmse,0.1564344926252418
finetune,fi,single_submetric,avg_links_len,None,r2,-0.3493232727050781
finetune,fi,single_submetric,avg_max_depth,None,loss,0.02313134340303285
finetune,fi,single_submetric,avg_max_depth,None,mse,0.0231600571423769
finetune,fi,single_submetric,avg_max_depth,None,rmse,0.15218428677881596
finetune,fi,single_submetric,avg_max_depth,None,r2,0.2404821515083313
finetune,fi,single_submetric,avg_subordinate_chain_len,None,loss,0.045485135300883224
finetune,fi,single_submetric,avg_subordinate_chain_len,None,mse,0.04554532840847969
finetune,fi,single_submetric,avg_subordinate_chain_len,None,rmse,0.2134135150558176
finetune,fi,single_submetric,avg_subordinate_chain_len,None,r2,-0.02594280242919922
finetune,fi,single_submetric,avg_verb_edges,None,loss,0.0791839419731072
finetune,fi,single_submetric,avg_verb_edges,None,mse,0.0791853591799736
finetune,fi,single_submetric,avg_verb_edges,None,rmse,0.28139893244284636
finetune,fi,single_submetric,avg_verb_edges,None,r2,-0.11904263496398926
finetune,fi,single_submetric,lexical_density,None,loss,0.043761146920067925
finetune,fi,single_submetric,lexical_density,None,mse,0.0439804382622242
finetune,fi,single_submetric,lexical_density,None,rmse,0.20971513598742508
finetune,fi,single_submetric,lexical_density,None,r2,0.01653987169265747
finetune,fi,single_submetric,n_tokens,None,loss,0.011284461045371634
finetune,fi,single_submetric,n_tokens,None,mse,0.011379255913197994
finetune,fi,single_submetric,n_tokens,None,rmse,0.1066735952014274
finetune,fi,single_submetric,n_tokens,None,r2,0.17699682712554932
finetune,id,single_submetric,avg_links_len,None,loss,0.031529221683740616
finetune,id,single_submetric,avg_links_len,None,mse,0.03141351789236069
finetune,id,single_submetric,avg_links_len,None,rmse,0.17723859030233988
finetune,id,single_submetric,avg_links_len,None,r2,-0.4149719476699829
finetune,id,single_submetric,avg_max_depth,None,loss,0.02763734066060611
finetune,id,single_submetric,avg_max_depth,None,mse,0.02766597270965576
finetune,id,single_submetric,avg_max_depth,None,rmse,0.16633091327127306
finetune,id,single_submetric,avg_max_depth,None,r2,0.14124011993408203
finetune,id,single_submetric,avg_subordinate_chain_len,None,loss,0.04316129961184093
finetune,id,single_submetric,avg_subordinate_chain_len,None,mse,0.04321357235312462
finetune,id,single_submetric,avg_subordinate_chain_len,None,rmse,0.2078787443514238
finetune,id,single_submetric,avg_subordinate_chain_len,None,r2,0.17580103874206543
finetune,id,single_submetric,avg_verb_edges,None,loss,0.046119293464081626
finetune,id,single_submetric,avg_verb_edges,None,mse,0.04596462845802307
finetune,id,single_submetric,avg_verb_edges,None,rmse,0.21439362970485637
finetune,id,single_submetric,avg_verb_edges,None,r2,0.2803419828414917
finetune,id,single_submetric,lexical_density,None,loss,0.03854018556220191
finetune,id,single_submetric,lexical_density,None,mse,0.038831453770399094
finetune,id,single_submetric,lexical_density,None,rmse,0.19705698102426894
finetune,id,single_submetric,lexical_density,None,r2,0.05102407932281494
finetune,id,single_submetric,n_tokens,None,loss,0.026594836530940875
finetune,id,single_submetric,n_tokens,None,mse,0.026504237204790115
finetune,id,single_submetric,n_tokens,None,rmse,0.16280121991186097
finetune,id,single_submetric,n_tokens,None,r2,0.10278213024139404
finetune,ja,single_submetric,avg_links_len,None,loss,0.10682731866836548
finetune,ja,single_submetric,avg_links_len,None,mse,0.1058201864361763
finetune,ja,single_submetric,avg_links_len,None,rmse,0.3253001482264899
finetune,ja,single_submetric,avg_links_len,None,r2,-1.4887704849243164
finetune,ja,single_submetric,avg_max_depth,None,loss,0.06646412548919518
finetune,ja,single_submetric,avg_max_depth,None,mse,0.06754720956087112
finetune,ja,single_submetric,avg_max_depth,None,rmse,0.2598984600971524
finetune,ja,single_submetric,avg_max_depth,None,r2,0.0021149516105651855
finetune,ja,single_submetric,avg_subordinate_chain_len,None,loss,0.05976657569408417
finetune,ja,single_submetric,avg_subordinate_chain_len,None,mse,0.06065336987376213
finetune,ja,single_submetric,avg_subordinate_chain_len,None,rmse,0.2462790487917357
finetune,ja,single_submetric,avg_subordinate_chain_len,None,r2,0.17571890354156494
finetune,ja,single_submetric,avg_verb_edges,None,loss,0.07680859913428624
finetune,ja,single_submetric,avg_verb_edges,None,mse,0.07801588624715805
finetune,ja,single_submetric,avg_verb_edges,None,rmse,0.279313240372092
finetune,ja,single_submetric,avg_verb_edges,None,r2,0.1833091378211975
finetune,ja,single_submetric,lexical_density,None,loss,0.07011127596100171
finetune,ja,single_submetric,lexical_density,None,mse,0.07125593721866608
finetune,ja,single_submetric,lexical_density,None,rmse,0.2669380774986328
finetune,ja,single_submetric,lexical_density,None,r2,-0.35983598232269287
finetune,ja,single_submetric,n_tokens,None,loss,0.03548473740617434
finetune,ja,single_submetric,n_tokens,None,mse,0.03533237800002098
finetune,ja,single_submetric,n_tokens,None,rmse,0.18796908788420766
finetune,ja,single_submetric,n_tokens,None,r2,0.4077555537223816
finetune,ko,single_submetric,avg_links_len,None,loss,0.024843685728098665
finetune,ko,single_submetric,avg_links_len,None,mse,0.02501477301120758
finetune,ko,single_submetric,avg_links_len,None,rmse,0.15816059247235886
finetune,ko,single_submetric,avg_links_len,None,r2,-0.08703804016113281
finetune,ko,single_submetric,avg_max_depth,None,loss,0.028649848087557724
finetune,ko,single_submetric,avg_max_depth,None,mse,0.028801297768950462
finetune,ko,single_submetric,avg_max_depth,None,rmse,0.169709451030137
finetune,ko,single_submetric,avg_max_depth,None,r2,0.17510145902633667
finetune,ko,single_submetric,avg_subordinate_chain_len,None,loss,0.046613960926021845
finetune,ko,single_submetric,avg_subordinate_chain_len,None,mse,0.0464717261493206
finetune,ko,single_submetric,avg_subordinate_chain_len,None,rmse,0.21557301813845026
finetune,ko,single_submetric,avg_subordinate_chain_len,None,r2,0.08032125234603882
finetune,ko,single_submetric,avg_verb_edges,None,loss,0.03398316672870091
finetune,ko,single_submetric,avg_verb_edges,None,mse,0.03390464559197426
finetune,ko,single_submetric,avg_verb_edges,None,rmse,0.18413214165912006
finetune,ko,single_submetric,avg_verb_edges,None,r2,0.02275669574737549
finetune,ko,single_submetric,lexical_density,None,loss,0.07421251599277769
finetune,ko,single_submetric,lexical_density,None,mse,0.0743877962231636
finetune,ko,single_submetric,lexical_density,None,rmse,0.2727412624139655
finetune,ko,single_submetric,lexical_density,None,r2,-0.8608797788619995
finetune,ko,single_submetric,n_tokens,None,loss,0.07044929053102221
finetune,ko,single_submetric,n_tokens,None,mse,0.07002145797014236
finetune,ko,single_submetric,n_tokens,None,rmse,0.26461567975111067
finetune,ko,single_submetric,n_tokens,None,r2,-0.6791485548019409
finetune,ru,single_submetric,avg_links_len,None,loss,0.014833830430039338
finetune,ru,single_submetric,avg_links_len,None,mse,0.014618780463933945
finetune,ru,single_submetric,avg_links_len,None,rmse,0.12090814887315886
finetune,ru,single_submetric,avg_links_len,None,r2,0.13216149806976318
finetune,ru,single_submetric,avg_max_depth,None,loss,0.016912565167461122
finetune,ru,single_submetric,avg_max_depth,None,mse,0.016949046403169632
finetune,ru,single_submetric,avg_max_depth,None,rmse,0.13018850334484083
finetune,ru,single_submetric,avg_max_depth,None,r2,0.30513298511505127
finetune,ru,single_submetric,avg_subordinate_chain_len,None,loss,0.04672559377338205
finetune,ru,single_submetric,avg_subordinate_chain_len,None,mse,0.046408385038375854
finetune,ru,single_submetric,avg_subordinate_chain_len,None,rmse,0.2154260546878577
finetune,ru,single_submetric,avg_subordinate_chain_len,None,r2,-0.22881221771240234
finetune,ru,single_submetric,avg_verb_edges,None,loss,0.0388107318431139
finetune,ru,single_submetric,avg_verb_edges,None,mse,0.03845399245619774
finetune,ru,single_submetric,avg_verb_edges,None,rmse,0.19609689558021498
finetune,ru,single_submetric,avg_verb_edges,None,r2,0.06043189764022827
finetune,ru,single_submetric,lexical_density,None,loss,0.043247445087347715
finetune,ru,single_submetric,lexical_density,None,mse,0.042912065982818604
finetune,ru,single_submetric,lexical_density,None,rmse,0.20715227728127586
finetune,ru,single_submetric,lexical_density,None,r2,-0.06746673583984375
finetune,ru,single_submetric,n_tokens,None,loss,0.005862301415098565
finetune,ru,single_submetric,n_tokens,None,mse,0.005937651731073856
finetune,ru,single_submetric,n_tokens,None,rmse,0.07705615959203947
finetune,ru,single_submetric,n_tokens,None,r2,0.4780306816101074
finetune,ar,single_submetric,avg_links_len,1,loss,0.0676881093531847
finetune,ar,single_submetric,avg_links_len,1,mse,0.06560792773962021
finetune,ar,single_submetric,avg_links_len,1,rmse,0.25614044534126235
finetune,ar,single_submetric,avg_links_len,1,r2,-0.41655755043029785
finetune,ar,single_submetric,avg_links_len,2,loss,0.06671207100152969
finetune,ar,single_submetric,avg_links_len,2,mse,0.06471289694309235
finetune,ar,single_submetric,avg_links_len,2,rmse,0.2543872971339024
finetune,ar,single_submetric,avg_links_len,2,r2,-0.3972327709197998
finetune,ar,single_submetric,avg_links_len,3,loss,0.06637989655137062
finetune,ar,single_submetric,avg_links_len,3,mse,0.06432957202196121
finetune,ar,single_submetric,avg_links_len,3,rmse,0.25363275029451776
finetune,ar,single_submetric,avg_links_len,3,r2,-0.38895630836486816
finetune,ar,single_submetric,avg_max_depth,1,loss,0.05379345789551735
finetune,ar,single_submetric,avg_max_depth,1,mse,0.05370607599616051
finetune,ar,single_submetric,avg_max_depth,1,rmse,0.2317457140836924
finetune,ar,single_submetric,avg_max_depth,1,r2,-0.08892285823822021
finetune,ar,single_submetric,avg_max_depth,2,loss,0.05068509876728058
finetune,ar,single_submetric,avg_max_depth,2,mse,0.050602108240127563
finetune,ar,single_submetric,avg_max_depth,2,rmse,0.22494912367050368
finetune,ar,single_submetric,avg_max_depth,2,r2,-0.025988101959228516
finetune,ar,single_submetric,avg_max_depth,3,loss,0.05594992861151695
finetune,ar,single_submetric,avg_max_depth,3,mse,0.05585632100701332
finetune,ar,single_submetric,avg_max_depth,3,rmse,0.23633941907141373
finetune,ar,single_submetric,avg_max_depth,3,r2,-0.13252043724060059
finetune,ar,single_submetric,avg_subordinate_chain_len,1,loss,0.06420844830572606
finetune,ar,single_submetric,avg_subordinate_chain_len,1,mse,0.06419453024864197
finetune,ar,single_submetric,avg_subordinate_chain_len,1,rmse,0.2533663952631484
finetune,ar,single_submetric,avg_subordinate_chain_len,1,r2,-0.1623363494873047
finetune,ar,single_submetric,avg_subordinate_chain_len,2,loss,0.07706810534000397
finetune,ar,single_submetric,avg_subordinate_chain_len,2,mse,0.07687929272651672
finetune,ar,single_submetric,avg_subordinate_chain_len,2,rmse,0.27727115379447015
finetune,ar,single_submetric,avg_subordinate_chain_len,2,r2,-0.3920125961303711
finetune,ar,single_submetric,avg_subordinate_chain_len,3,loss,0.0673154603689909
finetune,ar,single_submetric,avg_subordinate_chain_len,3,mse,0.06726094335317612
finetune,ar,single_submetric,avg_subordinate_chain_len,3,rmse,0.259347148342094
finetune,ar,single_submetric,avg_subordinate_chain_len,3,r2,-0.2178581953048706
finetune,ar,single_submetric,avg_verb_edges,1,loss,0.1303728401660919
finetune,ar,single_submetric,avg_verb_edges,1,mse,0.13123470544815063
finetune,ar,single_submetric,avg_verb_edges,1,rmse,0.3622633095528039
finetune,ar,single_submetric,avg_verb_edges,1,r2,-0.9014037847518921
finetune,ar,single_submetric,avg_verb_edges,2,loss,0.12694913893938065
finetune,ar,single_submetric,avg_verb_edges,2,mse,0.12783221900463104
finetune,ar,single_submetric,avg_verb_edges,2,rmse,0.3575363184414012
