unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens
ko_polar_25,비평의 기술방식에 따라 비평은 어떠한 방식으로 기술할 것인가?,korean,polar,1.7142857142857142,3.0,1.0,1.3333333333333333,0.875,9
ko_polar_26,조개껍질을 연구하는 이유는 그 생물을 추정해 보려는 것뿐이 아닌가?,korean,polar,1.75,4.0,1.5,1.0,1.0,10
ko_polar_27,그렇다면 생산의 물질적 조건들이 노동자들 자신들의 집단적 소유로 대표되는 사회주의 단계에서 소비재의 분배 또는 교환은 어떠한 변화를 겪게 되는가?,korean,polar,2.9444444444444446,6.0,1.0,1.75,0.8947368421052632,20
ko_polar_28,그렇다면 사회주의적 생산에서는 어떠한 변화를 겪게 되는가?,korean,polar,2.0,2.0,1.0,1.3333333333333333,0.8571428571428571,8
ko_polar_29,그렇다면 사회주의 단계에서는 어떠한가?,korean,polar,1.6666666666666667,2.0,0,0,0.75,5
ko_polar_30,그것은 사회의 공적 기관으로서 사회로부터 발생하였으나 그 위에 올라서서 사회와는 더욱 더 멀어져 가는 권력이 아니던가?,korean,polar,2.466666666666667,6.0,1.0,1.5,0.75,17
ko_polar_31,그러나 역사과정 속에서 두가지 혁명의 개별적이고 특수한 요소들이 서로 뒤엉키게 된다는 것을 부정할 수 있겠는가?,korean,polar,2.642857142857143,5.0,1.0,2.0,0.8,16
ko_polar_32,유럽에서는 민주주의 혁명의 시기에 사회주의를 수립하려는 수 많은 사회주의 운동 및 기도들이 있지 않았는가?,korean,polar,2.769230769230769,6.0,1.0,2.0,0.8571428571428571,15
ko_polar_33,하지만 이러한 사실이 사회주의적 과제를 민주주의 혁명의 과제로 혼동하거나 종속시킬 수 있는 논고가 될 여지는 조금도 없지 않은가?,korean,polar,2.6470588235294117,7.0,1.0,1.0,0.8333333333333334,19
ko_polar_34,어떠한 계급과 어떠한 계급과의 평등이냐?,korean,polar,1.75,3.0,0,0.3333333333333333,0.8,6
ko_polar_35,스탈린은 오류가 없는가?,korean,polar,1.5,1.0,0,0,1.0,4
ko_polar_36,인민은 오류가 없는가?,korean,polar,1.5,1.0,0,0,1.0,4
ko_polar_37,그러나 브레히트는 오유가 없는가?,korean,polar,2.0,1.0,0,0,0.75,5
ko_polar_38,그런데 그렇게 선언된 지 4년이 지난 1941년 브레히트는 소련의 유혈테러 통치에 대해 시를 쓰고 있지 않은가?,korean,polar,2.7333333333333334,5.0,1.0,2.6666666666666665,0.625,17
ko_polar_39,오죽하면 그리스의 천지 창조 신화에서 스스로 낳은 아기를 차례로 입 속으로 집어삼키는 가이아라는 이름의 여신이 그려져 있겠습니까?,korean,polar,2.9375,7.0,1.0,2.0,0.8823529411764706,18
ko_polar_40,아이들이 유일하게 이야기를 재미있게 듣고 즐기는 기회였으므로 당연하지 않겠습니까?,korean,polar,1.625,3.0,1.0,1.5,0.4444444444444444,10
ko_polar_41,재미있지 않습니까?,korean,polar,1.0,1.0,0,0,0.5,3
ko_polar_42,그런데 이게 웬일입니까?,korean,polar,1.5,1.0,0,2.0,0.6666666666666666,4
ko_polar_43,그가 만물전 안으로 거리낌 없이 들어가는 것이 아니겠습니까?,korean,polar,1.8571428571428572,4.0,1.0,1.5,0.75,9
ko_polar_44,어떻습니까?,korean,polar,0,0.0,0,0.0,1.0,2
ko_polar_45,종교에 삼위일체가 있고 우주 구성에도 삼계가 있는가 하면 불교에서는 삼세의 인연을 말하고 있지 않습니까?,korean,polar,2.1538461538461537,4.0,0,2.0,0.7142857142857143,15
ko_polar_46,"""내게 그 정도 능력은 있다."" 고 자신하는 귀하가 이 책에 씌어진 대로 실행한다고 과연 10억원을 벌 수 있을까?",korean,polar,2.1176470588235294,6.0,1.0,1.6666666666666667,0.7222222222222222,22
ko_polar_47,새로운 불황인가?,korean,polar,1.0,1.0,0,1.0,1.0,3
ko_polar_48,그런데 과연 기본 가격만으로 재정 조건을 충족시킬 수 있을까?,korean,polar,2.375,2.0,0,5.0,0.8888888888888888,10
ko_polar_49,당신의 건강은 어떠한가?,korean,polar,1.0,2.0,0,1.0,0.6666666666666666,4
ko_polar_50,이는 명백히 정부 전복행위인데 범죄가 아닌가?,korean,polar,2.2,2.0,0,0,0.6666666666666666,7
ko_polar_51,헌법상 권한대행은 대통령 유고시 최고회의가 결정하는 것 아닌가?,korean,polar,2.142857142857143,4.0,1.0,4.0,1.0,9
ko_polar_52,오죽했으면 같이 참석했던 야조프가 이후 '기자회견석상에서 나는 쿠데타가 이미 실패하고 있음을 직감했다' 고 털어놓았겠는가?,korean,polar,4.769230769230769,4.0,1.0,2.75,0.7142857142857143,17
ko_polar_53,즉 그들은 자신들의 행위가 결코 정당한 것은 아니었음에도 불구하고 기자들이 자신들의 주장을 곧이곧대로 믿어줄 것으로 기대했던가?,korean,polar,3.533333333333333,6.0,1.0,3.0,0.8125,17
ko_polar_54,"아니면 그들은 정말로 자신들이 주장하듯, 그들이 정당한 일을 하고 있는 것으로 생각했는가?",korean,polar,3.909090909090909,4.0,1.0,2.0,0.5833333333333334,14
ko_polar_55,명분 없는 싸움으로 죄 없는 동족에게 섣불리 총부리를 들이대는 러시아인들은 없을 것이라 믿은 탓일까?,korean,polar,1.6923076923076923,7.0,1.0,2.0,0.9285714285714286,15
ko_polar_56,그렇다면 뻬레스트로이카의 어떠한 측면이 그 반동적 성격을 강화했으며 또 어떠한 측면이 고르비를 뿌치의 반동으로부터 구해낼 수 있었는가?,korean,polar,3.125,3.0,0,0.0,0.8235294117647058,18
ko_polar_57,그렇다면 당신에게 일말의 책임이 없는가?,korean,polar,2.25,2.0,0,0,0.8,6
ko_polar_58,"생명의 출현, 그것은 우연들의 거의 가능하지 않은 축적에 기인하는 유일한 사건인가?",korean,polar,3.1,4.0,1.0,1.5,0.8181818181818182,13
ko_polar_59,유러비전 방송국은 사정에 따라 중계권을 이탈리아로부터 사야 할까?,korean,polar,2.0,2.0,0,4.0,0.625,9
ko_polar_60,저널리스트는 스포츠를 새로운 금전적 원천으로 개척하였는가?,korean,polar,2.6,2.0,0,3.0,1.0,7
ko_polar_61,아미타불이 과연 극락정토에만 계실까?,korean,polar,2.0,1.0,0,3.0,1.0,5
ko_polar_62,천하의 야마구치 시절은 과연 다오카가쓰오 시대에서 끝난 것인가?,korean,polar,1.8571428571428572,2.0,1.0,2.0,1.0,9
ko_polar_63,혹시 훔친 것이 아닐까?,korean,polar,1.6666666666666667,2.0,1.0,0.0,1.0,5
ko_polar_64,컴퓨터 치안을 자랑하는 일본 경찰들은 과연 이 사실을 모를까?,korean,polar,1.75,4.0,1.0,2.0,0.8888888888888888,10
ko_polar_65,도대체 일인 일살이란 것이 뭔가?,korean,polar,1.75,3.0,1.0,1.5,1.0,6
ko_polar_66,털어서 먼지 안 나는 사람 있는가?,korean,polar,1.6,3.0,1.0,3.0,0.8333333333333334,7
ko_polar_67,이 정도인가?,korean,polar,1.0,1.0,0,1.0,0.5,3
ko_polar_68,영웅은 나 하나로 족하는 것이 사무라이의 승부 세계인가?,korean,polar,1.7142857142857142,4.0,0,3.0,0.875,9
ko_polar_69,정치 경제 사회의 국가적 추이를 이보다 더 화끈하게 변화시킨 사건이 뭔가?,korean,polar,1.6,5.0,1.0,1.5,0.9090909090909091,12
ko_polar_70,그렇다면 도덕경의 성립을 둘러싼 전반적인 상황은 어떠했을까?,korean,polar,2.0,4.0,1.0,1.0,0.8571428571428571,8
ko_polar_71,그대가 왕인 나에게 복종하기를 거부하는 것은 그대가 자기자신을 너무 과신하고 있기 때문이 아니겠는가?,korean,polar,2.0833333333333335,5.0,1.0,1.6666666666666667,0.6923076923076923,14
ko_polar_72,그렇다면 일반적으로 도덕경의 주석자들은 무와 도를 동일시했던 것인가?,korean,polar,2.7142857142857144,2.0,1.0,2.5,0.75,9
ko_polar_73,"한비자가 행한, 앞서 인용했던 바 있는 도의 해석에서 그가 주장하는 점도 바로 이것이 아니겠는가?",korean,polar,2.0,6.0,1.0,1.6666666666666667,0.8571428571428571,16
ko_polar_74,북한에서 내려보낸 인사들의 사고를 북측이 과연 그대로 믿겠는가?,korean,polar,2.0,3.0,1.0,2.0,1.0,9
ko_polar_75,저 한마디 말씀해도 되겠습니까?,korean,polar,1.6666666666666667,2.0,0,2.0,0.5,5
ko_polar_76,이런 차원에서 경제장관 하시는 김정우 부부장 (대외경제사업부 부부장) 께서 함께 하신 것 같은데 어떻습니까?,korean,polar,2.923076923076923,3.0,1.0,2.0,0.7857142857142857,17
ko_polar_77,좋은 일을 하는데 주저하거나 지연시킬 필요가 없지 않겠나?,korean,polar,1.5714285714285714,4.0,0,0.0,0.625,9
ko_polar_78,서울에서도 소련 말을 잘 아는 사람이 많으니 주의하라는 얘기가 그들에게서 들을 수 있는 날이 올까?,korean,polar,1.6428571428571428,9.0,1.0,1.75,0.9333333333333333,16
ko_polar_79,하나의 중국을 인정하기로 했는가?,korean,polar,1.0,3.0,0,1.0,0.75,5
ko_polar_80,난 꿈꾸는 아나키스트인가?,korean,polar,1.0,2.0,1.0,1.0,0.6666666666666666,4
ko_polar_81,난 내 모든 한계를 넘어섰을까?,korean,polar,2.0,2.0,0,2.0,0.6,6
ko_polar_82,난 정말로 그 애매모호한 한계를 넘어선 마땅한 범법자가 되고 만 것일까?,korean,polar,2.4,4.0,2.0,1.0,0.7272727272727273,12
ko_polar_83,"중국인들이 스스로를 하족으로 부르듯이, 전설상의 최초의 국가 하는 과연 실재했을까?",korean,polar,2.2222222222222223,3.0,0,3.0,0.9,12
ko_polar_84,그렇다면 어찌 할 것인가?,korean,polar,1.3333333333333333,1.0,1.0,1.5,0.75,5
ko_polar_85,왕후 장상의 씨앗이 어찌 따로이 있겠는가?,korean,polar,1.6,3.0,0,0,1.0,7
ko_polar_86,관광은 정말 무공해 산업인가?,korean,polar,2.0,1.0,0,3.0,1.0,5
ko_polar_87,그렇다면 종교도 철학의 일종인가?,korean,polar,2.0,1.0,0,3.0,0.75,5
ko_polar_88,혹은 철학이 종교의 일종인가?,korean,polar,2.0,1.0,0,3.0,0.75,5
ko_polar_89,하지만 그 차와 비행기가 자주 엄청난 사고를 일으키지 않나?,korean,polar,2.625,3.0,0,4.0,0.5555555555555556,10
ko_polar_90,그것이 과연 진보인가?,korean,polar,1.5,1.0,0,2.0,0.6666666666666666,4
ko_polar_91,그렇다면 직설적인 가사 때문인가?,korean,polar,1.6666666666666667,2.0,1.0,1.0,0.75,5
ko_polar_92,그렇다면 어음도 자금이라고 할 수 있을까?,korean,polar,1.4,3.0,0,2.0,0.8333333333333334,7
ko_polar_93,스스로 도산을 간파할 수 있는가?,korean,polar,1.25,2.0,0,3.0,1.0,6
ko_polar_94,이 모든 것이 과연 당연하고 자명한 것일까?,korean,polar,2.1666666666666665,2.0,0,1.5,0.7142857142857143,8
ko_polar_95,빗물 한 방울과 다른 빗물 한방울이 합쳐지면 두 방울의 빗물이 되는가?,korean,polar,1.9,5.0,0,2.0,0.6363636363636364,12
ko_polar_96,섭씨 40 도의 물 한 그릇과 섭씨 80 도의 식용유 한 그릇을 섞으면 120 도의 액체 두 그릇이 생길까?,korean,polar,2.5,5.0,0,2.0,0.5789473684210527,20
ko_polar_97,그러나 이게 과연 사실일까?,korean,polar,2.0,1.0,0,3.0,0.5,5
ko_polar_98,수학조차 자명한 진리가 될 수 없다면 도대체 진리라고 할 만한 지식이 있을 수 있을까?,korean,polar,2.1538461538461537,5.0,1.0,1.2,0.9285714285714286,15
ko_polar_99,남을 위해서만 일하는 사람은 자신을 위해서는 일하지 않는가?,korean,polar,1.2857142857142858,4.0,1.0,1.5,0.75,9
ko_polar_100,그러면 러셀이 이 역설을 만들어낸 이유는 무얼까?,korean,polar,2.1666666666666665,4.0,1.0,2.0,0.7142857142857143,8
ko_polar_101,나비인가 아니면 호랑이인가?,korean,polar,1.5,1.0,0,0.0,0.3333333333333333,4
ko_polar_102,또는 '나' 라고 부를 수 있는 것이 과연 존재하는가?,korean,polar,3.25,5.0,0,2.0,0.6666666666666666,12
ko_polar_103,즉 꿈에서 한 일은 장 선생님의 일생을 평가하는데 근거가 될 수 없는가?,korean,polar,2.272727272727273,4.0,1.0,3.0,0.8333333333333334,13
ko_polar_104,일관되려면 결국 장 선생 말씀대로 확실한 것은 없다고 결론 내려야 되는 게 아닐까요?,korean,polar,2.9166666666666665,6.0,1.0,1.6,0.9230769230769231,14
ko_polar_105,속고 있는 당신이 없다면 대체 속이는 일을 가정할 수나 있을까요?,korean,polar,1.6666666666666667,4.0,1.0,1.0,0.7,11
ko_polar_106,즉 다 갖추었는데 존재하지 않은 이 여인을 '완전한 미인' 이라 할 수 있을까요?,korean,polar,2.75,4.0,1.0,1.25,0.6153846153846154,16
ko_polar_107,그거야 간단한 철학사 책만 봐도 다 나오는 거 아닙니까?,korean,polar,2.125,5.0,1.0,1.0,0.8888888888888888,10
ko_polar_108,과연 사회의 원동력이라고 할 수 있는 경제활동인구가 앞으로도 현재의 수준을 유지할 수 있을 것인가?,korean,polar,2.4615384615384617,5.0,1.0,2.25,1.0,15
ko_polar_109,현존하는 가장 오래 된 수화책의 저자가 아메스라는 것을 당신은 알고 있습니까?,korean,polar,1.5,7.0,1.0,1.0,0.8181818181818182,12
ko_polar_110,그러나 우리 이집트와의 교류를 거치고 난 후에야 비로소 그리스 문명의 꽃이 피어나기 시작했다는 것을 생각해 본 적이 있습니까?,korean,polar,2.4705882352941178,10.0,2.0,1.4285714285714286,0.8888888888888888,19
ko_polar_111,"그렇지만 이 양반은 유프라테스강이나 티그리스 강, 인더스 강은 잊어버리고 있지않나?",korean,polar,3.6666666666666665,3.0,0,3.0,0.6,12
ko_polar_112,이 긍지가 가져다 주는 과거와 미래의 관성에 대해서 그들이 뭘 알겠습니까?,korean,polar,1.7,5.0,1.0,2.5,0.5454545454545454,12
ko_polar_113,또 중국의 문제에 있어서는 만주왕조를 인정해야 할 것인가?,korean,polar,2.0,3.0,1.0,2.0,0.75,9
ko_polar_114,아귀날도는 과연 우리가 이제까지 생각해왔던 그대로인가?,korean,polar,2.6,2.0,1.0,2.5,0.8333333333333334,7
ko_polar_115,이렇게 선거시에 역기능을 담당하고 있는 통 반장제도가 과연 꼭 필요한 제도인가?,korean,polar,1.9,3.0,1.0,2.0,0.8181818181818182,12
ko_polar_116,현재생활을 영위해나가는 데 있어서 통 반장으로부터 주민들이 어떠한 도움을 받고 있는가?,korean,polar,2.2,3.0,1.0,2.0,0.8181818181818182,12
ko_polar_117,그 가치는 역사발전에서 어떠한 의미를 지니는가?,korean,polar,2.0,2.0,0,1.5,0.8333333333333334,7
ko_polar_118,"그런 점에서 양자의 연결성과 단절성이란 관점에서 종합적, 총체적으로 재구성하는 문제틀이 필요하지 않을까?",korean,polar,2.5454545454545454,6.0,1.0,1.25,0.8333333333333334,14
ko_polar_119,"그런 점에서 1894 년 농민전쟁을 민주주의혁명을 완결시킬 변혁주체세력이 형성, 발전하는 단계의 시점이었다고 볼 수 있지 않을까?",korean,polar,2.6,6.0,1.0,1.75,0.8125,18
ko_polar_120,그런데 조선에서도 1876 1894 년 시기의 반침략투쟁을 반제국주의 투쟁으로 규정할 수 있을까?,korean,polar,2.5454545454545454,5.0,0,5.0,0.75,13
ko_polar_121,우리를 이집트에 그대로 내버려 두라고 하지 않더냐?,korean,polar,1.6666666666666667,2.0,1.0,2.5,0.5714285714285714,8
ko_polar_122,온 세계가 나의 것이 아니냐?,korean,polar,1.5,2.0,0,0,0.8,6
ko_polar_123,당신도 잘 알지 않는가?,korean,polar,1.3333333333333333,1.0,0,2.0,0.75,5
ko_polar_124,그렇다면 메카트로닉스의 요소 기술을 계속 발전시켜 나가기만 하면 마이크로머신이 가능할 것인가?,korean,polar,2.1,4.0,1.0,2.0,0.8181818181818182,12
ko_polar_125,유토피아 같은 이야기일까?,korean,polar,1.0,2.0,0,1.0,1.0,4
ko_polar_126,각 고체는 모든 다른 고체들과 상이한 물질이겠는가?,korean,polar,2.0,2.0,0,1.0,0.8571428571428571,8
ko_polar_127,액체는 다른 모든 액체들과 다르겠는가?,korean,polar,2.0,2.0,0,0,0.8,6
ko_polar_128,"아이와 어른이 다르고 예와 이제가 또 다르건만, 그 보는 눈, 그 느낌이 어쩌면 이렇게도 들어맞는단 말인가?",korean,polar,2.7333333333333334,4.0,1.0,1.6666666666666667,0.625,19
ko_polar_129,그것은 단순히 우연히 임의적인 것에 지나지 않기 때문에 이 문제에 대한 합리적인 해답은 있을 수 없는 것일까?,korean,polar,2.125,4.0,1.0,1.0,0.8235294117647058,18
ko_polar_130,퀘스텐베르크 따님이라니?,korean,polar,1.0,1.0,0,1.0,1.0,3
ko_polar_131,이 속담들이 모순된 것인가?,korean,polar,1.0,2.0,1.0,1.0,0.75,5
ko_polar_132,그렇지 않으면 두 가지 울음 소리를 구별할 수 있는 예리하고 음악적인 귀를 말한 것인가?,korean,polar,2.3076923076923075,5.0,1.0,0.8333333333333334,0.7857142857142857,15
ko_polar_133,고대인에게는 어떠한 즐거움이 있었을까?,korean,polar,1.6666666666666667,2.0,0,0.0,1.0,5
ko_polar_134,"그렇다면 결국, 임나 일본부를 빌미로 열등한 일본 고대사를 허구로 치장하려던 음모는 이미 밝혀진 것이 아니겠는가?",korean,polar,3.357142857142857,7.0,1.0,2.0,0.9333333333333333,17
ko_polar_135,그렇다면 이러한 일들은 사실이었을까?,korean,polar,1.6666666666666667,2.0,0,1.0,0.75,5
ko_polar_136,그렇다고 하면 칠지도에 의해 임나설을 뒷받침하려는 행위는 결국 거짓된 역사를 꾸며 내기 위해 또 다른 허구를 덧씌우는 것에 불과하지 않은가?,korean,polar,3.263157894736842,7.0,1.25,1.5714285714285714,0.8,21
ko_polar_137,그렇기 때문에 당시의 작위 명칭에는 큰 의미를 부여하지 않는 것이 오늘날 학자들의 상식이 아닌가?,korean,polar,2.3846153846153846,4.0,1.0,1.0,0.9285714285714286,15
ko_polar_138,그러한 신라가 중국에 권위를 요청한다는 일은 당연히 무리가 아니었겠는가?,korean,polar,1.75,4.0,1.0,1.5,1.0,10
ko_polar_139,"그렇다면 결국, 일본서기의 역사적 취약성을 중국의 역사기록에서 메워보려는 그들의 노력은 헛되고, 무모한 노력에 불과하지 않은가?",korean,polar,3.7142857142857144,4.0,1.0,2.0,0.7333333333333333,18
ko_polar_140,그러면 임나에 대한 일본서기를 비롯한 많은 기록들은 모두 허구란 말인가?,korean,polar,2.4444444444444446,4.0,1.0,1.5,0.9,11
ko_polar_141,세계 최고의 학문적 연구 열의와 성과를 자랑하고 있는 일본 사학이 한국을 중국의 일부로 볼 만큼 무지한 걸까?,korean,polar,1.875,6.0,1.0,1.5,0.8823529411764706,18
ko_polar_142,아니라면 애초부터 한국 역사의 독자성을 처음부터 무시할 목적으로 위와 같은 잘못을 범한 것인가?,korean,polar,2.5833333333333335,5.0,1.0,2.3333333333333335,0.8461538461538461,14
ko_polar_143,이런 문화 유입이 가능하단 말인가?,korean,polar,1.25,3.0,0,0.6666666666666666,1.0,6
ko_polar_144,그러나 세계적 성격을 과시하고자 하는 의욕이 앞선 때문일까?,korean,polar,2.0,5.0,1.0,1.3333333333333333,0.75,9
ko_polar_145,아니면 앞서 말한 대로 한국인의 영향권을 외면하고 싶어서였을까?,korean,polar,2.0,3.0,1.0,2.0,0.75,9
ko_polar_146,"단지 이것만으로, 외세에 맞서 국가를 지키려 한 숭고한 민중 의지의 표상으로서 삼별초의 의의를 우리 2세들에게 가르칠 수 있겠는가?",korean,polar,2.411764705882353,5.0,1.0,2.0,0.8333333333333334,20
ko_polar_147,그러나 그 출발 동기의 불순함에 묶여 역사를 통해 보여준 긍정적 활동상마저 외면해서야 되겠는가?,korean,polar,2.1666666666666665,8.0,1.0,2.0,0.6153846153846154,14
ko_polar_148,언젠가는 시간이 거꾸로 흘러 결과가 원인에 앞서 일어나는 일이 있지 않을까?,korean,polar,2.5,4.0,1.0,4.0,0.7272727272727273,12
ko_polar_149,혹은 인간이 알 수 있는 데에 마지막 한계가 있을까?,korean,polar,2.375,4.0,1.0,2.0,0.8888888888888888,10
ko_polar_150,시간에 종말이 있을 수 있을까?,korean,polar,1.25,2.0,0,0,1.0,6
ko_polar_151,그렇다면 그 이론이 반드시 우리가 옳은 결론에 도달하도록 결정할 것인가?,korean,polar,2.888888888888889,3.0,1.0,2.0,0.6,11
ko_polar_152,우리가 그릇된 결론을 끌어내도록 결정할 수도 있지 않을까?,korean,polar,1.5714285714285714,3.0,1.0,1.0,0.625,9
ko_polar_153,정난의 사람들은 일상사에 얽매여 도대체 다른 것을 초월하여 사물을 살펴볼 수 있지 않겠는가?,korean,polar,2.5833333333333335,3.0,0,6.0,0.7692307692307693,14
ko_polar_154,그리스어로 대지의 여신을 의미하는 이 말보다 적절한 용어가 과연 있을 수 있을까?,korean,polar,1.3636363636363635,6.0,1.0,1.5,1.0,13
ko_polar_155,어쩌면 그 일은 지구의 생물체를 외계로 진출시킬 수 있는 거의 유일한 방법이 아니겠는가?,korean,polar,3.0833333333333335,4.0,1.0,2.0,0.9230769230769231,14
ko_polar_156,그렇지만 이제 그 정의를 꼭 말해야만 한다면 나 스스로가 생명에 대한 정의를 내리려고 노력해야 하지 않을까?,korean,polar,2.8666666666666667,4.0,1.0,2.5,0.5625,17
ko_polar_157,"그렇다면 다른 커다란 실체, 즉 생태계나 가이아에 대해서는 어떠한가?",korean,polar,3.0,5.0,0,0,0.6666666666666666,11
ko_polar_158,생물과 환경이 밀접하게 연관되어 있다는 가정만으로 전체 시스템의 성질이 과연 크게 달라질 수 있을까?,korean,polar,1.8461538461538463,4.0,1.0,3.5,0.7142857142857143,15
ko_polar_159,항상성이 곧 가이아 모델에서 예측되는 논리적인 귀결일까?,korean,polar,2.3333333333333335,3.0,1.0,1.6666666666666667,1.0,8
ko_polar_160,도도하던 보옥의 자존심을 무참히 까뭉갰다는 우월감 때문이었을까?,korean,polar,1.3333333333333333,4.0,1.0,1.0,1.0,8
ko_polar_161,그게 도시의 빛깔이었을까?,korean,polar,1.5,1.0,0,2.0,0.6666666666666666,4
ko_polar_162,도시의 율동이었을까?,korean,polar,1.0,1.0,0,1.0,1.0,3
ko_polar_163,그렇지 않습니까?,korean,polar,1.0,1.0,0,0.0,0.5,3
ko_polar_164,인물값 하느라고 치맛자락에 못된 남자들 감싸고 다니다가 순결 잃은 상처 때문에 꿈을 버린 걸까?,korean,polar,1.9230769230769231,4.0,1.0,1.6666666666666667,0.7857142857142857,15
ko_polar_165,그럴 때 만나면 그럴싸한 관능의 추억이 생겨나는 것이니까?,korean,polar,1.5714285714285714,3.0,1.0,0.75,0.875,9
ko_polar_166,그런데 과연 약속했던 낙원은 건설되었던가?,korean,polar,1.75,3.0,1.0,1.5,0.8,6
ko_polar_167,혹 돈키호테처럼 대갑식은 치렀으되 정당한 기사 임명식은 치르지 못한 그런 사회주의 혁명은 아니었던가?,korean,polar,2.5833333333333335,4.0,2.0,1.25,0.9230769230769231,14
ko_polar_168,1917 년 러시아 경제가 사회주의 혁명을 수행해야 할 발전 단계에 이르렀던가?,korean,polar,2.1,5.0,1.0,1.5,0.8181818181818182,12
ko_polar_169,그리고 이 협애함은 기본적으로 경제의 낙후함과 긴밀히 연관되어 있지 않았던가?,korean,polar,2.6666666666666665,3.0,0,4.0,0.5,11
ko_polar_170,문학비평가와 문학연구가를 굳이 따로 분리할 필요가 있을까?,korean,polar,1.6666666666666667,4.0,1.0,2.0,0.8571428571428571,8
ko_polar_171,과연 문학비평이 오늘날의 문제적 상황을 외면하거나 침묵해도 좋을 것인가?,korean,polar,2.5,2.0,1.0,0.0,0.7777777777777778,10
