language,model_type,task,split,submetric,layer,metric,real,control1,control2,control3,control_mean,selectivity,normalized_selectivity
en,Ridge,single_submetric,test,avg_verb_edges,overall,mse,0.0452925471327799,0.0706038606889086,0.0638451445237932,0.0651029794548882,0.06651732822253,0.02122478108975,31.90864945558814
fi,Ridge,single_submetric,test,avg_verb_edges,overall,mse,0.0661138561069919,0.0841884158302555,0.0893843093624351,0.0921129285466099,0.0885618845797668,0.0224480284727749,25.347279565348696
id,Ridge,single_submetric,test,avg_verb_edges,overall,mse,0.0696084322401399,0.0730927063959032,0.0732534091577908,0.0792809969017935,0.0752090374851625,0.0056006052450225,7.446718416157767
ja,Ridge,single_submetric,test,avg_verb_edges,overall,mse,0.0941966525014839,0.1005827650304602,0.1090257874864059,0.1115290103835405,0.1070458543001355,0.0128492017986516,12.003455792528872
ko,Ridge,single_submetric,test,avg_verb_edges,overall,mse,0.0377534540249676,0.0395541751432741,0.0488515373643492,0.0354171346997731,0.0412742824024654,0.0035208283774978,8.530320026321164
ru,Ridge,single_submetric,test,avg_verb_edges,overall,mse,0.0419691869629715,0.0529146396041749,0.0463379642418295,0.0542701264790569,0.0511742434416871,0.0092050564787156,17.987674774722834
ar,Ridge,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0494277986306719,0.0773614504321878,0.079381802476142,0.0839556352924048,0.0802329627335782,0.0308051641029063,38.39464859997507
en,Ridge,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0154628104781148,0.0288806495939968,0.0299724323234565,0.0298526779925206,0.0295685866366579,0.0141057761585431,47.70527699506402
fi,Ridge,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0370485505749417,0.0499807054875461,0.0527445258447442,0.0557158816488653,0.0528137043270518,0.0157651537521101,29.850497996663066
id,Ridge,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0352834767870278,0.0762488177278367,0.0713188638712342,0.0765515879919051,0.074706423196992,0.0394229464099642,52.77049110758596
ja,Ridge,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0695824108894331,0.1087141779287049,0.1058930582207126,0.1155729896718254,0.1100600752737476,0.0404776643843145,36.77779093248501
ko,Ridge,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0450828193154523,0.0711960917925989,0.0616790738033208,0.0734455531921434,0.0687735729293543,0.023690753613902,34.44746667188239
ru,Ridge,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0318440036548939,0.0564020633935432,0.053076940649082,0.0575341121028708,0.0556710387151653,0.0238270350602714,42.79969551525669
ar,DummyRegressor,single_submetric,test,lexical_density,overall,mse,0.072571150958538,0.072571150958538,0.072571150958538,0.072571150958538,0.072571150958538,0.0,0.0
en,DummyRegressor,single_submetric,test,lexical_density,overall,mse,0.035381905734539,0.035381905734539,0.035381905734539,0.035381905734539,0.035381905734539,0.0,0.0
fi,DummyRegressor,single_submetric,test,lexical_density,overall,mse,0.048890296369791,0.048890296369791,0.048890296369791,0.048890296369791,0.048890296369791,0.0,0.0
id,DummyRegressor,single_submetric,test,lexical_density,overall,mse,0.0529543757438659,0.0529543757438659,0.0529543757438659,0.0529543757438659,0.0529543757438658,-6.938893903907228e-18,-1.3103532628672362e-14
ja,DummyRegressor,single_submetric,test,lexical_density,overall,mse,0.0630531162023544,0.0630531162023544,0.0630531162023544,0.0630531162023544,0.0630531162023544,0.0,0.0
ko,DummyRegressor,single_submetric,test,lexical_density,overall,mse,0.0399788543581962,0.0399788543581962,0.0399788543581962,0.0399788543581962,0.0399788543581962,0.0,0.0
ru,DummyRegressor,single_submetric,test,lexical_density,overall,mse,0.0451964437961578,0.0451964437961578,0.0451964437961578,0.0451964437961578,0.0451964437961578,0.0,0.0
ar,DummyRegressor,single_submetric,test,avg_links_len,overall,mse,0.0636129155755043,0.0636129155755043,0.0636129155755043,0.0636129155755043,0.0636129155755043,0.0,0.0
en,DummyRegressor,single_submetric,test,avg_links_len,overall,mse,0.0115983262658119,0.0115983262658119,0.0115983262658119,0.0115983262658119,0.0115983262658119,0.0,0.0
fi,DummyRegressor,single_submetric,test,avg_links_len,overall,mse,0.0197583604604005,0.0197583604604005,0.0197583604604005,0.0197583604604005,0.0197583604604005,0.0,0.0
id,DummyRegressor,single_submetric,test,avg_links_len,overall,mse,0.0338220559060573,0.0338220559060573,0.0338220559060573,0.0338220559060573,0.0338220559060573,0.0,0.0
ja,DummyRegressor,single_submetric,test,avg_links_len,overall,mse,0.0955040529370307,0.0955040529370307,0.0955040529370307,0.0955040529370307,0.0955040529370307,0.0,0.0
ko,DummyRegressor,single_submetric,test,avg_links_len,overall,mse,0.0272975992411375,0.0272975992411375,0.0272975992411375,0.0272975992411375,0.0272975992411375,0.0,0.0
ru,DummyRegressor,single_submetric,test,avg_links_len,overall,mse,0.021772077307105,0.021772077307105,0.021772077307105,0.021772077307105,0.021772077307105,0.0,0.0
ar,Ridge,single_submetric,test,n_tokens,overall,mse,0.0382494411190466,0.0814282705344884,0.0750463839723014,0.0864672160874054,0.0809806235313984,0.0427311824123518,52.76716892132073
en,Ridge,single_submetric,test,n_tokens,overall,mse,0.0268395356320768,0.03057341460509,0.0297189607478755,0.0305273363716992,0.0302732372415549,0.0034337016094781,11.342366797709998
fi,Ridge,single_submetric,test,n_tokens,overall,mse,0.0145329849322847,0.0169102338603093,0.0198974833192018,0.018038100323091,0.018281939167534,0.0037489542352493,20.506327041646177
id,Ridge,single_submetric,test,n_tokens,overall,mse,0.0220306895665391,0.0358195630748672,0.033899262143861,0.0354499602559166,0.0350562618248816,0.0130255722583425,37.15619287478464
ja,Ridge,single_submetric,test,n_tokens,overall,mse,0.0348731746475535,0.059211942460617,0.0598445372404404,0.0639172946414835,0.0609912581141803,0.0261180834666268,42.82266717261637
ko,Ridge,single_submetric,test,n_tokens,overall,mse,0.0462046010926254,0.0702004679483795,0.0720852173903895,0.0718375157995107,0.0713744003794265,0.0251697992868011,35.26446338322764
ru,Ridge,single_submetric,test,n_tokens,overall,mse,0.0116103156783622,0.0158543746890705,0.0151759654951289,0.0157510107715439,0.0155937836519144,0.0039834679735522,25.545230474344745
ar,DummyRegressor,single_submetric,test,n_tokens,overall,mse,0.078075423836708,0.078075423836708,0.078075423836708,0.078075423836708,0.078075423836708,0.0,0.0
en,DummyRegressor,single_submetric,test,n_tokens,overall,mse,0.0232008695602417,0.0232008695602417,0.0232008695602417,0.0232008695602417,0.0232008695602417,0.0,0.0
fi,DummyRegressor,single_submetric,test,n_tokens,overall,mse,0.0222799722105264,0.0222799722105264,0.0222799722105264,0.0222799722105264,0.0222799722105264,0.0,0.0
id,DummyRegressor,single_submetric,test,n_tokens,overall,mse,0.0297929048538208,0.0297929048538208,0.0297929048538208,0.0297929048538208,0.0297929048538208,0.0,0.0
ja,DummyRegressor,single_submetric,test,n_tokens,overall,mse,0.0743818506598472,0.0743818506598472,0.0743818506598472,0.0743818506598472,0.0743818506598472,0.0,0.0
ko,DummyRegressor,single_submetric,test,n_tokens,overall,mse,0.046861432492733,0.046861432492733,0.046861432492733,0.046861432492733,0.046861432492733,0.0,0.0
ru,DummyRegressor,single_submetric,test,n_tokens,overall,mse,0.0168121345341205,0.0168121345341205,0.0168121345341205,0.0168121345341205,0.0168121345341205,0.0,0.0
ar,LogisticRegression,question_type,test,overall,overall,accuracy,0.987012987012987,0.5194805194805194,0.4545454545454545,0.5844155844155844,0.5194805194805194,0.4675324675324676,90.00000000000001
en,LogisticRegression,question_type,test,overall,overall,accuracy,0.7909090909090909,0.509090909090909,0.4272727272727272,0.5727272727272728,0.503030303030303,0.2878787878787878,57.22891566265059
fi,LogisticRegression,question_type,test,overall,overall,accuracy,0.8454545454545455,0.4727272727272727,0.4454545454545454,0.4090909090909091,0.4424242424242424,0.403030303030303,91.09589041095892
id,LogisticRegression,question_type,test,overall,overall,accuracy,0.5727272727272728,0.4545454545454545,0.5363636363636364,0.4272727272727272,0.4727272727272726,0.1,21.15384615384617
ja,LogisticRegression,question_type,test,overall,overall,accuracy,0.6521739130434783,0.5217391304347826,0.5434782608695652,0.5543478260869565,0.5398550724637681,0.1123188405797102,20.80536912751679
ko,LogisticRegression,question_type,test,overall,overall,accuracy,0.6636363636363637,0.5454545454545454,0.4363636363636363,0.4727272727272727,0.4848484848484848,0.1787878787878788,36.87500000000002
ru,LogisticRegression,question_type,test,overall,overall,accuracy,0.8,0.3818181818181818,0.4454545454545454,0.6363636363636364,0.4878787878787878,0.3121212121212122,63.975155279503134
ar,DummyRegressor,single_submetric,test,avg_verb_edges,overall,mse,0.0978853702545166,0.0978853702545166,0.0978853702545166,0.0978853702545166,0.0978853702545166,0.0,0.0
en,DummyRegressor,single_submetric,test,avg_verb_edges,overall,mse,0.0600053220987319,0.0600053220987319,0.0600053220987319,0.0600053220987319,0.0600053220987319,6.938893903907228e-18,1.156379744531672e-14
fi,DummyRegressor,single_submetric,test,avg_verb_edges,overall,mse,0.0752254799008369,0.0752254799008369,0.0752254799008369,0.0752254799008369,0.0752254799008369,0.0,0.0
id,DummyRegressor,single_submetric,test,avg_verb_edges,overall,mse,0.0807329267263412,0.0807329267263412,0.0807329267263412,0.0807329267263412,0.0807329267263412,0.0,0.0
ja,DummyRegressor,single_submetric,test,avg_verb_edges,overall,mse,0.1018375754356384,0.1018375754356384,0.1018375754356384,0.1018375754356384,0.1018375754356383,-1.3877787807814457e-17,-1.3627374521092418e-14
ko,DummyRegressor,single_submetric,test,avg_verb_edges,overall,mse,0.0354208461940288,0.0354208461940288,0.0354208461940288,0.0354208461940288,0.0354208461940288,0.0,0.0
ru,DummyRegressor,single_submetric,test,avg_verb_edges,overall,mse,0.0527771338820457,0.0527771338820457,0.0527771338820457,0.0527771338820457,0.0527771338820457,0.0,0.0
ar,XGBClassifier,question_type,test,overall,overall,accuracy,0.987012987012987,0.5064935064935064,0.5844155844155844,0.4285714285714285,0.5064935064935064,0.4805194805194805,94.87179487179488
en,XGBClassifier,question_type,test,overall,overall,accuracy,0.7363636363636363,0.5181818181818182,0.4636363636363636,0.5454545454545454,0.5090909090909091,0.2272727272727271,44.64285714285712
fi,XGBClassifier,question_type,test,overall,overall,accuracy,0.8090909090909091,0.4636363636363636,0.4454545454545454,0.4727272727272727,0.4606060606060605,0.3484848484848485,75.65789473684214
id,XGBClassifier,question_type,test,overall,overall,accuracy,0.6909090909090909,0.5272727272727272,0.5,0.4727272727272727,0.5,0.1909090909090909,38.18181818181819
ja,XGBClassifier,question_type,test,overall,overall,accuracy,0.6413043478260869,0.5108695652173914,0.5543478260869565,0.5108695652173914,0.5253623188405797,0.1159420289855072,22.06896551724137
ko,XGBClassifier,question_type,test,overall,overall,accuracy,0.6636363636363637,0.5454545454545454,0.509090909090909,0.4818181818181818,0.5121212121212121,0.1515151515151516,29.585798816568065
ru,XGBClassifier,question_type,test,overall,overall,accuracy,0.8727272727272727,0.4454545454545454,0.4818181818181818,0.8,0.5757575757575758,0.2969696969696969,51.57894736842104
ar,DummyRegressor,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0664701163768768,0.0664701163768768,0.0664701163768768,0.0664701163768768,0.0664701163768768,0.0,0.0
en,DummyRegressor,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0247156452387571,0.0247156452387571,0.0247156452387571,0.0247156452387571,0.024715645238757,-3.469446951953614e-18,-1.4037452465586879e-14
fi,DummyRegressor,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0468291230499744,0.0468291230499744,0.0468291230499744,0.0468291230499744,0.0468291230499744,6.938893903907228e-18,1.4817475647584267e-14
id,DummyRegressor,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0711118429899215,0.0711118429899215,0.0711118429899215,0.0711118429899215,0.0711118429899215,0.0,0.0
ja,DummyRegressor,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.130652517080307,0.130652517080307,0.130652517080307,0.130652517080307,0.130652517080307,0.0,0.0
ko,DummyRegressor,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0779614672064781,0.0779614672064781,0.0779614672064781,0.0779614672064781,0.0779614672064781,0.0,0.0
ru,DummyRegressor,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0441038534045219,0.0441038534045219,0.0441038534045219,0.0441038534045219,0.0441038534045219,6.938893903907228e-18,1.5733078559516057e-14
ar,Ridge,single_submetric,test,avg_links_len,overall,mse,0.0396468728597336,0.0650368838091583,0.0609747123923637,0.0678907438657478,0.0646341133557566,0.0249872404960229,38.65952389334899
en,Ridge,single_submetric,test,avg_links_len,overall,mse,0.0063291946217137,0.011205070255704,0.0105996692334925,0.0129460510363453,0.0115835968418472,0.0052544022201335,45.360713877328216
