unique_id,text,language,avg_links_len,avg_max_depth,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
ko_content_107,그러면 이들은 왜 관광을 하는가?,ko,0.299,-2.467,0.667,0.6,1.946,0,1.045
ko_polar_22,여러분이 지금까지 살아온 삶이 주는 자의 삶이었습니까?,ko,-0.54,-0.635,0.222,0.857,2.197,1,2.101
ko_content_145,그렇다면 앞으로 산업활동에 필요한 노동력의 수요와 공급은 어떤 상황이 될 것인가?,ko,0.099,1.533,0.333,0.727,2.565,0,5.257
ko_polar_195,정신의 어떠한 형태가 등장하고 그것들이 어떠한 연결 방식으로 잇달아 나타나는가?,ko,0.182,0.365,0.111,0.7,2.485,1,3.843
ko_polar_154,그리스어로 대지의 여신을 의미하는 이 말보다 적절한 용어가 과연 있을 수 있을까?,ko,-0.677,2.365,0.25,1.0,2.639,1,5.577
ko_content_14,과연 이럴 때 우리 성도들은 어떻게 처신해야 좋겠습니까?,ko,0.084,-1.467,0.0,0.625,2.303,0,1.545
ko_content_116,"자, 당신은 인간으로서 이것에 어떻게 답할 것인가?",ko,0.632,-2.467,0.5,0.571,2.303,0,1.539
ko_content_71,"고르비는 현재 어디에 있으며, 그에게 무슨 일이 있는가?",ko,-0.059,-0.467,0.0,0.75,2.398,0,2.622
ko_content_61,깔끔하고 말쑥한 동화의 차림새는 무엇보다도 소년 소녀들의 마음의 빛이요 모습이라고 생각되지 않는지요?,ko,0.071,-0.467,0.167,0.667,2.639,0,3.077
ko_polar_150,시간에 종말이 있을 수 있을까?,ko,-0.79,-1.635,0.0,1.0,1.946,1,0.521
ko_polar_18,그렇다고 멀쩡한 아내와 어린 두 아들을 권총으로 쏴 죽인 후에 자살을 해야 직성이 풀린단 말입니까?,ko,0.674,3.365,0.389,0.667,2.833,1,7.928
ko_polar_171,과연 문학비평이 오늘날의 문제적 상황을 외면하거나 침묵해도 좋을 것인가?,ko,0.46,-1.635,0.0,0.778,2.398,1,2.001
ko_polar_21,도대체 이게 어찌된 일입니까?,ko,-0.707,-1.635,0.25,0.75,1.792,1,0.45
ko_polar_164,인물값 하느라고 치맛자락에 못된 남자들 감싸고 다니다가 순결 잃은 상처 때문에 꿈을 버린 걸까?,ko,-0.117,0.365,0.278,0.786,2.773,1,4.085
ko_content_171,우리가 의미하는 순수한 물질이란 무엇인가?,ko,-0.951,-0.467,0.111,0.8,1.946,0,1.439
ko_content_144,고령화 사회가 도래하면 우리사회에는 어떤 문제가 발생할 것인가?,ko,-0.487,-0.467,0.333,0.625,2.303,0,2.307
ko_polar_50,이는 명백히 정부 전복행위인데 범죄가 아닌가?,ko,0.16,-1.635,0.0,0.667,2.079,1,1.271
ko_content_16,우리나라 국회의원선거가 왜 이 모양 이 꼴입니까?,ko,0.132,-1.467,0.667,0.714,2.197,0,2.243
ko_content_10,"무슨 일이든지 시작하기는 쉽지만, 끝내기는 어렵기 때문에 용두사미라는 말이 종종 쓰이는 것 아니겠습니까?",ko,0.049,3.533,0.25,0.769,2.773,0,7.374
ko_polar_72,그렇다면 일반적으로 도덕경의 주석자들은 무와 도를 동일시했던 것인가?,ko,0.674,-1.635,0.417,0.75,2.303,1,2.509
ko_content_8,시간도 지킬 줄 모르는 사람이 어떻게 국민들과의 큰 약속을 지킬 수 있겠습니까?,ko,-0.474,1.533,0.333,1.0,2.639,0,5.031
ko_content_76,뿌치 지도부가 중앙아시아 출신의 이민족으로 탱크 주력군을 삼은 이유는 무엇일까?,ko,-0.424,1.533,0.333,1.0,2.485,0,4.927
ko_content_212,가이아 모델은 어떤 점에서 이제까지의 생물 지구 화학적 모델들과 다를까?,ko,0.576,-0.467,0.0,0.9,2.485,0,3.494
ko_content_174,그러나 누가 아리스토텔레스와 엠페도클레스를 의심했겠는가?,ko,0.299,-1.467,0.5,0.4,1.946,0,1.678
ko_content_100,"특히 노자의 사상은 다른 무엇보다도 우선 ""도의 가르침"" 이 아닌가?",ko,2.354,-1.467,0.333,0.9,2.639,0,4.759
ko_content_82,그러면 임화가 말하는 인물과 환경의 조화란 과연 무엇인가?,ko,0.227,-1.467,0.333,0.75,2.303,0,2.146
ko_content_42,소위 남한의 PDR이란 무엇인가?,ko,-0.535,-1.467,0.333,1.0,1.792,0,1.123
ko_polar_116,현재생활을 영위해나가는 데 있어서 통 반장으로부터 주민들이 어떠한 도움을 받고 있는가?,ko,0.16,-0.635,0.333,0.818,2.565,1,3.241
ko_polar_133,고대인에게는 어떠한 즐거움이 있었을까?,ko,-0.374,-1.635,0.0,1.0,1.792,1,0.783
ko_content_245,이런 상태에서 어떻게 노동자들이 기업의 주인된 자세로 일을 할 수가 있다는 말인가?,ko,0.435,0.533,0.333,0.917,2.639,0,4.857
ko_polar_122,온 세계가 나의 것이 아니냐?,ko,-0.54,-1.635,0.0,0.8,1.946,1,0.571
ko_polar_119,"그런 점에서 1894 년 농민전쟁을 민주주의혁명을 완결시킬 변혁주체세력이 형성, 발전하는 단계의 시점이었다고 볼 수 있지 않을까?",ko,0.56,2.365,0.292,0.812,2.944,1,6.973
ko_content_48,역사적 현실을 통해 배우지 않는다면 이론의 할 일이란 도대체 무엇이란 말인가?,ko,-0.501,1.533,0.208,0.818,2.565,0,4.623
ko_content_43,왜 노동자의 꾸가에서 노동자의 상태개선이 아니라 농민의 상태개선인가?,ko,0.084,-0.467,0.5,0.875,2.303,0,3.295
ko_content_84,그러면 소설 속에서 적극적 주인공이 필요없다면 어떻게 전형성을 통해 작품의 주제를 이끌어 낼 수 있을까?,ko,0.513,-0.467,0.0,0.8,2.833,0,3.679
ko_polar_48,그런데 과연 기본 가격만으로 재정 조건을 충족시킬 수 있을까?,ko,0.335,-1.635,0.833,0.889,2.398,1,2.82
ko_polar_11,우리 정부의 능력으로는 도저히 할 수 없는 일도 해낼 수 있다고 말도 안되는 헛소리를 하는 사람이 대통령이 돼서 되겠습니까?,ko,-0.207,4.365,0.25,0.895,3.045,1,8.348
ko_content_152,이 이상한 생물체가 찾고 싶어하는 게 어떤 성운입니까?,ko,-0.773,0.533,0.133,0.875,2.303,0,3.071
ko_polar_60,저널리스트는 스포츠를 새로운 금전적 원천으로 개척하였는가?,ko,0.56,-1.635,0.5,1.0,2.079,1,2.504
ko_polar_160,도도하던 보옥의 자존심을 무참히 까뭉갰다는 우월감 때문이었을까?,ko,-0.707,0.365,0.167,1.0,2.197,1,3.022
ko_polar_88,혹은 철학이 종교의 일종인가?,ko,-0.04,-2.635,0.5,0.75,1.792,1,0.367
ko_content_13,"언제 어떤 암초에 걸릴는지 모르는데, 누가 안개 자욱한 바다를 향해하려 하겠습니까?",ko,-0.201,0.533,0.25,0.636,2.639,0,3.857
ko_polar_56,그렇다면 뻬레스트로이카의 어떠한 측면이 그 반동적 성격을 강화했으며 또 어떠한 측면이 고르비를 뿌치의 반동으로부터 구해낼 수 있었는가?,ko,1.085,-0.635,0.0,0.824,2.944,1,4.218
ko_polar_166,그런데 과연 약속했던 낙원은 건설되었던가?,ko,-0.29,-0.635,0.25,0.8,1.946,1,2.071
ko_content_30,그런데 여러분은 과연 어느 편에 속한 사람입니까?,ko,0.465,-0.467,0.333,0.571,2.197,0,3.099
ko_content_223,그런데 청초한 백합처럼 신성하게 보이는 까닭은 무엇 때문일까?,ko,-0.059,0.533,0.278,0.625,2.303,0,3.68
ko_content_153,왜 금권선거가 한국선거의 특징이 되겠는가?,ko,0.049,-1.467,0.5,1.0,1.946,0,2.028
ko_content_33,도시의 경관을 도시의 얼굴이라고 한다면 눈빛에 해당하는 것은 무엇일까?,ko,-0.701,0.533,0.25,0.778,2.398,0,3.258
ko_polar_33,하지만 이러한 사실이 사회주의적 과제를 민주주의 혁명의 과제로 혼동하거나 종속시킬 수 있는 논고가 될 여지는 조금도 없지 않은가?,ko,0.607,3.365,0.167,0.833,2.996,1,7.968
ko_polar_92,그렇다면 어음도 자금이라고 할 수 있을까?,ko,-0.64,-0.635,0.333,0.833,2.079,1,1.97
ko_content_135,해보지도 않고 시합에 이겼다는 주장이 대체 어디 있니?,ko,-0.059,0.533,0.167,0.625,2.303,0,3.569
ko_polar_110,그러나 우리 이집트와의 교류를 거치고 난 후에야 비로소 그리스 문명의 꽃이 피어나기 시작했다는 것을 생각해 본 적이 있습니까?,ko,0.43,6.365,0.238,0.889,2.996,1,10.918
ko_polar_28,그렇다면 사회주의적 생산에서는 어떠한 변화를 겪게 되는가?,ko,-0.04,-1.635,0.222,0.857,2.197,1,1.601
ko_polar_182,오너르 콜린스 하버 쪽으로 간 펭귄들이 그렇게 남아있는 무리인가?,ko,-0.415,1.365,0.222,0.889,2.398,1,4.459
ko_content_231,러시아 땅에 전기와 기계가 소나기처럼 퍼부어졌는데도 낙원의 여왕은 왜 오지 않았을까?,ko,-0.301,-0.467,0.5,0.818,2.565,0,3.115
ko_content_143,대체 당신은 무엇이 해결되었다고 생각하지요?,ko,0.049,-1.467,0.333,0.6,1.946,0,1.461
ko_content_210,어떻게 생물들이 산소의 농도를 정하기 위하여 회의를 개최할 수 있겠는가?,ko,0.132,0.533,0.5,0.8,2.485,0,4.45
ko_content_232,돈키호테의 판단 착오는 어디에서 연유한 것일까?,ko,-0.801,-1.467,0.25,1.0,2.079,0,1.061
ko_content_264,의식이란 어떻게 해서 자기 의식이 될까?,ko,0.199,-1.467,0.25,0.667,2.079,0,1.728
ko_content_227,무엇을 하는 여자일까?,ko,-1.201,-1.467,0.167,0.667,1.609,0,-0.225
ko_polar_82,난 정말로 그 애매모호한 한계를 넘어선 마땅한 범법자가 되고 만 것일까?,ko,0.36,0.365,0.167,0.727,2.565,1,4.184
ko_polar_3,자녀를 위해서 젖은 앞치마로 반평생을 사시지 않았느냐?,ko,-0.374,-1.635,0.25,0.714,2.197,1,1.152
ko_polar_191,과연 영국에는 패션이 없는가?,ko,-0.04,-2.635,0.0,1.0,1.792,1,0.117
ko_polar_157,"그렇다면 다른 커다란 실체, 즉 생태계나 가이아에 대해서는 어떠한가?",ko,0.96,1.365,0.0,0.667,2.485,1,5.477
ko_polar_71,그대가 왕인 나에게 복종하기를 거부하는 것은 그대가 자기자신을 너무 과신하고 있기 때문이 아니겠는가?,ko,0.043,1.365,0.278,0.692,2.708,1,5.086
ko_polar_123,당신도 잘 알지 않는가?,ko,-0.707,-2.635,0.333,0.75,1.792,1,-0.467
ko_content_78,그러나 우리에게 뻬레스트로이카와 자유는 누가 주었는가?,ko,0.599,-1.467,0.667,0.5,2.079,0,2.378
ko_polar_177,그러나 이것은 사람이면 당연한 일 아닌가?,ko,0.56,-0.635,0.0,0.5,2.079,1,2.504
ko_content_198,"우주는 어디서 왔으며, 어디로 가고 있는 것일까?",ko,-0.035,-1.467,0.25,0.714,2.303,0,1.765
ko_content_27,"그래도 세상 사람들보다 어디가 나아도 조금은 낫다는 기독교인들 가운데도 사람 구실을 못하고 사는 사람이 많으니, 세상 사람들은 오죽 하겠습니까?",ko,0.299,2.533,0.389,0.842,3.091,0,7.154
ko_polar_45,종교에 삼위일체가 있고 우주 구성에도 삼계가 있는가 하면 불교에서는 삼세의 인연을 말하고 있지 않습니까?,ko,0.114,0.365,0.333,0.714,2.773,1,4.299
ko_polar_148,언젠가는 시간이 거꾸로 흘러 결과가 원인에 앞서 일어나는 일이 있지 않을까?,ko,0.46,0.365,0.667,0.727,2.565,1,4.784
ko_polar_51,헌법상 권한대행은 대통령 유고시 최고회의가 결정하는 것 아닌가?,ko,0.103,0.365,0.667,1.0,2.303,1,4.438
ko_content_211,어떻게 생물들이 산소의 농도를 21 퍼센트로 유지시키고 기온을 섭씨 20 도로 조절할 수 있겠는가?,ko,1.029,-0.467,0.833,0.714,2.773,0,4.882
ko_polar_159,항상성이 곧 가이아 모델에서 예측되는 논리적인 귀결일까?,ko,0.293,-0.635,0.278,1.0,2.197,1,3.133
ko_polar_75,저 한마디 말씀해도 되겠습니까?,ko,-0.374,-1.635,0.333,0.5,1.792,1,0.616
ko_content_17,우리가 돌보지 아니하면 누가 돌보겠습니까?,ko,-0.701,-1.467,0.333,0.4,1.946,0,0.511
ko_polar_140,그러면 임나에 대한 일본서기를 비롯한 많은 기록들은 모두 허구란 말인가?,ko,0.404,0.365,0.25,0.9,2.485,1,4.404
ko_polar_24,세계 각국이 간통죄를 없앤다고 우리마저 그래서 되겠습니까?,ko,-0.54,-0.635,0.333,0.857,2.197,1,2.212
ko_content_81,도대체 왜 고르비는 리슈꼬프와 빠블로프 등 매우 단견적인 인물들에 의해 경제정책을 입안하게 했는가?,ko,0.632,1.533,0.417,0.769,2.708,0,6.059
ko_content_140,그런데 이 여인이 존재라는 속성을 갖지 않는다면 어떻게 되겠습니까?,ko,-0.076,-1.467,0.208,0.667,2.398,0,1.73
ko_polar_100,그러면 러셀이 이 역설을 만들어낸 이유는 무얼까?,ko,0.126,0.365,0.333,0.714,2.197,1,3.735
ko_content_265,혹은 어떻게 해서 자신이 자기 의식임을 자각하게끔 될까?,ko,0.227,-1.467,0.222,0.625,2.303,0,1.91
ko_content_197,우주에 관해서 우리는 무엇을 알고 있으며 또 어떻게 그것을 알게 되었을까?,ko,0.799,-1.467,0.056,0.364,2.565,0,2.317
ko_polar_79,하나의 중국을 인정하기로 했는가?,ko,-1.04,-0.635,0.167,0.75,1.792,1,1.034
ko_polar_102,또는 '나' 라고 부를 수 있는 것이 과연 존재하는가?,ko,1.21,1.365,0.333,0.667,2.565,1,6.14
ko_polar_32,유럽에서는 민주주의 혁명의 시기에 사회주의를 수립하려는 수 많은 사회주의 운동 및 기도들이 있지 않았는가?,ko,0.729,2.365,0.333,0.857,2.773,1,7.057
ko_polar_156,그렇지만 이제 그 정의를 꼭 말해야만 한다면 나 스스로가 생명에 대한 정의를 내리려고 노력해야 하지 않을까?,ko,0.826,0.365,0.417,0.562,2.89,1,5.06
ko_content_125,그러면 이 두 게임에서 장종훈 선수의 타율은 얼마일까?,ko,0.227,-0.467,0.5,0.625,2.303,0,3.188
ko_content_209,도대체 어떻게 박테리아와 나무와 동물들이 적절한 환경 조건을 결정하기 위하여 회의를 개최할 수 있겠는가?,ko,1.106,0.533,0.389,0.714,2.773,0,5.515
ko_content_56,동물이 소년 소녀의 성장과 무슨 직접적인 관계가 있겠습니까?,ko,0.513,-0.467,0.0,0.75,2.303,0,3.099
ko_content_202,도대체 어떻게 우리들은 이처럼 자연스럽게 가이아의 한 부분으로 동화될 수 있을까?,ko,0.999,-1.467,1.0,0.636,2.565,0,3.733
ko_polar_146,"단지 이것만으로, 외세에 맞서 국가를 지키려 한 숭고한 민중 의지의 표상으로서 삼별초의 의의를 우리 2세들에게 가르칠 수 있겠는가?",ko,0.372,1.365,0.333,0.833,3.045,1,5.948
