unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,n_tokens,question_type,complexity_score
en_content_13,What is this Miramar?,en,-0.677,-1.199,0.0,0.0,1.792,0,-0.084
en_content_392,How are strangers supposed to know why YOU want to do that sort of job?,en,-0.63,2.801,3.0,0.458,2.833,0,8.462
en_content_192,How much money does the USA give NASA per year?,en,-0.566,-0.199,0.0,0.667,2.485,0,2.387
en_content_251,What are good places to eat brunch at? ?,en,-0.63,-1.199,1.0,0.5,2.398,0,2.069
en_content_145,What volatilities are you using to value the options - monthly volatilities or intra-day volatilities or a blend of the two (if blending please show me what formula you using to blend the two vols)?,en,0.353,1.801,1.333,0.444,3.664,0,7.595
en_content_352,"Your father never listens to me, what can I say?",en,-0.122,-1.199,0.0,0.5,2.565,0,1.744
en_content_46,how many ounces in a pint in ireland?,en,-0.344,-1.199,0.0,0.0,2.303,0,0.76
en_polar_323,Has the disaster affected the way other countries view the US?,en,-0.593,0.966,1.0,0.333,2.565,1,4.271
en_polar_497,3. Is there too much mineral in the water?,en,-0.318,-0.034,0.0,0.5,2.485,1,2.633
en_content_359,are there any sadists out there who share the same tastes as i do ?,en,-0.113,2.801,1.0,0.417,2.773,0,6.878
en_polar_96,That he didn’t show up for duty in Alabama?,en,0.14,-1.034,0.0,1.0,2.485,1,2.591
en_polar_278,Are we ready to execute?,en,-0.693,-1.034,1.0,0.167,1.946,1,1.386
en_content_184,And who are you?,en,-1.011,-2.199,0.0,0.0,1.792,0,-1.418
en_content_19,Who is artist Gunther Uecker;explain?,en,0.056,-1.199,0.0,0.0,2.197,0,1.054
en_content_148,Do we have someone who is watching this out there?,en,-0.677,0.801,1.0,0.417,2.485,0,4.026
en_polar_567,Have you had any knowledgement about pearl pigment.?,en,-0.479,-0.034,0.0,0.333,2.303,1,2.123
en_polar_228,"With regard to our annual review of this list of laws we need to comply with, do we not want to add the Canadian provinces new ""eligible swap participant"" equivalant rules?",en,0.807,3.966,1.5,0.417,3.584,1,10.274
en_content_203,When common sense takes a back seat to politics and legal mumbo jumbo what have we become?,en,0.344,1.801,1.0,0.5,2.944,0,6.589
en_polar_422,Please help with my cats bladder issue?,en,0.378,-0.034,0.0,0.333,2.303,1,2.98
en_polar_200,"Ben Taub hospital is located at 1504 Taub Loop, Houston, Texas, phone number: 713-793-2000.?",en,0.422,-0.034,0.0,0.667,2.996,1,4.051
en_polar_569,cos ill be going to baguio alone and i have tight?,en,0.17,-1.034,0.0,0.667,2.639,1,2.442
en_content_8,What's going on with the UBS weather position?,en,0.156,-1.199,0.0,0.5,2.398,0,1.855
en_polar_370,The Canadian Regenesis actress Mayko Nguyen has Japanese connection or is it her fake name?,en,0.449,-0.034,0.0,0.5,2.833,1,3.748
en_polar_173,Are either of you familiar with this project?,en,0.092,-0.034,0.0,0.0,2.303,1,2.361
en_content_37,what is a good slogan for an Argentinian restaurant?,en,-0.094,-0.199,0.0,0.0,2.398,0,2.105
en_content_276,"So my true question comes to this, how can I knock the rat out?",en,-0.036,-0.199,0.0,0.667,2.833,0,3.265
en_content_221,what is a kimberwick bit used for?,en,0.823,-1.199,0.0,0.5,2.197,0,2.321
en_content_39,Also how much do compact system cameras drop on boxing day?,en,0.256,-0.199,0.0,0.667,2.565,0,3.289
en_polar_147,Is that Microwave that you gave Dan really expensive?,en,0.682,-0.034,1.0,0.5,2.398,1,4.546
en_polar_110,Does this reappropriation lead to or originate from the same place?,en,-0.093,-1.034,0.0,0.5,2.565,1,1.938
en_content_228,What is the best way of doing it?,en,-0.63,-0.199,1.0,0.333,2.303,0,2.807
en_polar_204,Just wanted to know were we stand on the ETA and PA for Argentina?,en,-0.347,1.966,2.0,0.389,2.773,1,6.781
en_polar_463,Is there any tricks I could use?,en,-0.36,-0.034,1.0,0.25,2.197,1,3.053
en_polar_474,Did your vet take radiographs (x-rays)?,en,-0.193,-0.034,0.0,0.333,2.485,1,2.591
en_content_399,how are vietnam and Afghanistan alike?,en,0.656,-0.199,0.0,0.0,2.079,0,2.536
en_content_67,"""Can you name the general who is in charge of Pakistan?""",en,-0.444,0.801,1.0,0.333,2.708,0,4.398
en_content_25,"In the Episode ""So in Louvre Are We Two"", How many diffrent painting/scupltures are their and who are the artists?",en,0.037,0.801,0.0,0.667,3.296,0,4.801
en_content_177,What are you doing to the least of the people?,en,-0.344,-0.199,0.0,0.5,2.485,0,2.442
en_content_38,Which Compact System Camera Should I Get...?,en,-0.511,-0.199,0.0,0.333,2.303,0,1.926
en_content_132,Which do you prefer?,en,-0.344,-2.199,0.0,0.333,1.792,0,-0.418
en_polar_271,Is there anyone else in EGM that could participate?,en,-0.068,-0.034,1.0,0.25,2.398,1,3.546
en_polar_582,Was the iPhone the first Smart Phone?,en,0.64,-1.034,0.0,0.0,2.197,1,1.803
en_polar_159,it's did you watch your girl on tv last night?,en,0.007,-1.034,0.0,0.833,2.565,1,2.371
en_polar_310,Anyone know a release date?,en,-0.443,-1.034,0.0,0.333,1.946,1,0.802
en_polar_503,would You like going for *coffee* with him?,en,0.092,-0.034,1.0,0.333,2.485,1,3.876
en_polar_33,Could you run those additional post-id's?,en,0.64,-1.034,0.0,0.333,2.303,1,2.242
en_content_282,and why is the one a better pet?,en,1.228,-1.199,0.0,0.0,2.303,0,2.332
en_polar_389,my Tom cat will not eat meat just the juice in the can.?,en,-0.277,-0.034,0.0,0.667,2.708,1,3.064
en_content_59,Which airlines should I look into and when should I buy my ticket?,en,0.156,-0.199,0.0,0.583,2.708,0,3.248
en_content_18,how much does it cost to join world resorts international?,en,-0.566,-0.199,1.0,0.417,2.485,0,3.137
en_polar_80,you live in NZ and you eat McDonalds ice cream?,en,-0.093,0.966,0.0,0.5,2.565,1,3.938
en_polar_560,PS- Were you having phone system problems this morning?,en,0.057,-0.034,0.0,0.667,2.485,1,3.175
en_polar_393,NOOK Color or NOOK Tablet?,en,-0.443,-1.034,0.0,0.0,1.946,1,0.469
en_content_292,Does your budget limit you to how long you can stay in each place?,en,0.041,-0.199,1.0,0.583,2.773,0,4.198
en_polar_261,Are you selling burgers up and down the east coast?,en,0.251,0.966,0.0,0.5,2.485,1,4.202
en_polar_245,Can we have a meeting this week (maybe Thursday at 3:30) to discuss this?,en,-0.04,1.966,1.0,0.333,2.89,1,6.149
en_content_273,"If they ask how much I'm willing to pay, what is a good price range?",en,0.389,1.801,3.0,0.417,2.944,0,8.551
en_polar_589,air asia flight attendant?,en,-0.86,-1.034,0.0,0.0,1.792,1,-0.102
en_polar_366,Travelers guide - For the young and unknowledgeable?,en,-0.336,-0.034,0.0,0.0,2.398,1,2.028
en_content_176,"How can I say such an abomination, ask you?",en,-0.094,-0.199,1.0,0.417,2.485,0,3.609
en_content_30,So does anyone know what the difference is?,en,-0.487,-0.199,1.0,0.5,2.303,0,3.117
en_polar_612,Want a great burger?,en,-0.193,-1.034,0.0,0.167,1.792,1,0.732
en_content_171,"Where is the ""simple"" explanation of the transportation piece?",en,0.531,-0.199,0.0,0.0,2.565,0,2.897
en_content_74,So why even credit their claims?,en,-0.544,-1.199,0.0,0.667,2.079,0,1.003
en_polar_601,they will talk to me if i am mexican?,en,0.057,-1.034,1.0,0.5,2.398,1,2.921
en_polar_77,need help finding irish music?,en,-0.943,0.966,1.0,0.167,1.946,1,3.136
en_polar_364,"Canadian student visa, can I used for other schools?",en,-0.193,-0.034,0.0,0.333,2.485,1,2.591
en_polar_334,Would you recommend living in Limerick as a student?,en,-0.318,-0.034,1.0,0.333,2.398,1,3.379
en_content_258,Where in the world is Iguazu?,en,0.656,-1.199,0.0,0.0,2.079,0,1.536
en_content_92,Who has the 2000 tax return file for 969?,en,-0.219,-0.199,0.0,0.333,2.398,0,2.313
en_content_107,the deal number is 814014-why can't you see this?,en,-0.044,-1.199,0.0,0.667,2.639,0,2.063
en_content_106,Are whole offices (eg Tokyo) unreachable or is it only those who have home offices?,en,0.37,0.801,1.0,0.333,2.944,0,5.448
en_polar_454,"a degu, a rat, a mouse, a hamster or a guinea pig?",en,1.534,-1.034,0.0,0.0,2.833,1,3.333
