unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,lexical_density,n_tokens,question_type,complexity_score
ja_content_36,彼女の全エネルギーはどこから来ているのだろうか。もしくは、衝撃波を引き起こす力を以って打ちのめすことのできるあの声？,ja,0.717,1.61,1.0,0.464,3.466,0,7.257
ja_content_27,皆さんもインドアエンタメを楽しむ際のお供に、いかがですか?,ja,-0.179,1.61,1.0,0.6,2.89,0,5.921
ja_polar_51,すごくそういうところを引っかかる感じですか?,ja,-0.462,0.727,1.0,0.667,2.398,1,4.33
ja_polar_33,スポーツを頑張っている子供たちにランクをつけるような言動ができるのでしょうか?,ja,-0.434,2.727,1.0,0.474,3.045,1,6.812
ja_polar_41,もっと良く撮れた写真はなかったのか?,ja,-0.656,0.727,1.0,0.5,2.485,1,4.056
ja_polar_40,最高裁と大マスコミはネット表現の敵ですか?,ja,-0.484,-0.273,0.0,0.583,2.639,1,2.465
ja_polar_58,企業経営者の、そして企業人一人ひとりの意識改革ではないだろうか。,ja,0.255,-1.273,0.0,0.5,2.944,1,2.426
ja_polar_26,思わずつまんでみたくなるぷっくり出たおなか。,ja,0.01,-0.273,1.667,0.6,2.485,1,4.489
ja_polar_62,世界の最良の状態がもはや是認されていない時分に、彼らの聖職者たちは自身のマントに対して正しかったか？,ja,0.455,1.727,1.0,0.484,3.526,1,7.192
ja_content_24,霊はいつ肉体から離れていくのか?,ja,-0.06,-1.39,1.0,0.4,2.485,0,2.435
ja_polar_13,一点突破したものがあなたにあるか。,ja,0.188,-0.273,1.0,0.364,2.565,1,3.844
ja_content_35,また、オーストラリアの位置づけはどうなのか？,ja,-0.06,-0.39,0.0,0.4,2.565,0,2.515
ja_polar_15,直径30cmはあるかな?,ja,-0.712,-1.273,0.0,0.429,2.197,1,0.641
ja_polar_17,仕事では孤独、プライベートは意外と華やかということか。,ja,-0.045,0.727,1.0,0.538,2.773,1,4.993
ja_content_7,毎日のことですからなんとか解決していきたいと日々努力していらっしゃるのではないでしょうか。,ja,0.606,0.61,1.333,0.28,3.296,0,6.125
ja_polar_18,"宗教であるから,詐欺罪には当たらない?",ja,0.233,-0.273,1.0,0.5,2.565,1,4.025
ja_content_26,一連の事態をどのように理解すればいいのでしょうか。,ja,-0.24,-0.39,1.0,0.286,2.773,0,3.429
ja_polar_42,玉置氏は信者ではないのか?,ja,-0.087,-1.273,0.0,0.333,2.398,1,1.371
ja_polar_52,"“鶴”は統一教会教祖・文鮮明の妻,韓鶴子が由来か。",ja,0.86,0.727,0.0,0.667,2.996,1,5.25
ja_content_31,文書をどのようにファイルするか。,ja,-0.537,-1.39,1.0,0.375,2.303,0,1.751
ja_polar_14,こんなことできない?,ja,-1.212,-1.273,0.0,0.5,1.792,1,-0.193
ja_content_2,"飲んで頭痛とか出たら,どうしたらいいんですか?",ja,-0.163,-0.39,2.0,0.357,2.833,0,4.637
ja_content_32,彼らは誰ですか。,ja,-0.994,-1.39,0.0,0.167,2.079,0,-0.138
ja_content_22,"自分たちの会員であるホメオパシー信者の活動の中で人が一人亡くなっているのに,“HOMOEOPATHYYES”とは,日本ホメオパシー医学協会は,いったい,どういう神経をしているのでしょうか。",ja,0.709,3.61,1.0,0.575,3.871,0,9.765
ja_polar_3,そうですか。,ja,-0.712,-2.273,0.0,0.333,1.609,1,-1.043
ja_polar_30,そんな夏にぴったり?,ja,-0.878,-1.273,0.0,0.5,1.792,1,0.141
ja_polar_50,"抗議デモの継続を宣言した統一教会,日本でも韓国東亜日報の様に襲撃事件が起こる惧れはないのか?",ja,0.381,1.727,1.5,0.571,3.434,1,7.613
ja_content_11,このことに澤田氏はどう弁明するのだろうか?,ja,-0.394,-1.39,0.0,0.417,2.639,0,1.272
ja_polar_16,知恵とアイディアを結集させたこの「推し面メーカー」は、最初から公開予定だったのだろうか。,ja,0.312,1.727,1.0,0.409,3.296,1,6.744
ja_polar_63,またはそれは高価な基準または前払関税なのか？,ja,0.711,-0.273,0.0,0.286,2.773,1,3.497
ja_polar_34,同日開会の都議会で、石原氏は施政方針演説に臨むが、一歩踏み込むか。,ja,0.01,0.727,1.0,0.632,3.135,1,5.504
ja_polar_37,ではJBSには“統一教会”との認識はあったということか?,ja,0.913,0.727,1.0,0.412,3.045,1,6.097
ja_content_21,具体的には、どのようなことが行われるのか。,ja,0.023,-0.39,1.0,0.308,2.773,0,3.714
ja_polar_8,"“シャクブくん”や“池田小作”にいたっては,別のカルト団体のネタではないでしょうか。",ja,0.42,-0.273,1.0,0.45,3.296,1,4.893
ja_content_5,ぜひ立ち寄ってみてはいかがでしょうか?,ja,-0.144,-0.39,1.0,0.444,2.398,0,3.308
ja_content_3,また、目標についてどんなイメージをお持ちでしょうか。,ja,0.424,-0.39,1.0,0.417,2.708,0,4.159
ja_polar_60,お皿は全て重ねてたのですが、しばらくすると女性の従業員が来て、こちらのトロ刺身のお皿はお取りになられましたか?,ja,0.703,0.727,1.667,0.472,3.689,1,7.258
ja_polar_43,一番希望するのは?,ja,-0.462,-2.273,0.0,0.4,1.946,1,-0.389
ja_content_37,しかし、グレンダに素晴らしい技を披露させたとして、誰がそれを咎めることができるだろうか。,ja,0.924,0.61,2.0,0.304,3.296,0,7.134
ja_content_30,"いったい,“次世紀ファーム研究所”とは何なのか。",ja,0.879,-1.39,0.0,0.5,2.833,0,2.822
ja_polar_12,日本の高野山カフェや坊主バーは大丈夫でしょうか。,ja,-0.484,0.727,0.0,0.583,2.639,1,3.465
ja_polar_22,今後もこの教団に所属していたいですか?,ja,0.425,-1.273,1.0,0.333,2.639,1,3.124
ja_polar_1,疲労回復では他に譲るか?,ja,-0.355,-1.273,0.0,0.5,2.303,1,1.175
ja_content_25,"どういう人のどういう夢かはさておき,夢の中に出てくる寺社って,こんな感じなんじゃないだろうか?",ja,-0.009,1.61,1.0,0.481,3.434,0,6.516
ja_polar_53,陳述書に“現在も通っている”と書いてあるが?,ja,0.372,-0.273,1.0,0.538,2.833,1,4.47
ja_polar_46,横浜市近辺で英会話を習いたいという人にはかなりいいのではないでしょうか?,ja,0.026,0.727,1.0,0.455,3.178,1,5.386
ja_polar_21,それで生き方、変わりますか?,ja,-0.212,-1.273,1.0,0.429,2.303,1,2.247
ja_polar_61,その時からのだから?,ja,-0.412,-1.273,0.0,0.167,2.079,1,0.561
ja_polar_32,他だとkawara cafeくらいでしょうか?,ja,-0.212,-1.273,1.0,0.375,2.303,1,2.193
ja_content_0,犯人は一体誰なのか?,ja,-0.56,-1.39,0.0,0.286,2.197,0,0.533
ja_content_1,どうするか?,ja,-1.394,-2.39,0.0,0.667,1.609,0,-1.508
ja_polar_0,そんなことで許されるのでしょうか?,ja,-0.497,-1.273,0.0,0.25,2.303,1,0.783
ja_content_6,これがどれだけすごいことなのか。,ja,-0.519,-0.39,0.0,0.222,2.398,0,1.711
ja_content_20,削除しないのはなぜだろう?,ja,0.273,-1.39,1.0,0.286,2.197,0,2.366
ja_polar_59,って言ってる年齢不詳?,ja,-0.712,-1.273,1.0,0.6,1.946,1,1.561
ja_content_38,警官は私に作者Günter de Bruynを知っているか？同業者なのか？と、極めて言葉少なに質問した。,ja,1.731,0.61,1.5,0.48,3.401,0,7.722
ja_content_23,じゃあ次はどうなるのか?,ja,-0.394,-1.39,0.0,0.429,2.197,0,0.842
ja_polar_11,天ざるではちょっと多いかな?,ja,-0.497,-1.273,0.0,0.5,2.303,1,1.033
ja_polar_47,でも、リニューアルしたゲストハウス風のロビー?,ja,0.913,-1.273,1.0,0.333,2.485,1,3.458
ja_polar_6,自分たちが所属する組織の構造や社会的布置を知ることができるのではないでしょうか。,ja,0.243,2.727,1.0,0.391,3.219,1,7.58
ja_polar_66,労働者たちは、机の上に宗教関係の物を置くことが許容されているか？,ja,0.312,1.727,1.0,0.545,3.219,1,6.803
ja_content_29,そのモサは今何をしているか。,ja,-0.616,-1.39,1.0,0.4,2.485,0,1.879
ja_content_18,"信者の人権を守るために身体の自由をどの程度侵してもやむを得ないと言えるのか,という議論ではないでしょうか。",ja,0.058,2.61,2.5,0.375,3.555,0,9.098
ja_polar_23,調達先はUK拠点のDFJ EspritとフランスのSofinnovaだとか。,ja,-0.212,-0.273,0.0,0.533,2.833,1,2.881
ja_content_12,ではどのような行動によって「細かい男」だと思われるのでしょうか。,ja,0.783,-0.39,1.0,0.333,3.091,0,4.817
ja_polar_10,"では,霊芝は免疫システムの病気であるリューマチにもよいのでしょうか?",ja,0.726,0.727,1.0,0.412,2.996,1,5.861
ja_polar_39,値段の安さも含め、この周辺では一番では無いでしょうか。,ja,0.122,0.727,1.0,0.312,2.944,1,5.105
ja_polar_5,ホームページもキレイな感じで女性向けなのかな?,ja,-0.212,-0.273,0.0,0.462,2.708,1,2.685
ja_content_40,党内のどこに歴史的正当性があるのだろうか？,ja,0.19,-0.39,0.0,0.385,2.708,0,2.893
ja_polar_29,関西ではスタンダードな部類の味ではないでしょうか。,ja,0.205,-0.273,0.0,0.308,2.708,1,2.948
ja_polar_49,地区予選で敗者復活戦に回った雪辱を果たせるか。,ja,-0.462,0.727,1.0,0.615,2.708,1,4.588
ja_content_28,中日の次期監督に決まっている高木守道氏からラブコールを送られている福留に、巨人も再び手を伸ばすことになるかどうか。,ja,-0.175,4.61,1.0,0.606,3.584,0,9.625
ja_content_13,いったいどんな話になったのでしょうか。,ja,-0.394,-1.39,0.0,0.333,2.398,0,0.947
ja_polar_48,これでも関係がないと言えるのか?,ja,-0.101,-0.273,0.0,0.3,2.485,1,2.411
ja_content_15,「12星座別キーワード」では、あなたがどんな人か?,ja,0.243,-1.39,0.0,0.417,2.833,0,2.103
ja_polar_45,本気で譲ってほしいという人はいるのかしらん?,ja,-0.394,0.727,1.0,0.417,2.639,1,4.389
ja_polar_19,私を犯罪の構成要件を満たす刑法犯として告発するために110番通報したんじゃなかったのか?,ja,0.603,2.727,1.0,0.321,3.401,1,8.052
ja_polar_2,"貴市および貴財団では,本申入にかかる事実が判っても,今後もAPTFによる使用を許可し続けるのですか。",ja,0.681,1.727,1.0,0.517,3.497,1,7.422
ja_polar_55,"まさか松田氏は,男性が倒れる前から消防に通報していたとでもいうつもりだったのでしょうか。",ja,1.748,2.727,1.333,0.423,3.367,1,9.598
