Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_INTJ	upos_dist_NOUN	upos_dist_NUM	upos_dist_PART	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_VERB	lexical_density	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_case	dep_dist_cc	dep_dist_ccomp	dep_dist_compound	dep_dist_conj	dep_dist_cop	dep_dist_csubj	dep_dist_dep	dep_dist_det	dep_dist_discourse	dep_dist_dislocated	dep_dist_fixed	dep_dist_flat	dep_dist_iobj	dep_dist_mark	dep_dist_nmod	dep_dist_nsubj	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_punct	dep_dist_root	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2
126_1.conllu	1	12	12.0	3.5	0	0	16.666666666666668	0	0	0	0	41.666666666666664	0	0	0	8.333333333333334	16.666666666666668	8.333333333333334	8.333333333333334	0.9	1.0	100.0	3.0	0	0	0	100.0	0	0	0	4.0	12.0	7.0	2.111111111111111	7	0	0	100.0	0.0	100.0	0.0	0	8.333333333333334	8.333333333333334	0	0	0	0	0	8.333333333333334	16.666666666666668	0	0	0	0	0	0	8.333333333333334	0	0	0	0	8.333333333333334	8.333333333333334	0	8.333333333333334	0	16.666666666666668	8.333333333333334	0	100.0	0.0	0	0	0	0	0
246_1.conllu	1	5	5.0	3.5	0	0	20.0	0	0	0	0	20.0	0	0	0	0	20.0	0	40.0	1.0	2.0	100.0	1.0	0	100.0	0	0	0	0	0	3.0	2.5	1.0	1.0	1	0	0	100.0	0.0	0	0	20.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0	20.0	20.0	20.0	0	50.0	50.0	0.0	100.0	1.0	100.0	0
20_1.conllu	1	4	4.0	4.0	25.0	0	25.0	0	0	0	0	25.0	0	0	0	0	25.0	0	0	1.0	0.0	0.0	0	0	0	0	0	0	0	0	1.0	0	2.0	1.5	2	0	0	0	0	100.0	0.0	0	25.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0	0	0	0	25.0	25.0	0	0	0	0	0	0	0	0
7_1.conllu	1	8	8.0	2.857142857142857	0	0	12.5	12.5	0	0	0	25.0	0	0	0	12.5	12.5	0	25.0	0.8571428571428571	2.0	100.0	1.5	0	50.0	50.0	0	0	0	0	4.0	4.0	2.0	1.3333333333333333	2	0	0	0	0	100.0	0.0	12.5	12.5	0	0	0	12.5	0	0	0	12.5	0	0	0	0	0	0	12.5	0	0	0	0	0	12.5	0	0	0	12.5	12.5	0	50.0	50.0	0.0	100.0	1.0	100.0	0
193_1.conllu	1	8	8.0	3.0	37.5	0	0	0	12.5	0	0	12.5	0	0	0	0	12.5	0	25.0	0.8571428571428571	2.0	100.0	1.0	50.0	0	50.0	0	0	0	0	2.0	4.0	5.0	2.0	5	0	0	0	0	0	0	0	0	0	50.0	0	0	0	0	0	0	12.5	0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	12.5	12.5	0	100.0	0.0	0	0	0	0	0
147_1.conllu	1	15	15.0	2.4285714285714284	13.333333333333334	0	13.333333333333334	6.666666666666667	0	0	0	26.666666666666668	0	0	0	0	6.666666666666667	6.666666666666667	26.666666666666668	0.8571428571428571	4.0	100.0	1.0	50.0	25.0	0	25.0	0	0	0	5.0	3.75	8.0	2.1538461538461537	8	0	0	0	0	100.0	0.0	6.666666666666667	6.666666666666667	6.666666666666667	6.666666666666667	0	20.0	0	0	0	0	13.333333333333334	0	0	0	0	0	0	13.333333333333334	0	0	0	0	13.333333333333334	0	0	0	6.666666666666667	6.666666666666667	0	50.0	50.0	100.0	0.0	1.0	100.0	0
198_1.conllu	1	7	7.0	3.75	14.285714285714286	0	0	0	0	0	0	28.571428571428573	0	0	14.285714285714286	0	42.857142857142854	0	0	0.75	0.0	0.0	0	0	0	0	0	0	0	0	2.0	0	2.0	1.3333333333333333	2	0	0	0	0	100.0	0.0	0	0	0	0	0	0	0	0	0	14.285714285714286	0	0	14.285714285714286	0	0	0	14.285714285714286	0	0	0	0	0	0	0	0	0	42.857142857142854	14.285714285714286	0	0	0	0	0	0	0	0
236_1.conllu	1	8	8.0	4.0	0	0	12.5	0	0	0	0	25.0	0	0	0	12.5	12.5	0	37.5	1.0	3.0	100.0	1.0	33.333333333333336	33.333333333333336	33.333333333333336	0	0	0	0	4.0	2.6666666666666665	2.0	1.3333333333333333	2	0	0	100.0	0.0	100.0	0.0	25.0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	12.5	0	12.5	0	12.5	12.5	0	33.333333333333336	66.66666666666667	0.0	100.0	1.0	100.0	0
38_1.conllu	1	18	18.0	2.9411764705882355	11.11111111111111	0	16.666666666666668	11.11111111111111	11.11111111111111	0	0	22.22222222222222	0	0	5.555555555555555	0	5.555555555555555	5.555555555555555	11.11111111111111	0.6470588235294118	2.0	100.0	3.0	0	50.0	0	0	0	50.0	0	5.0	9.0	15.0	3.75	15	0	0	100.0	0.0	100.0	0.0	5.555555555555555	5.555555555555555	11.11111111111111	11.11111111111111	0	11.11111111111111	0	0	0	5.555555555555555	11.11111111111111	0	0	0	0	0	5.555555555555555	0	0	0	0	0	5.555555555555555	0	5.555555555555555	5.555555555555555	5.555555555555555	5.555555555555555	5.555555555555555	100.0	0.0	0	0	0	0	0
40_1.conllu	1	5	5.0	3.0	0	0	20.0	0	0	0	0	0	0	0	20.0	0	20.0	0	40.0	0.75	2.0	100.0	1.5	0	50.0	50.0	0	0	0	0	2.0	2.5	2.0	1.3333333333333333	2	0	0	0	0	100.0	0.0	0	0	20.0	0	0	0	0	0	20.0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0	0	0	0	20.0	20.0	0	50.0	50.0	0.0	100.0	1.0	100.0	0
184_1.conllu	1	13	13.0	3.5	7.6923076923076925	0	15.384615384615385	0	7.6923076923076925	0	0	38.46153846153846	15.384615384615385	0	0	0	7.6923076923076925	0	7.6923076923076925	0.75	1.0	100.0	4.0	0	0	0	0	100.0	0	0	5.0	13.0	9.0	2.5454545454545454	9	0	0	100.0	0.0	0	0	0	15.384615384615385	0	0	0	7.6923076923076925	0	7.6923076923076925	0	15.384615384615385	0	0	0	0	0	0	0	7.6923076923076925	0	0	0	7.6923076923076925	0	15.384615384615385	7.6923076923076925	0	7.6923076923076925	7.6923076923076925	0	100.0	0.0	0	0	0	0	0
175_1.conllu	1	7	7.0	4.0	0	0	28.571428571428573	14.285714285714286	0	0	0	0	0	0	14.285714285714286	14.285714285714286	14.285714285714286	0	14.285714285714286	0.6666666666666666	1.0	100.0	3.0	0	0	0	100.0	0	0	0	2.0	7.0	5.0	2.6	5	0	0	0	0	100.0	0.0	0	14.285714285714286	14.285714285714286	0	0	0	0	0	14.285714285714286	0	0	0	0	0	0	0	14.285714285714286	0	0	0	0	0	14.285714285714286	0	0	0	14.285714285714286	14.285714285714286	0	100.0	0.0	0	0	0	0	0
241_1.conllu	1	9	9.0	3.0	0	0	0	11.11111111111111	0	0	0	33.333333333333336	0	0	0	0	11.11111111111111	11.11111111111111	33.333333333333336	0.75	3.0	100.0	0.0	100.0	0	0	0	0	0	0	3.0	3.0	4.0	1.5714285714285714	4	0	0	0	0	100.0	0.0	0	0	0	22.22222222222222	0	11.11111111111111	0	0	11.11111111111111	0	0	0	0	11.11111111111111	0	0	0	0	0	0	0	11.11111111111111	11.11111111111111	0	0	0	11.11111111111111	11.11111111111111	0	50.0	50.0	100.0	0.0	1.0	100.0	0
39_1.conllu	1	4	4.0	3.3333333333333335	0	0	25.0	0	0	0	0	0	0	0	0	0	25.0	25.0	25.0	0.6666666666666666	1.0	100.0	2.0	0	0	100.0	0	0	0	0	1.0	4.0	2.0	1.5	2	0	0	0	0	0	0	0	0	25.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0	25.0	25.0	100.0	0.0	0	0	0	0	0
35_1.conllu	1	14	14.0	3.0	0	0	0	7.142857142857143	14.285714285714286	0	0	28.571428571428573	0	0	7.142857142857143	0	7.142857142857143	14.285714285714286	21.428571428571427	0.5384615384615384	3.0	100.0	1.3333333333333333	0	66.66666666666667	33.333333333333336	0	0	0	0	9.0	4.666666666666667	3.0	1.5833333333333333	3	0	0	100.0	0.0	100.0	0.0	7.142857142857143	0	0	0	0	7.142857142857143	0	0	7.142857142857143	7.142857142857143	14.285714285714286	0	0	0	0	0	0	0	0	0	0	14.285714285714286	7.142857142857143	0	14.285714285714286	0	7.142857142857143	7.142857142857143	7.142857142857143	50.0	50.0	0.0	100.0	1.0	100.0	0
57_1.conllu	1	4	4.0	3.0	25.0	0	0	0	0	0	0	50.0	0	0	0	0	25.0	0	0	1.0	0.0	0.0	0	0	0	0	0	0	0	0	1.0	0	2.0	1.5	2	0	0	0	0	100.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0	0	0	0	0	0	25.0	0	0	0	25.0	25.0	0	0	0	0	0	0	0	0
111_1.conllu	1	9	9.0	3.75	0	0	11.11111111111111	0	22.22222222222222	0	0	22.22222222222222	0	0	0	11.11111111111111	11.11111111111111	0	22.22222222222222	0.75	2.0	100.0	2.0	50.0	0	0	0	50.0	0	0	2.0	4.5	6.0	2.7142857142857144	6	0	0	100.0	0.0	0	0	0	11.11111111111111	0	0	0	11.11111111111111	0	11.11111111111111	0	0	11.11111111111111	0	0	0	0	0	11.11111111111111	0	0	0	0	11.11111111111111	0	0	11.11111111111111	0	11.11111111111111	11.11111111111111	0	50.0	50.0	100.0	0.0	1.0	100.0	0
144_1.conllu	1	12	12.0	2.5454545454545454	8.333333333333334	0	0	0	8.333333333333334	0	0	41.666666666666664	16.666666666666668	0	0	0	8.333333333333334	8.333333333333334	8.333333333333334	0.6363636363636364	1.0	100.0	2.0	0	0	100.0	0	0	0	0	5.0	12.0	4.0	1.9	4	0	0	100.0	0.0	100.0	0.0	0	0	0	8.333333333333334	0	0	0	0	8.333333333333334	16.666666666666668	8.333333333333334	0	0	0	0	0	0	0	0	0	0	8.333333333333334	8.333333333333334	16.666666666666668	8.333333333333334	0	8.333333333333334	8.333333333333334	0	100.0	0.0	0	0	0	0	0
15_1.conllu	1	8	8.0	3.0	0	0	12.5	0	0	0	0	25.0	0	0	12.5	0	12.5	12.5	25.0	0.7142857142857143	2.0	100.0	1.5	0	50.0	50.0	0	0	0	0	3.0	4.0	3.0	1.5	3	0	0	100.0	0.0	0	0	0	0	0	0	0	12.5	0	0	12.5	12.5	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	12.5	12.5	12.5	12.5	0	50.0	50.0	0.0	100.0	1.0	100.0	0
131_1.conllu	1	5	5.0	3.0	0	0	20.0	0	0	0	0	40.0	0	0	0	0	20.0	0	20.0	1.0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	1.0	5.0	3.0	2.0	3	0	0	0	0	100.0	0.0	0	0	20.0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0	0	0	0	0	0	20.0	0	0	0	20.0	20.0	0	100.0	0.0	0	0	0	0	0
166_1.conllu	1	15	15.0	2.9285714285714284	13.333333333333334	0	13.333333333333334	0	0	0	0	40.0	0	0	0	0	6.666666666666667	0	26.666666666666668	1.0	4.0	100.0	1.5	50.0	0	25.0	0	25.0	0	0	5.0	3.75	10.0	2.4615384615384617	10	0	0	100.0	0.0	100.0	0.0	6.666666666666667	6.666666666666667	6.666666666666667	0	0	20.0	0	0	0	0	6.666666666666667	0	0	0	0	0	0	13.333333333333334	0	0	0	13.333333333333334	6.666666666666667	0	6.666666666666667	0	6.666666666666667	6.666666666666667	0	33.333333333333336	66.66666666666667	50.0	50.0	1.0	100.0	0
9_1.conllu	1	7	7.0	2.0	14.285714285714286	0	0	0	0	14.285714285714286	0	28.571428571428573	0	0	0	0	14.285714285714286	0	28.571428571428573	0.8333333333333334	2.0	100.0	0.5	50.0	50.0	0	0	0	0	0	2.0	3.5	3.0	1.4	3	0	0	100.0	0.0	0	0	0	0	0	0	0	28.571428571428573	0	0	0	0	0	0	0	0	14.285714285714286	0	0	14.285714285714286	0	0	0	0	0	0	14.285714285714286	0	14.285714285714286	14.285714285714286	0	50.0	50.0	100.0	0.0	1.0	100.0	0
99_1.conllu	1	9	9.0	3.375	0	0	22.22222222222222	0	0	0	0	22.22222222222222	0	0	0	22.22222222222222	11.11111111111111	0	22.22222222222222	1.0	2.0	100.0	1.5	50.0	0	0	50.0	0	0	0	2.0	4.5	4.0	1.8571428571428572	4	0	0	0	0	0	0	0	11.11111111111111	11.11111111111111	0	0	11.11111111111111	0	0	0	22.22222222222222	0	0	0	0	0	0	11.11111111111111	0	0	0	0	11.11111111111111	0	0	0	0	11.11111111111111	11.11111111111111	0	50.0	50.0	100.0	0.0	1.0	100.0	0
261_1.conllu	1	11	11.0	3.4	0	0	9.090909090909092	0	9.090909090909092	0	0	27.272727272727273	0	0	9.090909090909092	0	9.090909090909092	9.090909090909092	27.272727272727273	0.7	3.0	0.0	0.6666666666666666	66.66666666666667	0	33.333333333333336	0	0	0	0	4.0	3.6666666666666665	6.0	2.2222222222222223	6	0	0	0	0	100.0	0.0	0	9.090909090909092	0	18.181818181818183	0	0	0	0	9.090909090909092	9.090909090909092	9.090909090909092	0	0	0	0	0	0	0	0	0	0	9.090909090909092	18.181818181818183	0	0	0	9.090909090909092	9.090909090909092	0	0	0	0	0	0	0	0
16_1.conllu	1	7	7.0	3.0	28.571428571428573	0	14.285714285714286	0	0	0	0	28.571428571428573	0	0	0	0	14.285714285714286	14.285714285714286	0	0.8333333333333334	0.0	0.0	0	0	0	0	0	0	0	0	2.0	0	3.0	1.6	3	0	0	100.0	0.0	100.0	0.0	0	0	0	14.285714285714286	0	0	0	0	0	0	14.285714285714286	0	0	0	0	0	0	0	0	0	0	0	14.285714285714286	0	14.285714285714286	14.285714285714286	14.285714285714286	14.285714285714286	0	0	0	0	0	0	0	0
86_1.conllu	1	17	17.0	3.7142857142857144	0	5.882352941176471	17.647058823529413	0	0	0	0	17.647058823529413	0	0	5.882352941176471	5.882352941176471	17.647058823529413	5.882352941176471	23.529411764705884	0.7857142857142857	4.0	100.0	2.5	0	25.0	50.0	0	0	25.0	0	5.0	4.25	12.0	3.769230769230769	12	0	0	100.0	0.0	100.0	0.0	5.882352941176471	5.882352941176471	11.764705882352942	0	0	5.882352941176471	5.882352941176471	0	0	0	11.764705882352942	0	0	0	0	0	5.882352941176471	0	0	0	0	0	11.764705882352942	0	5.882352941176471	0	17.647058823529413	5.882352941176471	5.882352941176471	33.333333333333336	66.66666666666667	0.0	100.0	1.0	100.0	0
46_1.conllu	1	20	20.0	3.263157894736842	0	0	10.0	5.0	10.0	0	0	55.0	0	0	0	0	5.0	0	15.0	0.8421052631578947	3.0	100.0	2.0	33.333333333333336	0	33.333333333333336	0	33.333333333333336	0	0	6.0	6.666666666666667	17.0	2.9444444444444446	17	0	0	100.0	0.0	100.0	0.0	5.0	10.0	0	15.0	0	5.0	0	10.0	0	10.0	5.0	0	0	0	0	0	5.0	0	0	0	0	15.0	5.0	0	5.0	0	5.0	5.0	0	50.0	50.0	0.0	100.0	1.0	100.0	0
52_1.conllu	1	15	15.0	3.2142857142857144	13.333333333333334	0	6.666666666666667	6.666666666666667	6.666666666666667	0	0	46.666666666666664	0	0	0	6.666666666666667	6.666666666666667	0	6.666666666666667	0.8571428571428571	1.0	0.0	2.0	0	0	100.0	0	0	0	0	6.0	15.0	12.0	2.5384615384615383	12	0	0	100.0	0.0	100.0	0.0	6.666666666666667	0	0	0	0	13.333333333333334	0	6.666666666666667	0	13.333333333333334	6.666666666666667	0	0	0	0	0	6.666666666666667	6.666666666666667	0	0	0	6.666666666666667	6.666666666666667	0	6.666666666666667	6.666666666666667	6.666666666666667	6.666666666666667	0	0.0	100.0	0.0	100.0	1.0	100.0	0
8_1.conllu	1	8	8.0	3.0	12.5	0	0	0	0	0	0	37.5	0	0	0	25.0	12.5	0	12.5	1.0	1.0	100.0	2.0	0	0	100.0	0	0	0	0	2.0	8.0	3.0	1.3333333333333333	3	0	0	100.0	0.0	0	0	0	0	0	0	0	12.5	0	0	0	25.0	0	0	0	0	0	0	12.5	12.5	0	0	0	0	0	0	12.5	0	12.5	12.5	0	100.0	0.0	0	0	0	0	0
185_1.conllu	1	8	8.0	3.0	0	0	25.0	12.5	0	0	0	0	0	0	12.5	0	12.5	12.5	25.0	0.5714285714285714	2.0	100.0	2.0	0	50.0	0	50.0	0	0	0	2.0	4.0	3.0	1.6666666666666667	3	0	0	100.0	0.0	0	0	0	0	12.5	0	0	25.0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	12.5	12.5	12.5	0	50.0	50.0	0.0	100.0	1.0	100.0	0
94_1.conllu	1	13	13.0	3.090909090909091	0	0	15.384615384615385	7.6923076923076925	0	0	0	23.076923076923077	0	0	7.6923076923076925	0	15.384615384615385	0	30.76923076923077	0.8181818181818182	4.0	100.0	1.75	25.0	25.0	25.0	0	25.0	0	0	4.0	3.25	10.0	2.9	10	0	0	0	0	100.0	0.0	7.6923076923076925	0	15.384615384615385	7.6923076923076925	0	7.6923076923076925	0	0	7.6923076923076925	0	0	0	0	0	0	0	7.6923076923076925	0	0	0	0	7.6923076923076925	7.6923076923076925	0	0	7.6923076923076925	15.384615384615385	7.6923076923076925	0	33.333333333333336	66.66666666666667	0.0	100.0	1.0	100.0	0
51_1.conllu	1	16	16.0	3.1333333333333333	6.25	0	12.5	0	12.5	0	0	37.5	0	0	0	0	6.25	6.25	18.75	0.8	3.0	100.0	1.6666666666666667	33.333333333333336	0	33.333333333333336	33.333333333333336	0	0	0	5.0	5.333333333333333	12.0	2.642857142857143	12	0	0	100.0	0.0	100.0	0.0	6.25	6.25	6.25	6.25	0	6.25	0	6.25	6.25	12.5	6.25	0	0	0	0	0	0	6.25	0	0	0	6.25	6.25	0	6.25	0	6.25	6.25	0	50.0	50.0	0.0	100.0	1.0	100.0	0
136_1.conllu	1	4	4.0	2.6666666666666665	0	0	0	0	0	0	0	25.0	0	0	25.0	0	25.0	0	25.0	0.6666666666666666	1.0	100.0	1.0	0	100.0	0	0	0	0	0	2.0	4.0	1.0	1.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0	0	0	0	0	0	0	25.0	0	0	0	0	0	0	0	0	0	25.0	25.0	0	100.0	0.0	0	0	0	0	0
211_1.conllu	1	10	10.0	3.4444444444444446	10.0	0	20.0	0	0	0	0	30.0	0	0	0	10.0	10.0	0	20.0	1.0	2.0	0.0	1.5	50.0	0	0	50.0	0	0	0	4.0	5.0	3.0	1.75	3	0	0	100.0	0.0	100.0	0.0	10.0	0	10.0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	10.0	0	0	0	0	0	20.0	0	10.0	10.0	10.0	10.0	0	0.0	100.0	0.0	100.0	1.0	100.0	0
215_1.conllu	1	14	14.0	3.076923076923077	7.142857142857143	0	21.428571428571427	0	7.142857142857143	0	0	21.428571428571427	0	0	0	7.142857142857143	7.142857142857143	7.142857142857143	21.428571428571427	0.8461538461538461	3.0	100.0	2.0	33.333333333333336	0	0	66.66666666666667	0	0	0	5.0	4.666666666666667	11.0	2.5833333333333335	11	0	0	100.0	0.0	0	0	7.142857142857143	21.428571428571427	0	7.142857142857143	0	7.142857142857143	0	0	0	7.142857142857143	7.142857142857143	0	0	0	0	0	0	0	0	0	0	7.142857142857143	0	0	14.285714285714286	0	7.142857142857143	7.142857142857143	7.142857142857143	33.333333333333336	66.66666666666667	50.0	50.0	1.0	100.0	0
