unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type
fi_polar_73,"Eikö se, että tavoitteenani on olla onnellinen, ole kunnianhimoista?",fi,polar,1.556,1.293,2.0,0.0,0.333,2.565,4.215,1.129,1
fi_polar_74,"Eikö tahdossa löytää itse se tapa, jolla eläminen tekee kaikkein onnellisimmaksi, ole kunnianhimoa kerrakseen?",fi,polar,2.162,2.293,1.0,0.4,0.714,2.89,4.215,1.129,1
fi_polar_75,"Mistä tiedetään, paljonko työtä tietty kurssi on opiskelijalta vaatinut?",fi,polar,0.681,0.293,1.0,0.5,0.778,2.485,3.932,0.129,1
fi_polar_76,Tai haluaisitko kokea millaista oli neuvostoajan pioneerileirillä Tallinnassa?,fi,polar,-0.783,1.293,2.0,0.3,0.75,2.303,4.215,1.129,1
fi_polar_77,"”Kuulostaa kivalta, mutta eikö tuo ole aika kallista?”",fi,polar,1.36,-0.707,0.0,0.4,0.5,2.565,0.0,0.129,1
fi_polar_78,Onko sinun koskaan tarvinnut nettikeskustelussa esittää olevasi kännissä?,fi,polar,-0.498,0.293,2.0,0.4,0.75,2.303,4.215,1.129,1
fi_polar_79,Vai oletko peräti absolutisti?,fi,polar,-0.069,-1.707,0.0,0.0,0.5,1.792,0.0,-0.871,1
fi_polar_80,Onko tosiaan näin?,fi,polar,-0.569,-1.707,0.0,0.0,0.667,1.609,0.0,-0.871,1
fi_polar_81,Onko lainan ottamiseen varaa?,fi,polar,-0.402,0.293,0.0,0.2,1.0,1.792,0.0,-0.871,1
fi_polar_82,Entä: onko kookkaiden lainojen ottaminen epävakaina talousaikoina järkevää?,fi,polar,1.074,0.293,0.0,0.0,0.875,2.398,0.0,-0.871,1
fi_polar_83,"Siinä keskustelussa ydinkysymys ei ole gallup-henkinen ""kannatatko maahanmuuton lisäämistä?”",fi,polar,0.931,-0.707,0.0,1.0,0.667,2.565,0.0,-0.871,1
fi_polar_84,"− Kokevatko kreikkalaiset, että isot EU-valtiot tulevat ja pakottavat heidät tekemään muutoksia?",fi,polar,-0.169,1.293,1.0,0.45,0.727,2.708,4.215,2.129,1
fi_polar_85,Onko lääkekehityksellä tulevaisuutta Suomessa? -symposiumin ensimmäisen puheenvuoron käytti emeritusprofessori Risto Santti.,fi,polar,-0.569,2.293,1.0,0.4,0.909,2.639,3.932,0.129,1
fi_polar_86,Söivätkö ritarit muuta kuin lihaa?,fi,polar,-0.569,0.293,0.0,0.4,0.6,1.946,0.0,-0.871,1
fi_polar_87,Tekivätkö prinsessat mitään kotitöitä?,fi,polar,-0.402,-0.707,0.0,0.4,0.75,1.792,0.0,-0.871,1
fi_polar_88,"Siirto 2...Lc5 sisältää myös avausansan aloittelijoille: Jos valkea jatkaa fxe5?, musta pelaa 3...Dh4+, jolloin valkea menettää joko torninsa (4.g3 Dxe4+) tai joutuu matitetuksi (4.Ke2 Dxe4#).",fi,polar,0.306,2.293,1.0,0.633,0.6,3.526,4.331,4.129,1
fi_polar_89,Eivätkö olekin kivat?,fi,polar,-0.569,-1.707,0.0,0.0,0.333,1.609,0.0,-0.871,1
fi_polar_90,"Onko joku jo muistanut kertoa, että isä kuolee?",fi,polar,-0.069,0.293,2.0,0.4,0.625,2.398,4.215,1.129,1
fi_polar_91,"Kerroinko jo, että isäsi kuolee?",fi,polar,0.181,-0.707,1.0,0.4,0.8,2.079,3.932,0.129,1
fi_polar_92,"Millaiseksi siitä tulee, kun kaikki hokevat koko ajan, että isä kuolee kohta heti huomenna tänään koko ajan aina?",fi,polar,0.343,2.293,2.0,0.667,0.778,3.091,4.215,1.129,1
fi_polar_93,Onko kaikki se odottaminen sitten tarpeellista?,fi,polar,0.131,-0.707,0.0,0.0,0.5,2.079,0.0,-0.871,1
fi_polar_94,Onko jokaisen ihmisen välttämätöntä muistuttaa asiasta aina sopivan tai sopimattoman tilanteen tullen?,fi,polar,0.386,3.293,2.0,0.5,0.75,2.639,4.215,1.129,1
fi_polar_95,"Onko se toistettava päivittäin, viikoittain, kuukausittain?",fi,polar,-0.069,-0.707,0.0,0.6,0.667,2.303,0.0,-0.871,1
fi_polar_96,Onko ihmisille mahdotonta keskustella isästäni ilman kuolinpäivän arvailuja?,fi,polar,-0.355,0.293,1.0,0.4,0.75,2.303,3.932,0.129,1
fi_polar_97,Aiheuttaako lämpenevä toimistobiosfääri toimistokuukkelin katoamisen?,fi,polar,-0.069,-0.707,1.0,0.2,1.0,1.946,3.932,0.129,1
fi_polar_98,"Muistatko, kun Juuson tarhasta karkasi järvelle 2 000 ankkaa?",fi,polar,0.074,0.293,1.0,0.5,0.75,2.398,3.932,0.129,1
fi_polar_99,Tunnetko hänet vielä vanhanakin?,fi,polar,-0.402,-0.707,0.0,0.4,0.75,1.792,0.0,-0.871,1
fi_polar_100,"Jos miehen mielestä hänen kumppanillaan on ihana peppu, jota on mukava taputella tai vähän puristaa, niin eikö siitä voisi naisena nauttia?",fi,polar,0.981,3.293,2.0,0.533,0.571,3.219,4.215,2.129,1
fi_polar_101,Olisiko se iltalenkin jälkeen peiton tuominen sohvalle yhdessä iltateen tai viinilasillisen kanssa?,fi,polar,0.204,0.293,0.0,0.0,0.583,2.639,0.0,-0.871,1
fi_polar_102,"Olisiko se, että itse tulee sinne peiton alle, kainaloon, vain alusvaatteisillaan?",fi,polar,0.331,1.293,1.0,0.5,0.727,2.773,3.932,0.129,1
fi_polar_103,Olisiko se toisen passaaminen osa sitä arkiromantiikkaa?,fi,polar,-0.236,-0.707,0.0,0.0,0.429,2.197,0.0,-0.871,1
fi_polar_104,"Juhlaseksiä, arkiseksiä - onko niillä eroa?",fi,polar,0.181,-0.707,1.0,0.0,0.6,2.197,4.615,-0.871,1
fi_polar_105,"Onko arkiseksi nopea tyydytys ennen nukkumaanmenoa, tai nopea tyydytys ennen ylösnousua aamulla?",fi,polar,-0.069,0.293,0.0,0.0,0.667,2.708,0.0,-0.871,1
fi_polar_106,Onko juhlaseksi tuntien kestävää hyväilyä ja seksiä sille järjestetyllä ajalla?,fi,polar,0.042,0.293,1.0,0.2,0.7,2.485,4.215,1.129,1
fi_polar_107,– Etkö usko?,fi,polar,-1.069,-1.707,0.0,0.0,0.5,1.609,0.0,-0.871,1
fi_polar_108,- Sinäkö kilpailisit ylimysten rikkauksien kanssa sienilläsi?,fi,polar,-0.269,-0.707,0.0,0.6,0.667,2.197,0.0,-0.871,1
fi_polar_109,Pitäisikö varsinaissuomalaisia ammattioppilaitoksia yhdistää?,fi,polar,-0.402,-0.707,0.0,0.2,0.75,1.792,0.0,-0.871,1
fi_polar_110,"Jos näin tapahtuisi, niin silloinhan ei näitä uudelleenvirittelyoppaita tarvittaisi ollenkaan, eikö niin?",fi,polar,0.567,-0.707,1.0,0.6,0.75,2.773,4.215,1.129,1
fi_polar_111,"”Voisiko vaimosi paremmin jos pyytäisit tätä lupaa tai kertoisit, että harrastat seksiä toisen naisen kanssa?",fi,polar,-0.212,2.293,1.0,0.55,0.6,2.944,4.215,2.129,1
fi_polar_112,"Voisitko itse paremmin, jos seksielämäsi jatkuisi?”",fi,polar,0.331,-0.707,1.0,0.5,0.833,2.303,3.932,0.129,1
fi_polar_113,Päästäänkö kolmanteen pilariin kuuluvaa tietosuojaa koskevasta puitepäätöksestä poliittiseen yhteisymmärrykseen tämän vuoden loppuun mennessä?,fi,polar,0.431,4.293,1.0,0.267,0.846,2.708,4.215,1.129,1
fi_polar_114,Ratkaiseeko puitesopimus kaikki ongelmat?,fi,polar,-0.402,-0.707,0.0,0.4,0.75,1.792,0.0,-0.871,1
fi_polar_115,Onko tietosuojaviranomaisilla asianmukaiset voimavarat tietosuojaa koskevien sääntöjen täytäntöönpanemiseksi SIS II -järjestelmän osalta?,fi,polar,0.204,2.293,1.0,0.2,0.917,2.639,4.615,-0.871,1
fi_polar_116,Toimivatko kaikki jäsenvaltiot vilpittömässä mielessä Schengen-tietoja käsitellessään?,fi,polar,0.431,-0.707,1.0,0.4,0.857,2.197,3.932,0.129,1
fi_polar_117,"""Eikö sinustakin?"" kysyit kolme vuotta sitten.",fi,polar,-0.269,0.293,0.0,0.3,0.5,2.398,0.0,0.129,1
fi_polar_118,"Onko sitten teoriassa olemassa mahdollisuus, ettei se olisi?",fi,polar,0.181,0.293,1.0,0.5,0.556,2.485,3.932,0.129,1
fi_polar_119,Eikö tämän kaltaisessa asiassa käytännön ja teorian tulisi olla samanlaisia?”,fi,polar,0.598,1.293,1.0,0.4,0.6,2.565,3.932,0.129,1
fi_polar_120,Olisiko silloin kuitenkin teoriassa mahdollisuus sille ettei se olisi?,fi,polar,-0.069,1.293,1.0,0.4,0.5,2.485,3.932,0.129,1
fi_polar_121,olisiko viininvalmistus yrittäjälle sivu- vai pääelinkeino?,fi,polar,-0.269,-0.707,0.0,0.0,0.667,2.079,0.0,-0.871,1
fi_polar_122,Pystyykö Bosniaan antamaan vielä avustusta?,fi,polar,-0.569,-0.707,1.0,0.4,1.0,1.946,3.932,0.129,1
fi_polar_123,Onko tarpeen olla noin perusteellinen?,fi,polar,-0.069,-0.707,1.0,0.4,0.8,1.946,3.932,0.129,1
fi_polar_124,"Popista, rockista vaiko iskelmästä?",fi,polar,0.264,-0.707,0.0,0.0,0.75,1.946,0.0,-1.871,1
fi_polar_125,Oletteko ehkä kotoisin Raumalta?,fi,polar,-0.736,-1.707,0.0,0.0,0.75,1.792,0.0,-0.871,1
fi_polar_126,Haluaisitko sinä yhdistää vaihto-opiskelun ja eksoottisen unelmaloman jossakin Aasian vaihtokohteista?,fi,polar,0.042,1.293,1.0,0.3,0.7,2.485,3.932,0.129,1
fi_polar_127,Oletko tehoääliö töissä?,fi,polar,-1.069,-1.707,0.0,0.0,0.667,1.609,0.0,-0.871,1
fi_content_0,Mitä minä puhun?,fi,content,-0.569,-1.707,0.0,0.4,0.333,1.609,0.0,-0.871,0
fi_content_1,Mitä minä ihan oikeasti puhun?,fi,content,0.181,-0.707,0.0,0.6,0.6,1.946,0.0,-0.871,0
fi_content_2,Mitä tästä sanoisi enää?,fi,content,-0.736,-1.707,0.0,0.6,0.5,1.792,0.0,-0.871,0
fi_content_3,"- Opettaja, missä sä oikein olet töissä?",fi,content,1.131,-1.707,0.0,0.0,0.5,2.303,0.0,-0.871,0
fi_content_4,Miksi talvella pitää käyttää koko ajan ihan tylsiä kenkiä?,fi,content,-0.069,0.293,0.0,0.8,0.889,2.398,0.0,-0.871,0
fi_content_5,"Mitä saadaan, kun purkitetaan sata naista?",fi,content,-0.469,0.293,1.0,0.4,0.5,2.197,3.932,0.129,0
fi_content_6,Miksi sitten takerrumme tavaroihin?,fi,content,-0.736,-1.707,0.0,0.6,1.0,1.792,0.0,-0.871,0
fi_content_7,Mitä jos uudistuisimme kevään kynnyksellä juuri näin?,fi,content,-0.236,-0.707,0.0,0.8,0.714,2.197,0.0,-0.871,0
fi_content_8,Mikä seksuaalinen itsetunto?,fi,content,-0.569,-1.707,0.0,0.0,0.667,1.609,0.0,-1.871,0
fi_content_9,Onko kenellekään tullut koskaan mieli kysyä itseltään ”Miksi minun pitäisi haluta seksiä?”,fi,content,0.022,0.293,1.0,0.6,0.583,2.773,3.932,1.129,0
fi_content_10,”Mitä minun tulisi tuntea seksin aikana?”,fi,content,-0.269,0.293,1.0,0.4,0.667,2.303,3.932,0.129,0
fi_content_11,”Pitäisikö minun tietää mitä kumppani tuntee tai mitä hän haluaa?”,fi,content,0.042,0.293,1.0,0.533,0.4,2.639,3.932,1.129,0
fi_content_12,Miten sitten saavuttaisimme tämän seksuaalisen itseluottamuksen?,fi,content,-0.269,-0.707,0.0,0.6,0.833,2.079,0.0,-0.871,0
fi_content_13,"Ovatko he niitä, jotka ottavat sen jonka saavat tai eivät ota ketään, kun eivät ole varmoja, kuka on se oikea, eivätkä osaa viestittää mitään oikein tai ollenkaan?",fi,content,0.085,5.293,1.25,0.4,0.333,3.497,4.435,6.129,0
fi_content_14,Miksi emme pidä seksuaalielämäämme usein kovinkaan hyvänä?,fi,content,-0.236,-0.707,0.0,0.8,0.857,2.197,0.0,-0.871,0
fi_content_15,"Miksi emme hae itsellemme sitä nautintoa, jota kaipaamme?",fi,content,-0.355,0.293,1.0,0.4,0.5,2.398,3.932,0.129,0
fi_content_16,"Miksi emme kehitä taitojamme seksin alueella, jotta pystyisimme tyydyttämään kumppanimme?",fi,content,-0.291,0.293,2.0,0.4,0.8,2.565,4.215,1.129,0
fi_content_17,"Miksi tyydymme vähään ja odotamme, että se paranisi itsestään sitten joskus?",fi,content,-0.269,1.293,1.0,0.6,0.727,2.639,3.932,1.129,0
fi_content_18,Miksi meidän pitäisi sitten osata olla niin vapaita seksuaalisesti?,fi,content,0.056,-0.707,1.0,0.8,0.667,2.398,3.932,0.129,0
fi_content_19,Kuinka se on mahdollista?,fi,content,-0.069,-1.707,0.0,0.0,0.5,1.792,0.0,-0.871,0
fi_content_20,"En kuitenkaan ymmärrä, miksi joku ei maksaisi kymmentä tai viittä euroa kuussa järjettömän suuresta, mobiilista musiikkikirjastosta?",fi,content,0.598,2.293,1.0,0.6,0.625,2.996,3.932,0.129,0
fi_content_21,Kuinka paljon ihmiset oikeasti sitten olisivat valmiita maksamaan tästä huvista?,fi,content,0.264,0.293,1.0,0.4,0.8,2.485,3.932,0.129,0
fi_content_22,Ai miten kiersin bannit?,fi,content,-0.736,-1.707,0.0,0.6,0.75,1.792,0.0,-0.871,0
fi_content_23,- ... Mutta miten ne ei ole vieläkään saanut rakennettua sitä Lepuskin tornia?,fi,content,0.731,0.293,1.0,0.6,0.545,2.708,3.932,0.129,0
fi_content_24,Nimittäin miksi olisin tästä toiselle naiselle tästä vihainen?,fi,content,1.645,-0.707,0.0,0.0,0.5,2.303,0.0,-0.871,0
fi_content_25,MIES: No miten siinä nyt pronssia varmasti muka saisi?,fi,content,2.556,-0.707,0.0,0.0,0.778,2.485,0.0,-0.871,0
fi_content_26,PIKKUVAIMO: Mitä sä naurat?,fi,content,0.264,-0.707,0.0,0.4,0.5,1.946,0.0,-0.871,0
fi_content_27,"Tämä setti toimi, sillä siinä vaiheessa kun avaimet oli vaihdettu, uskalsin jo kysyä, että ”mitä sä musta ajattelit, kun ekan kerran näit?”.",fi,content,0.979,3.293,3.0,0.6,0.545,3.434,4.435,4.129,0
fi_content_28,Mikä on puheenjohtajavaltio Alankomaiden strategia?,fi,content,-0.319,0.293,0.0,0.0,0.6,1.946,0.0,-0.871,0
fi_content_29,"Miksi ne valtiot, joiden oletetaan hyväksyneen direktiivit neuvostossa, ovat sitten kuitenkin vastahakoisia soveltamaan niitä?",fi,content,1.162,1.293,1.5,0.333,0.714,2.89,4.331,2.129,0
fi_content_30,"Mitä tapahtuu, jos itäeurooppalaiset ja keskieurooppalaiset vallan keskukset kerran siirtyvät?",fi,content,1.042,2.293,1.0,0.5,0.7,2.565,3.932,0.129,0
fi_content_31,Milloin ryhdymme neuvottelemaan siitä?,fi,content,-1.069,-0.707,1.0,0.3,0.75,1.792,3.932,0.129,0
fi_content_32,Mitä teemme valmistellaksemme asiaa?,fi,content,-1.069,-0.707,1.0,0.3,0.75,1.792,3.932,0.129,0
fi_content_33,Mitä teemme sen lisäksi antaaksemme Ukrainan osallistua Eurooppa-konferenssiin?,fi,content,-0.64,0.293,2.0,0.4,0.625,2.303,4.215,1.129,0
fi_content_34,"Miten komissio suhtautuu siihen, mitkä ovat sen näkemykset asiasta?",fi,content,-0.444,0.293,0.0,0.8,0.556,2.485,0.0,0.129,0
fi_content_35,"Voiko komissio selvittää, miten se valvoo tämän säädöksen täytäntöönpanon onnistumista?",fi,content,-0.18,2.293,1.0,0.5,0.7,2.565,3.932,0.129,0
